arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
beat_this-fold4,-1,ALL,569,0.917672,0.841102,0.902211,468,0.876175,0.775021,0.869983
beat_this-fold4,-1,SMC,27,0.649051,0.559322,0.583482,0,nan,nan,nan
beat_this-fold4,-1,<70 bpm,63,0.759124,0.598737,0.710009,37,0.607448,0.282780,0.548811
beat_this-fold4,-1,SMC <70,11,0.525466,0.447096,0.458897,0,nan,nan,nan
beat_this-fold4,-1,>=70 bpm,506,0.937412,0.871278,0.926141,431,0.899245,0.817278,0.897555
beat_this-fold4,-1,bpm 0-70,63,0.759124,0.598737,0.710009,37,0.607448,0.282780,0.548811
beat_this-fold4,-1,bpm 70-100,153,0.920713,0.850287,0.926746,114,0.877942,0.778866,0.879111
beat_this-fold4,-1,bpm 100-130,180,0.956629,0.913505,0.941220,153,0.892892,0.834993,0.893806
beat_this-fold4,-1,bpm 130-160,98,0.948698,0.900128,0.952590,90,0.939470,0.865328,0.951782
beat_this-fold4,-1,bpm 160+,75,0.910610,0.775056,0.854158,74,0.896273,0.781390,0.867769
beat_this-fold4,-1,ds:asap,59,0.835636,0.653354,0.697849,59,0.573970,0.224093,0.584066
beat_this-fold4,-1,ds:ballroom,86,0.976332,0.963413,0.974830,86,0.959181,0.940896,0.957082
beat_this-fold4,-1,ds:beatles,22,0.948046,0.860965,0.997329,22,0.927618,0.818896,0.898698
beat_this-fold4,-1,ds:candombe,4,1.000000,1.000000,1.000000,4,1.000000,1.000000,1.000000
beat_this-fold4,-1,ds:filosax,6,1.000000,1.000000,1.000000,6,1.000000,1.000000,1.000000
beat_this-fold4,-1,ds:groove_midi,42,0.949752,0.861199,0.975115,42,0.838224,0.695495,0.874282
beat_this-fold4,-1,ds:guitarset,22,0.974241,0.941633,0.941633,22,0.955504,0.895649,0.901888
beat_this-fold4,-1,ds:hainsworth,28,0.943006,0.892665,0.943425,28,0.812977,0.740413,0.796956
beat_this-fold4,-1,ds:harmonix,114,0.965371,0.913395,0.962729,114,0.936840,0.874294,0.940319
beat_this-fold4,-1,ds:hjdb,30,0.999760,0.999048,0.999048,30,0.978056,0.945833,0.948387
beat_this-fold4,-1,ds:jaah,14,0.966160,0.891966,0.963395,14,0.916826,0.793542,0.876621
beat_this-fold4,-1,ds:rwc,28,0.881402,0.783675,0.864860,28,0.815276,0.717674,0.791256
beat_this-fold4,-1,ds:simac,74,0.842106,0.698562,0.852730,0,nan,nan,nan
beat_this-fold4,-1,ds:smc,27,0.649051,0.559322,0.583482,0,nan,nan,nan
beat_this-fold4,-1,ds:tapcorrect,13,0.939484,0.849183,0.926106,13,0.961081,0.896910,0.896910
