arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
CV8_f0_s0,49,ALL,571,0.891615,0.812946,0.898869,469,0.847553,0.766051,0.843941
CV8_f0_s0,49,SMC,27,0.553337,0.371260,0.532227,0,nan,nan,nan
CV8_f0_s0,49,<70 bpm,63,0.678693,0.444485,0.670995,36,0.593418,0.363420,0.629534
CV8_f0_s0,49,SMC <70,15,0.478039,0.254018,0.442925,0,nan,nan,nan
CV8_f0_s0,49,>=70 bpm,508,0.918021,0.858641,0.927129,433,0.868682,0.799526,0.861767
CV8_f0_s0,49,bpm 0-70,63,0.678693,0.444485,0.670995,36,0.593418,0.363420,0.629534
CV8_f0_s0,49,bpm 70-100,138,0.878721,0.810278,0.901304,97,0.858914,0.795077,0.860872
CV8_f0_s0,49,bpm 100-130,198,0.937261,0.898418,0.942483,170,0.902693,0.872260,0.916769
CV8_f0_s0,49,bpm 130-160,88,0.910184,0.851503,0.946989,82,0.838866,0.756194,0.850154
CV8_f0_s0,49,bpm 160+,84,0.945445,0.851810,0.912559,84,0.840233,0.699765,0.762822
CV8_f0_s0,49,ds:asap,56,0.805630,0.603861,0.719303,56,0.600608,0.322999,0.535294
CV8_f0_s0,49,ds:ballroom,86,0.971999,0.963556,0.964848,86,0.948761,0.945814,0.947106
CV8_f0_s0,49,ds:beatles,23,0.981121,0.953808,0.953808,23,0.913104,0.840160,0.870299
CV8_f0_s0,49,ds:candombe,5,0.998165,0.996364,0.996364,5,1.000000,1.000000,1.000000
CV8_f0_s0,49,ds:filosax,6,1.000000,1.000000,1.000000,6,0.956790,0.952381,0.952381
CV8_f0_s0,49,ds:groove_midi,42,0.934568,0.882626,0.906724,42,0.867873,0.784025,0.866672
CV8_f0_s0,49,ds:guitarset,23,0.913344,0.846283,0.934030,23,0.858373,0.807655,0.900548
CV8_f0_s0,49,ds:hainsworth,28,0.935472,0.910869,0.946740,28,0.653261,0.553827,0.696301
CV8_f0_s0,49,ds:harmonix,114,0.952769,0.882880,0.981977,114,0.909317,0.842607,0.928926
CV8_f0_s0,49,ds:hjdb,29,0.960687,0.957838,0.989447,29,0.960057,0.951318,0.959939
CV8_f0_s0,49,ds:jaah,15,0.959259,0.920466,0.920466,15,0.697748,0.584250,0.635494
CV8_f0_s0,49,ds:rwc,29,0.849663,0.684310,0.886365,29,0.833314,0.773294,0.818781
CV8_f0_s0,49,ds:simac,75,0.770849,0.664246,0.851808,0,nan,nan,nan
CV8_f0_s0,49,ds:smc,27,0.553337,0.371260,0.532227,0,nan,nan,nan
CV8_f0_s0,49,ds:tapcorrect,13,0.933695,0.817795,0.968943,13,0.762450,0.612708,0.771334
CV8_f1_s0,49,ALL,570,0.881771,0.778053,0.860598,468,0.836709,0.730915,0.837084
CV8_f1_s0,49,SMC,27,0.558430,0.313596,0.496854,0,nan,nan,nan
CV8_f1_s0,49,<70 bpm,66,0.668270,0.406387,0.554473,32,0.567920,0.304859,0.531376
CV8_f1_s0,49,SMC <70,10,0.485911,0.199177,0.383525,0,nan,nan,nan
CV8_f1_s0,49,>=70 bpm,504,0.909730,0.826724,0.900685,436,0.856437,0.762185,0.859521
CV8_f1_s0,49,bpm 0-70,66,0.668270,0.406387,0.554473,32,0.567920,0.304859,0.531376
CV8_f1_s0,49,bpm 70-100,146,0.868514,0.774172,0.879036,107,0.826940,0.730252,0.850728
CV8_f1_s0,49,bpm 100-130,197,0.932049,0.876418,0.922891,177,0.869176,0.784495,0.872898
CV8_f1_s0,49,bpm 130-160,89,0.931220,0.860573,0.902346,84,0.884587,0.778532,0.888127
CV8_f1_s0,49,bpm 160+,72,0.905676,0.755480,0.881777,68,0.834920,0.734167,0.803201
CV8_f1_s0,49,ds:asap,57,0.774223,0.519279,0.623258,57,0.602115,0.270132,0.558350
CV8_f1_s0,49,ds:ballroom,86,0.979489,0.961002,0.969076,86,0.921189,0.892822,0.914010
CV8_f1_s0,49,ds:beatles,22,0.795627,0.626523,0.844294,22,0.717006,0.477515,0.817703
CV8_f1_s0,49,ds:candombe,5,0.998291,0.996610,0.996610,5,1.000000,1.000000,1.000000
CV8_f1_s0,49,ds:filosax,6,0.997241,0.994530,0.994530,6,1.000000,1.000000,1.000000
CV8_f1_s0,49,ds:groove_midi,42,0.928090,0.834075,0.884123,42,0.799673,0.707223,0.809221
CV8_f1_s0,49,ds:guitarset,23,0.935380,0.849293,0.881551,23,0.886618,0.856648,0.856648
CV8_f1_s0,49,ds:hainsworth,28,0.823193,0.729764,0.844554,28,0.751472,0.679473,0.803344
CV8_f1_s0,49,ds:harmonix,114,0.945743,0.874637,0.952900,114,0.894807,0.848583,0.911784
CV8_f1_s0,49,ds:hjdb,29,0.973935,0.923069,0.957551,29,0.968387,0.918444,0.954550
CV8_f1_s0,49,ds:jaah,14,0.946463,0.852997,0.963343,14,0.814676,0.632981,0.736155
CV8_f1_s0,49,ds:rwc,29,0.869036,0.765876,0.853102,29,0.805693,0.651133,0.808156
CV8_f1_s0,49,ds:simac,75,0.801234,0.676009,0.804924,0,nan,nan,nan
CV8_f1_s0,49,ds:smc,27,0.558430,0.313596,0.496854,0,nan,nan,nan
CV8_f1_s0,49,ds:tapcorrect,13,0.964599,0.901196,0.975597,13,0.875507,0.679473,0.829473
CV8_f2_s0,49,ALL,562,0.888267,0.802831,0.886210,460,0.842800,0.778572,0.855299
CV8_f2_s0,49,SMC,27,0.550626,0.429398,0.539459,0,nan,nan,nan
CV8_f2_s0,49,<70 bpm,59,0.581301,0.354964,0.535186,32,0.528568,0.370896,0.582310
CV8_f2_s0,49,SMC <70,16,0.510916,0.391094,0.433199,0,nan,nan,nan
CV8_f2_s0,49,>=70 bpm,503,0.924273,0.855364,0.927384,428,0.866294,0.809053,0.875709
CV8_f2_s0,49,bpm 0-70,59,0.581301,0.354964,0.535186,32,0.528568,0.370896,0.582310
CV8_f2_s0,49,bpm 70-100,170,0.899112,0.826298,0.906110,125,0.860144,0.800162,0.882409
CV8_f2_s0,49,bpm 100-130,171,0.947476,0.905517,0.947675,150,0.866406,0.817785,0.866312
CV8_f2_s0,49,bpm 130-160,97,0.911761,0.818813,0.920007,89,0.850952,0.791729,0.872664
CV8_f2_s0,49,bpm 160+,65,0.947712,0.853986,0.940649,64,0.899377,0.830043,0.888881
CV8_f2_s0,49,ds:asap,50,0.679977,0.414106,0.537010,50,0.479667,0.266088,0.420481
CV8_f2_s0,49,ds:ballroom,86,0.971394,0.953674,0.970546,86,0.933020,0.929317,0.943633
CV8_f2_s0,49,ds:beatles,22,0.966084,0.898982,0.989107,22,0.946377,0.841716,0.945756
CV8_f2_s0,49,ds:candombe,5,0.998319,0.996667,0.996667,5,1.000000,1.000000,1.000000
CV8_f2_s0,49,ds:filosax,6,1.000000,0.998264,0.998264,6,0.990741,0.990741,0.990741
CV8_f2_s0,49,ds:groove_midi,42,0.935049,0.882627,0.924277,42,0.798302,0.765184,0.854884
CV8_f2_s0,49,ds:guitarset,23,0.943488,0.928100,0.928100,23,0.928674,0.929624,0.940493
CV8_f2_s0,49,ds:hainsworth,28,0.900978,0.800949,0.920123,28,0.765559,0.626198,0.786062
CV8_f2_s0,49,ds:harmonix,114,0.961019,0.911720,0.973534,114,0.901672,0.863895,0.932260
CV8_f2_s0,49,ds:hjdb,29,0.965517,0.965517,0.996975,29,0.931034,0.931034,0.960591
CV8_f2_s0,49,ds:jaah,14,0.966897,0.955054,0.955054,14,0.807587,0.666157,0.708987
CV8_f2_s0,49,ds:rwc,28,0.834376,0.737096,0.853801,28,0.813747,0.731193,0.851972
CV8_f2_s0,49,ds:simac,75,0.824490,0.649416,0.863373,0,nan,nan,nan
CV8_f2_s0,49,ds:smc,27,0.550626,0.429398,0.539459,0,nan,nan,nan
CV8_f2_s0,49,ds:tapcorrect,13,0.927950,0.817720,0.967632,13,0.884202,0.701479,0.926754
CV8_f3_s0,49,ALL,567,0.889452,0.801022,0.871895,466,0.853681,0.768324,0.864784
CV8_f3_s0,49,SMC,27,0.529582,0.397718,0.507001,0,nan,nan,nan
CV8_f3_s0,49,<70 bpm,56,0.653631,0.413546,0.664954,27,0.509735,0.144804,0.598299
CV8_f3_s0,49,SMC <70,9,0.521095,0.450604,0.589597,0,nan,nan,nan
CV8_f3_s0,49,>=70 bpm,511,0.915296,0.843486,0.894574,439,0.874835,0.806673,0.881173
CV8_f3_s0,49,bpm 0-70,56,0.653631,0.413546,0.664954,27,0.509735,0.144804,0.598299
CV8_f3_s0,49,bpm 70-100,161,0.861998,0.756513,0.841876,121,0.837227,0.712820,0.857490
CV8_f3_s0,49,bpm 100-130,195,0.944645,0.900328,0.929709,170,0.903619,0.865155,0.916241
CV8_f3_s0,49,bpm 130-160,83,0.927188,0.864668,0.904824,77,0.870621,0.818919,0.854254
CV8_f3_s0,49,bpm 160+,72,0.941281,0.859598,0.905439,71,0.874579,0.813309,0.866764
CV8_f3_s0,49,ds:asap,57,0.756041,0.511593,0.627942,57,0.553481,0.221894,0.531134
CV8_f3_s0,49,ds:ballroom,86,0.971688,0.951686,0.969910,86,0.954137,0.939263,0.966815
CV8_f3_s0,49,ds:beatles,21,0.925555,0.827804,0.869729,21,0.872779,0.760062,0.865104
CV8_f3_s0,49,ds:candombe,4,0.993697,0.979508,0.979508,4,0.984375,0.970588,0.970588
CV8_f3_s0,49,ds:filosax,6,0.995370,0.990787,0.990787,6,0.956102,0.925758,0.925758
CV8_f3_s0,49,ds:groove_midi,42,0.909598,0.829851,0.917556,42,0.749500,0.680417,0.854889
CV8_f3_s0,49,ds:guitarset,23,0.933461,0.903007,0.903007,23,0.946586,0.962375,0.962375
CV8_f3_s0,49,ds:hainsworth,28,0.903841,0.826220,0.864088,28,0.759924,0.681568,0.761462
CV8_f3_s0,49,ds:harmonix,114,0.960716,0.913876,0.953564,114,0.928843,0.893965,0.938618
CV8_f3_s0,49,ds:hjdb,30,0.997254,0.993031,0.993031,30,0.989374,0.981271,0.981271
CV8_f3_s0,49,ds:jaah,14,0.985404,0.914171,0.914171,14,0.858133,0.706848,0.830224
CV8_f3_s0,49,ds:rwc,28,0.857378,0.752706,0.830678,28,0.825731,0.705494,0.821318
CV8_f3_s0,49,ds:simac,74,0.824064,0.687645,0.865482,0,nan,nan,nan
CV8_f3_s0,49,ds:smc,27,0.529582,0.397718,0.507001,0,nan,nan,nan
CV8_f3_s0,49,ds:tapcorrect,13,0.828851,0.592236,0.864809,13,0.844364,0.647721,0.887914
CV8_f4_s0,49,ALL,569,0.899813,0.812549,0.877364,468,0.846963,0.766171,0.855097
CV8_f4_s0,49,SMC,27,0.588705,0.465461,0.507480,0,nan,nan,nan
CV8_f4_s0,49,<70 bpm,63,0.669988,0.438307,0.631645,37,0.590806,0.357948,0.561119
CV8_f4_s0,49,SMC <70,11,0.462229,0.316741,0.374338,0,nan,nan,nan
CV8_f4_s0,49,>=70 bpm,506,0.928428,0.859144,0.907957,431,0.868953,0.801216,0.880334
CV8_f4_s0,49,bpm 0-70,63,0.669988,0.438307,0.631645,37,0.590806,0.357948,0.561119
CV8_f4_s0,49,bpm 70-100,153,0.913789,0.844699,0.905061,114,0.877466,0.834206,0.875200
CV8_f4_s0,49,bpm 100-130,180,0.953910,0.915771,0.930436,153,0.870570,0.842033,0.889741
CV8_f4_s0,49,bpm 130-160,98,0.932694,0.859576,0.929830,90,0.904606,0.811382,0.926316
CV8_f4_s0,49,bpm 160+,75,0.891562,0.752141,0.831336,74,0.809136,0.653637,0.812867
CV8_f4_s0,49,ds:asap,59,0.753820,0.563785,0.628959,59,0.455010,0.172938,0.491696
CV8_f4_s0,49,ds:ballroom,86,0.978410,0.964060,0.975688,86,0.958454,0.936191,0.954421
CV8_f4_s0,49,ds:beatles,22,0.927097,0.809692,0.989679,22,0.802903,0.571651,0.749889
CV8_f4_s0,49,ds:candombe,4,1.000000,1.000000,1.000000,4,1.000000,1.000000,1.000000
CV8_f4_s0,49,ds:filosax,6,1.000000,1.000000,1.000000,6,0.992754,0.972222,0.972222
CV8_f4_s0,49,ds:groove_midi,42,0.928930,0.833722,0.905326,42,0.839817,0.766973,0.878415
CV8_f4_s0,49,ds:guitarset,22,0.922776,0.845688,0.845688,22,0.927018,0.912791,0.912791
