arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
CV_f2,99,ALL,562,0.882692,0.822040,0.885483,460,0.858702,0.796243,0.867518
CV_f2,99,SMC,27,0.584137,0.614109,0.712043,0,nan,nan,nan
CV_f2,99,<70 bpm,59,0.635146,0.554096,0.619456,32,0.584975,0.420909,0.576526
CV_f2,99,SMC <70,16,0.560020,0.661884,0.703555,0,nan,nan,nan
CV_f2,99,>=70 bpm,503,0.911728,0.853469,0.916687,428,0.879167,0.824305,0.889274
CV_f2,99,bpm 0-70,59,0.635146,0.554096,0.619456,32,0.584975,0.420909,0.576526
CV_f2,99,bpm 70-100,170,0.891714,0.842336,0.922371,125,0.869851,0.802599,0.883887
CV_f2,99,bpm 100-130,171,0.938658,0.911337,0.945931,150,0.896877,0.869053,0.913736
CV_f2,99,bpm 130-160,97,0.895096,0.815728,0.899225,89,0.855013,0.782016,0.861277
CV_f2,99,bpm 160+,65,0.918047,0.786669,0.850948,64,0.889446,0.820628,0.881396
CV_f2,99,ds:asap,50,0.702731,0.440216,0.541644,50,0.562152,0.266869,0.473170
CV_f2,99,ds:ballroom,86,0.958002,0.941377,0.943238,86,0.929283,0.927699,0.938520
CV_f2,99,ds:beatles,22,0.975961,0.952594,0.965752,22,0.964085,0.906915,0.952369
CV_f2,99,ds:candombe,5,0.998198,0.996429,0.996429,5,1.000000,1.000000,1.000000
CV_f2,99,ds:filosax,6,0.993955,0.948454,0.948454,6,0.959459,0.947368,0.947368
CV_f2,99,ds:groove_midi,42,0.938572,0.882237,0.925539,42,0.827020,0.787276,0.862537
CV_f2,99,ds:guitarset,23,0.910595,0.916425,0.916425,23,0.889860,0.950593,0.950593
CV_f2,99,ds:hainsworth,28,0.856890,0.748540,0.848956,28,0.813901,0.669177,0.854310
CV_f2,99,ds:harmonix,114,0.944691,0.927272,0.971065,114,0.890590,0.862164,0.929999
CV_f2,99,ds:hjdb,29,0.961694,0.959586,0.989834,29,0.949627,0.935776,0.960406
CV_f2,99,ds:jaah,14,0.956257,0.968943,0.968943,14,0.892457,0.807083,0.807083
CV_f2,99,ds:rwc,28,0.818877,0.705809,0.829584,28,0.826480,0.754458,0.855175
CV_f2,99,ds:simac,75,0.828146,0.731103,0.887876,0,nan,nan,nan
CV_f2,99,ds:smc,27,0.584137,0.614109,0.712043,0,nan,nan,nan
CV_f2,99,ds:tapcorrect,13,0.921769,0.770618,0.906480,13,0.947473,0.845802,0.917230
