arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_argmax,19,ALL,571,0.891624,0.808151,0.874243,469,0.898637,0.825121,0.893648
E_argmax,19,SMC,27,0.676187,0.666799,0.736528,0,nan,nan,nan
E_argmax,19,<70 bpm,63,0.754360,0.633649,0.746596,36,0.716626,0.437348,0.757066
E_argmax,19,SMC <70,15,0.632984,0.659064,0.738630,0,nan,nan,nan
E_argmax,19,>=70 bpm,508,0.908647,0.829792,0.890074,433,0.913770,0.857361,0.905004
E_argmax,19,bpm 0-70,63,0.754360,0.633649,0.746596,36,0.716626,0.437348,0.757066
E_argmax,19,bpm 70-100,138,0.860786,0.776245,0.822137,97,0.896342,0.839419,0.899748
E_argmax,19,bpm 100-130,198,0.927192,0.868884,0.915658,170,0.934609,0.909029,0.923764
E_argmax,19,bpm 130-160,88,0.926875,0.847919,0.928716,82,0.900268,0.836297,0.915862
E_argmax,19,bpm 160+,84,0.924466,0.806627,0.900897,84,0.904900,0.794075,0.862506
E_argmax,19,ds:asap,56,0.824954,0.638211,0.788636,56,0.781795,0.533268,0.740106
E_argmax,19,ds:ballroom,86,0.966207,0.943983,0.951393,86,0.967047,0.957192,0.963822
E_argmax,19,ds:beatles,23,0.945640,0.864336,0.918025,23,0.888015,0.801768,0.861597
E_argmax,19,ds:candombe,5,0.994554,0.989207,0.989207,5,0.985185,0.971429,0.971429
E_argmax,19,ds:filosax,6,0.988176,0.978806,0.978806,6,0.984615,0.970833,0.970833
E_argmax,19,ds:groove_midi,42,0.918699,0.853457,0.890164,42,0.921262,0.873322,0.913798
E_argmax,19,ds:guitarset,23,0.935954,0.903405,0.936014,23,0.927338,0.940951,0.940951
E_argmax,19,ds:hainsworth,28,0.934331,0.869706,0.939903,28,0.674044,0.563327,0.720399
E_argmax,19,ds:harmonix,114,0.960983,0.899798,0.964044,114,0.939042,0.864837,0.945115
E_argmax,19,ds:hjdb,29,0.973232,0.948518,0.955408,29,0.981974,0.976848,0.976848
E_argmax,19,ds:jaah,15,0.940952,0.864067,0.864067,15,0.847435,0.752899,0.805545
E_argmax,19,ds:rwc,29,0.885281,0.816916,0.885566,29,0.857923,0.835768,0.873967
E_argmax,19,ds:simac,75,0.708456,0.507758,0.639174,0,nan,nan,nan
E_argmax,19,ds:smc,27,0.676187,0.666799,0.736528,0,nan,nan,nan
E_argmax,19,ds:tapcorrect,13,0.918960,0.772071,0.920702,13,0.864770,0.702465,0.814999
