arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_bar,19,ALL,571,0.907223,0.840250,0.900641,469,0.897697,0.821630,0.888138
E_bar,19,SMC,27,0.673615,0.652848,0.725383,0,nan,nan,nan
E_bar,19,<70 bpm,63,0.769270,0.665379,0.779329,36,0.720852,0.417753,0.750799
E_bar,19,SMC <70,15,0.621478,0.627166,0.712065,0,nan,nan,nan
E_bar,19,>=70 bpm,508,0.924331,0.861937,0.915686,433,0.912400,0.855209,0.899556
E_bar,19,bpm 0-70,63,0.769270,0.665379,0.779329,36,0.720852,0.417753,0.750799
E_bar,19,bpm 70-100,138,0.892655,0.839342,0.880868,97,0.895903,0.841226,0.892854
E_bar,19,bpm 100-130,198,0.942721,0.903816,0.938765,170,0.932396,0.902809,0.916150
E_bar,19,bpm 130-160,88,0.932684,0.861897,0.938018,82,0.902295,0.840645,0.920801
E_bar,19,bpm 160+,84,0.924273,0.800383,0.895089,84,0.900849,0.789240,0.852973
E_bar,19,ds:asap,56,0.824914,0.630487,0.780111,56,0.778307,0.522566,0.738283
E_bar,19,ds:ballroom,86,0.967647,0.943851,0.950911,86,0.968692,0.959180,0.963788
E_bar,19,ds:beatles,23,0.943093,0.858103,0.913964,23,0.882710,0.787298,0.847128
E_bar,19,ds:candombe,5,0.992881,0.985945,0.985945,5,0.992593,0.985714,0.985714
E_bar,19,ds:filosax,6,0.988287,0.973059,0.973059,6,0.980739,0.955682,0.955682
E_bar,19,ds:groove_midi,42,0.917798,0.852356,0.886832,42,0.917700,0.866503,0.909624
E_bar,19,ds:guitarset,23,0.941786,0.911594,0.943366,23,0.927773,0.927454,0.927454
E_bar,19,ds:hainsworth,28,0.933439,0.869408,0.935911,28,0.671002,0.566582,0.703244
E_bar,19,ds:harmonix,114,0.961607,0.901553,0.966634,114,0.939683,0.865142,0.941427
E_bar,19,ds:hjdb,29,0.973527,0.947035,0.956702,29,0.981780,0.979173,0.979173
E_bar,19,ds:jaah,15,0.943514,0.861371,0.861371,15,0.834838,0.744586,0.783165
E_bar,19,ds:rwc,29,0.886694,0.805623,0.872773,29,0.863524,0.825349,0.863548
E_bar,19,ds:simac,75,0.824609,0.767461,0.856445,0,nan,nan,nan
E_bar,19,ds:smc,27,0.673615,0.652848,0.725383,0,nan,nan,nan
E_bar,19,ds:tapcorrect,13,0.917370,0.767673,0.913228,13,0.857463,0.700451,0.801900
