arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_base,4,ALL,571,0.897219,0.815606,0.874842,469,0.891865,0.803358,0.874005
E_base,4,SMC,27,0.672320,0.657091,0.727179,0,nan,nan,nan
E_base,4,<70 bpm,63,0.764763,0.652120,0.748503,36,0.718255,0.396906,0.731294
E_base,4,SMC <70,15,0.627384,0.630381,0.711169,0,nan,nan,nan
E_base,4,>=70 bpm,508,0.913645,0.835881,0.890510,433,0.906300,0.837150,0.885870
E_base,4,bpm 0-70,63,0.764763,0.652120,0.748503,36,0.718255,0.396906,0.731294
E_base,4,bpm 70-100,138,0.877879,0.811595,0.855875,97,0.886848,0.812717,0.880360
E_base,4,bpm 100-130,198,0.930674,0.869185,0.903918,170,0.928344,0.892560,0.906592
E_base,4,bpm 130-160,88,0.925312,0.837606,0.915214,82,0.892967,0.819755,0.901201
E_base,4,bpm 160+,84,0.920042,0.795467,0.889921,84,0.897163,0.770208,0.835331
E_base,4,ds:asap,56,0.824075,0.630912,0.775548,56,0.775525,0.504501,0.714930
E_base,4,ds:ballroom,86,0.963495,0.929874,0.937412,86,0.965057,0.951090,0.955698
E_base,4,ds:beatles,23,0.940667,0.851581,0.909579,23,0.885612,0.773893,0.828408
E_base,4,ds:candombe,5,0.992689,0.978427,0.978427,5,0.985185,0.971429,0.971429
E_base,4,ds:filosax,6,0.987912,0.968402,0.968402,6,0.980912,0.963587,0.963587
E_base,4,ds:groove_midi,42,0.912061,0.838416,0.873008,42,0.911600,0.853114,0.891162
E_base,4,ds:guitarset,23,0.931666,0.884038,0.911706,23,0.920265,0.907151,0.907151
E_base,4,ds:hainsworth,28,0.926431,0.849237,0.919434,28,0.662626,0.525463,0.704342
E_base,4,ds:harmonix,114,0.952554,0.878077,0.939686,114,0.928122,0.841951,0.927720
E_base,4,ds:hjdb,29,0.962925,0.919348,0.925118,29,0.968420,0.957157,0.957157
E_base,4,ds:jaah,15,0.952334,0.873008,0.873008,15,0.856062,0.738133,0.765854
E_base,4,ds:rwc,29,0.888929,0.788074,0.853851,29,0.857445,0.798262,0.840998
E_base,4,ds:simac,75,0.778904,0.670285,0.762377,0,nan,nan,nan
E_base,4,ds:smc,27,0.672320,0.657091,0.727179,0,nan,nan,nan
E_base,4,ds:tapcorrect,13,0.919351,0.774838,0.912480,13,0.852030,0.686224,0.813928
