arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_bhat,19,ALL,571,0.885966,0.810847,0.867980,469,0.882935,0.809467,0.881267
E_bhat,19,SMC,27,0.640885,0.638648,0.711693,0,nan,nan,nan
E_bhat,19,<70 bpm,63,0.742680,0.648618,0.760124,36,0.687696,0.392820,0.718250
E_bhat,19,SMC <70,15,0.603715,0.626341,0.717937,0,nan,nan,nan
E_bhat,19,>=70 bpm,508,0.903736,0.830966,0.881356,433,0.899167,0.844107,0.894820
E_bhat,19,bpm 0-70,63,0.742680,0.648618,0.760124,36,0.687696,0.392820,0.718250
E_bhat,19,bpm 70-100,138,0.870749,0.831191,0.872244,97,0.884975,0.826210,0.894072
E_bhat,19,bpm 100-130,198,0.927970,0.891996,0.922541,170,0.923329,0.895815,0.916361
E_bhat,19,bpm 130-160,88,0.914348,0.834472,0.905962,82,0.885207,0.823262,0.909405
E_bhat,19,bpm 160+,84,0.889687,0.683066,0.773466,84,0.880284,0.780475,0.837851
E_bhat,19,ds:asap,56,0.791959,0.586721,0.731843,56,0.755757,0.508528,0.712957
E_bhat,19,ds:ballroom,86,0.948989,0.901911,0.907310,86,0.950064,0.944309,0.951622
E_bhat,19,ds:beatles,23,0.936832,0.856123,0.908007,23,0.884443,0.802186,0.865360
E_bhat,19,ds:candombe,5,0.988942,0.982001,0.982001,5,0.978799,0.959048,0.959048
E_bhat,19,ds:filosax,6,0.981563,0.879328,0.879328,6,0.992593,0.985507,0.985507
E_bhat,19,ds:groove_midi,42,0.904826,0.839882,0.863831,42,0.892064,0.844208,0.894612
E_bhat,19,ds:guitarset,23,0.894750,0.864975,0.885484,23,0.880438,0.922721,0.922721
E_bhat,19,ds:hainsworth,28,0.918392,0.831417,0.899101,28,0.684835,0.539958,0.722738
E_bhat,19,ds:harmonix,114,0.954140,0.885949,0.950031,114,0.932511,0.847339,0.937948
E_bhat,19,ds:hjdb,29,0.947344,0.923251,0.923251,29,0.945432,0.963758,0.963758
E_bhat,19,ds:jaah,15,0.870013,0.673723,0.678543,15,0.795290,0.760216,0.781168
E_bhat,19,ds:rwc,29,0.877002,0.781872,0.835610,29,0.859357,0.808601,0.848796
E_bhat,19,ds:simac,75,0.793345,0.751106,0.840900,0,nan,nan,nan
E_bhat,19,ds:smc,27,0.640885,0.638648,0.711693,0,nan,nan,nan
E_bhat,19,ds:tapcorrect,13,0.900981,0.778289,0.918525,13,0.877707,0.738211,0.822822
