arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_bhat,19,ALL,571,0.886482,0.809524,0.866553,469,0.883164,0.808935,0.879825
E_bhat,19,SMC,27,0.642918,0.627443,0.701818,0,nan,nan,nan
E_bhat,19,<70 bpm,63,0.745382,0.642154,0.750820,36,0.688657,0.396182,0.707331
E_bhat,19,SMC <70,15,0.603992,0.606190,0.700452,0,nan,nan,nan
E_bhat,19,>=70 bpm,508,0.903981,0.830281,0.880906,433,0.899336,0.843252,0.894167
E_bhat,19,bpm 0-70,63,0.745382,0.642154,0.750820,36,0.688657,0.396182,0.707331
E_bhat,19,bpm 70-100,138,0.871654,0.829619,0.871602,97,0.885385,0.824268,0.892130
E_bhat,19,bpm 100-130,198,0.927697,0.891416,0.921917,170,0.923407,0.895170,0.916167
E_bhat,19,bpm 130-160,88,0.914844,0.835371,0.906861,82,0.885420,0.822827,0.909099
E_bhat,19,bpm 160+,84,0.889807,0.681931,0.772330,84,0.880315,0.780041,0.837417
E_bhat,19,ds:asap,56,0.796786,0.588782,0.729993,56,0.756285,0.504555,0.699804
E_bhat,19,ds:ballroom,86,0.948743,0.901549,0.906948,86,0.950369,0.945677,0.953959
E_bhat,19,ds:beatles,23,0.936243,0.853894,0.905778,23,0.884443,0.802186,0.865360
E_bhat,19,ds:candombe,5,0.988942,0.982001,0.982001,5,0.978799,0.959048,0.959048
E_bhat,19,ds:filosax,6,0.981563,0.879328,0.879328,6,0.992593,0.985507,0.985507
E_bhat,19,ds:groove_midi,42,0.904649,0.839882,0.863831,42,0.892064,0.844208,0.894612
E_bhat,19,ds:guitarset,23,0.894283,0.863406,0.883535,23,0.880438,0.922721,0.922721
E_bhat,19,ds:hainsworth,28,0.918735,0.829800,0.897483,28,0.687875,0.538683,0.721609
E_bhat,19,ds:harmonix,114,0.954096,0.885878,0.949960,114,0.932511,0.847339,0.937948
E_bhat,19,ds:hjdb,29,0.947615,0.924312,0.924312,29,0.945432,0.963758,0.963758
E_bhat,19,ds:jaah,15,0.869670,0.673723,0.678543,15,0.795290,0.760216,0.781168
E_bhat,19,ds:rwc,29,0.875877,0.777614,0.831353,29,0.858208,0.804855,0.845050
E_bhat,19,ds:simac,75,0.793981,0.747059,0.838617,0,nan,nan,nan
E_bhat,19,ds:smc,27,0.642918,0.627443,0.701818,0,nan,nan,nan
E_bhat,19,ds:tapcorrect,13,0.900981,0.778289,0.918525,13,0.877707,0.738211,0.822822
