arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_cap,19,ALL,571,0.883862,0.801518,0.857693,469,0.876267,0.789989,0.863218
E_cap,19,SMC,27,0.647710,0.618311,0.690840,0,nan,nan,nan
E_cap,19,<70 bpm,63,0.738631,0.618193,0.729615,36,0.679498,0.361061,0.697467
E_cap,19,SMC <70,15,0.611342,0.597679,0.686958,0,nan,nan,nan
E_cap,19,>=70 bpm,508,0.901873,0.824253,0.873577,433,0.892626,0.825650,0.876998
E_cap,19,bpm 0-70,63,0.738631,0.618193,0.729615,36,0.679498,0.361061,0.697467
E_cap,19,bpm 70-100,138,0.867493,0.819206,0.860264,97,0.879944,0.801245,0.867642
E_cap,19,bpm 100-130,198,0.926529,0.886435,0.914881,170,0.915524,0.881119,0.902818
E_cap,19,bpm 130-160,88,0.915360,0.833857,0.905441,82,0.882725,0.812132,0.897922
E_cap,19,bpm 160+,84,0.886110,0.675908,0.764705,84,0.870598,0.754771,0.815124
E_cap,19,ds:asap,56,0.790301,0.576207,0.717053,56,0.750013,0.486372,0.698698
E_cap,19,ds:ballroom,86,0.948843,0.896965,0.902805,86,0.947815,0.931806,0.938538
E_cap,19,ds:beatles,23,0.933837,0.848966,0.899421,23,0.875285,0.767347,0.839521
E_cap,19,ds:candombe,5,0.994527,0.989153,0.989153,5,0.985696,0.972381,0.972381
E_cap,19,ds:filosax,6,0.981321,0.878394,0.878394,6,0.988319,0.977174,0.977174
E_cap,19,ds:groove_midi,42,0.899517,0.836446,0.859794,42,0.897162,0.847495,0.897191
E_cap,19,ds:guitarset,23,0.897108,0.867583,0.882838,23,0.870120,0.894998,0.894998
E_cap,19,ds:hainsworth,28,0.913339,0.819020,0.883868,28,0.665826,0.506932,0.705052
E_cap,19,ds:harmonix,114,0.950748,0.876863,0.941002,114,0.927166,0.839145,0.923800
E_cap,19,ds:hjdb,29,0.949873,0.920090,0.920090,29,0.937474,0.940504,0.940504
E_cap,19,ds:jaah,15,0.872586,0.669156,0.677306,15,0.793288,0.718478,0.751782
E_cap,19,ds:rwc,29,0.871160,0.755827,0.810090,29,0.843828,0.767065,0.807260
E_cap,19,ds:simac,75,0.789355,0.741430,0.830136,0,nan,nan,nan
E_cap,19,ds:smc,27,0.647710,0.618311,0.690840,0,nan,nan,nan
E_cap,19,ds:tapcorrect,13,0.886827,0.738228,0.873602,13,0.836598,0.648129,0.745411
E_cap_time,19,ALL,571,0.882575,0.800286,0.857199,469,0.875217,0.789944,0.863060
E_cap_time,19,SMC,27,0.647214,0.612186,0.693719,0,nan,nan,nan
E_cap_time,19,<70 bpm,63,0.738577,0.616429,0.732941,36,0.678401,0.360215,0.695283
E_cap_time,19,SMC <70,15,0.612212,0.592444,0.698895,0,nan,nan,nan
E_cap_time,19,>=70 bpm,508,0.900433,0.823087,0.872609,433,0.891581,0.825672,0.877009
E_cap_time,19,bpm 0-70,63,0.738577,0.616429,0.732941,36,0.678401,0.360215,0.695283
E_cap_time,19,bpm 70-100,138,0.864783,0.819366,0.860784,97,0.877542,0.799828,0.867136
E_cap_time,19,bpm 100-130,198,0.925941,0.885562,0.914180,170,0.916079,0.882636,0.903782
E_cap_time,19,bpm 130-160,88,0.914849,0.831612,0.903386,82,0.881137,0.809707,0.894594
E_cap_time,19,bpm 160+,84,0.883768,0.673005,0.761802,84,0.868406,0.755813,0.817061
E_cap_time,19,ds:asap,56,0.788670,0.573998,0.715535,56,0.747087,0.486085,0.693938
E_cap_time,19,ds:ballroom,86,0.947545,0.897415,0.903255,86,0.946426,0.932152,0.938884
E_cap_time,19,ds:beatles,23,0.933472,0.852015,0.901874,23,0.875285,0.767347,0.839521
E_cap_time,19,ds:candombe,5,0.992622,0.985380,0.985380,5,0.978289,0.958095,0.958095
E_cap_time,19,ds:filosax,6,0.980379,0.876886,0.876886,6,0.988319,0.977174,0.977174
E_cap_time,19,ds:groove_midi,42,0.897356,0.834588,0.856814,42,0.891878,0.847158,0.894728
E_cap_time,19,ds:guitarset,23,0.895237,0.866089,0.884607,23,0.870710,0.901125,0.901125
E_cap_time,19,ds:hainsworth,28,0.912678,0.816504,0.884984,28,0.667535,0.505765,0.703535
E_cap_time,19,ds:harmonix,114,0.950342,0.876413,0.941040,114,0.926818,0.837810,0.924410
E_cap_time,19,ds:hjdb,29,0.950014,0.918506,0.918506,29,0.937678,0.943186,0.943186
E_cap_time,19,ds:jaah,15,0.869634,0.669759,0.677909,15,0.790116,0.720188,0.753492
E_cap_time,19,ds:rwc,29,0.868797,0.755273,0.810141,29,0.846929,0.767766,0.810552
E_cap_time,19,ds:simac,75,0.787461,0.740026,0.827614,0,nan,nan,nan
E_cap_time,19,ds:smc,27,0.647214,0.612186,0.693719,0,nan,nan,nan
E_cap_time,19,ds:tapcorrect,13,0.883281,0.730315,0.868318,13,0.835046,0.645882,0.743164
E_cap_timed,19,ALL,571,0.883043,0.800657,0.857666,469,0.876431,0.790132,0.863422
E_cap_timed,19,SMC,27,0.644276,0.606886,0.692256,0,nan,nan,nan
E_cap_timed,19,<70 bpm,63,0.735472,0.614359,0.732053,36,0.680985,0.364914,0.699982
E_cap_timed,19,SMC <70,15,0.603361,0.578430,0.691403,0,nan,nan,nan
E_cap_timed,19,>=70 bpm,508,0.901344,0.823760,0.873244,433,0.892680,0.825485,0.877010
E_cap_timed,19,bpm 0-70,63,0.735472,0.614359,0.732053,36,0.680985,0.364914,0.699982
E_cap_timed,19,bpm 70-100,138,0.866175,0.819331,0.860941,97,0.878137,0.799621,0.868877
E_cap_timed,19,bpm 100-130,198,0.926224,0.885900,0.914443,170,0.916729,0.881681,0.901112
E_cap_timed,19,bpm 130-160,88,0.915823,0.832979,0.904818,82,0.881090,0.809707,0.894656
E_cap_timed,19,bpm 160+,84,0.885308,0.674908,0.763264,84,0.872119,0.757024,0.820400
E_cap_timed,19,ds:asap,56,0.788427,0.576137,0.716266,56,0.749947,0.488260,0.701509
E_cap_timed,19,ds:ballroom,86,0.948043,0.898091,0.903932,86,0.947742,0.932152,0.938884
E_cap_timed,19,ds:beatles,23,0.933869,0.848353,0.902383,23,0.878283,0.767347,0.839521
E_cap_timed,19,ds:candombe,5,0.996396,0.992857,0.992857,5,0.985696,0.972381,0.972381
E_cap_timed,19,ds:filosax,6,0.980379,0.876886,0.876886,6,0.988319,0.977174,0.977174
E_cap_timed,19,ds:groove_midi,42,0.899009,0.836423,0.858646,42,0.892920,0.847158,0.887784
E_cap_timed,19,ds:guitarset,23,0.895156,0.865867,0.881885,23,0.871146,0.897172,0.897172
E_cap_timed,19,ds:hainsworth,28,0.913942,0.817765,0.883077,28,0.669250,0.510867,0.708817
E_cap_timed,19,ds:harmonix,114,0.950630,0.876158,0.940736,114,0.926694,0.836557,0.923644
E_cap_timed,19,ds:hjdb,29,0.951127,0.919219,0.919219,29,0.937678,0.943186,0.943186
E_cap_timed,19,ds:jaah,15,0.874867,0.669563,0.677712,15,0.795958,0.718844,0.752812
E_cap_timed,19,ds:rwc,29,0.870622,0.760305,0.815173,29,0.847437,0.767984,0.810770
E_cap_timed,19,ds:simac,75,0.787353,0.739327,0.828520,0,nan,nan,nan
E_cap_timed,19,ds:smc,27,0.644276,0.606886,0.692256,0,nan,nan,nan
E_cap_timed,19,ds:tapcorrect,13,0.883134,0.732961,0.868335,13,0.835046,0.645882,0.743164
E_fixb,19,ALL,571,0.886849,0.807440,0.864940,469,0.883239,0.802489,0.875681
E_fixb,19,SMC,27,0.641121,0.606286,0.695063,0,nan,nan,nan
E_fixb,19,<70 bpm,63,0.742281,0.625166,0.740731,36,0.691110,0.377984,0.716762
E_fixb,19,SMC <70,15,0.603719,0.574053,0.686236,0,nan,nan,nan
E_fixb,19,>=70 bpm,508,0.904777,0.830045,0.880344,433,0.899213,0.837783,0.888894
E_fixb,19,bpm 0-70,63,0.742281,0.625166,0.740731,36,0.691110,0.377984,0.716762
E_fixb,19,bpm 70-100,138,0.871045,0.828006,0.870687,97,0.888362,0.821865,0.887969
E_fixb,19,bpm 100-130,198,0.929408,0.890622,0.920362,170,0.920717,0.889670,0.909761
E_fixb,19,bpm 130-160,88,0.917519,0.839046,0.910505,82,0.886774,0.819342,0.905936
E_fixb,19,bpm 160+,84,0.888787,0.681178,0.770287,84,0.880365,0.769153,0.831093
E_fixb,19,ds:asap,56,0.791946,0.592750,0.735942,56,0.758227,0.501036,0.715475
E_fixb,19,ds:ballroom,86,0.952651,0.898932,0.905085,86,0.953734,0.945989,0.953718
E_fixb,19,ds:beatles,23,0.938804,0.857311,0.909867,23,0.881510,0.786879,0.846708
E_fixb,19,ds:candombe,5,0.996396,0.992857,0.992857,5,0.985696,0.972381,0.972381
E_fixb,19,ds:filosax,6,0.981040,0.881487,0.881487,6,0.988319,0.977174,0.977174
E_fixb,19,ds:groove_midi,42,0.901876,0.842413,0.864641,42,0.898529,0.851526,0.895978
E_fixb,19,ds:guitarset,23,0.898443,0.871313,0.890285,23,0.873672,0.903991,0.903991
E_fixb,19,ds:hainsworth,28,0.918385,0.823416,0.891099,28,0.680748,0.522696,0.720311
E_fixb,19,ds:harmonix,114,0.953669,0.880073,0.944599,114,0.930803,0.842857,0.930158
E_fixb,19,ds:hjdb,29,0.953023,0.934895,0.934895,29,0.946537,0.964485,0.964485
E_fixb,19,ds:jaah,15,0.881788,0.677771,0.685098,15,0.808188,0.735774,0.766825
E_fixb,19,ds:rwc,29,0.874684,0.770002,0.823371,29,0.854763,0.793442,0.833143
E_fixb,19,ds:simac,75,0.792207,0.745600,0.832581,0,nan,nan,nan
E_fixb,19,ds:smc,27,0.641121,0.606286,0.695063,0,nan,nan,nan
E_fixb,19,ds:tapcorrect,13,0.901590,0.759322,0.903680,13,0.866027,0.679800,0.780440
