arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_centre,19,ALL,571,0.859174,0.777313,0.833148,469,0.861697,0.819456,0.885411
E_centre,19,SMC,27,0.637680,0.621347,0.691074,0,nan,nan,nan
E_centre,19,<70 bpm,63,0.730768,0.648016,0.761582,36,0.685738,0.426021,0.740668
E_centre,19,SMC <70,15,0.598500,0.584165,0.683177,0,nan,nan,nan
E_centre,19,>=70 bpm,508,0.875099,0.793348,0.842023,433,0.876327,0.852167,0.897446
E_centre,19,bpm 0-70,63,0.730768,0.648016,0.761582,36,0.685738,0.426021,0.740668
E_centre,19,bpm 70-100,138,0.846175,0.827327,0.864762,97,0.862624,0.837631,0.895745
E_centre,19,bpm 100-130,198,0.900826,0.865804,0.894840,170,0.904545,0.903965,0.918319
E_centre,19,bpm 130-160,88,0.886955,0.763685,0.832445,82,0.865940,0.827486,0.912313
E_centre,19,bpm 160+,84,0.849551,0.597809,0.690202,84,0.845181,0.788214,0.842653
E_centre,19,ds:asap,56,0.764241,0.554382,0.693242,56,0.735714,0.519730,0.725668
E_centre,19,ds:ballroom,86,0.925431,0.867098,0.872575,86,0.935183,0.956838,0.961446
E_centre,19,ds:beatles,23,0.903906,0.820900,0.875921,23,0.852425,0.785851,0.838991
E_centre,19,ds:candombe,5,0.956405,0.897944,0.897944,5,0.977208,0.985714,0.985714
E_centre,19,ds:filosax,6,0.938835,0.764945,0.764945,6,0.927087,0.979167,0.979167
E_centre,19,ds:groove_midi,42,0.865907,0.798841,0.824811,42,0.884068,0.872281,0.912757
E_centre,19,ds:guitarset,23,0.844945,0.801368,0.819081,23,0.839806,0.903760,0.903760
E_centre,19,ds:hainsworth,28,0.882399,0.814135,0.881869,28,0.631337,0.554710,0.711766
E_centre,19,ds:harmonix,114,0.917420,0.848639,0.908346,114,0.906266,0.859947,0.940600
E_centre,19,ds:hjdb,29,0.943234,0.874869,0.877382,29,0.948638,0.965634,0.965634
E_centre,19,ds:jaah,15,0.862434,0.596886,0.596886,15,0.778380,0.755315,0.772224
E_centre,19,ds:rwc,29,0.849305,0.760191,0.827341,29,0.843476,0.828965,0.863647
E_centre,19,ds:simac,75,0.776651,0.743572,0.829766,0,nan,nan,nan
E_centre,19,ds:smc,27,0.637680,0.621347,0.691074,0,nan,nan,nan
E_centre,19,ds:tapcorrect,13,0.885992,0.756307,0.894789,13,0.874674,0.745579,0.840243
