arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_conf,4,ALL,571,0.898500,0.820218,0.880190,469,0.891345,0.801500,0.873015
E_conf,4,SMC,27,0.671678,0.666481,0.737968,0,nan,nan,nan
E_conf,4,<70 bpm,63,0.764365,0.651937,0.750187,36,0.704766,0.382057,0.713400
E_conf,4,SMC <70,15,0.622272,0.643476,0.724264,0,nan,nan,nan
E_conf,4,>=70 bpm,508,0.915135,0.841088,0.896313,433,0.906858,0.836373,0.886286
E_conf,4,bpm 0-70,63,0.764365,0.651937,0.750187,36,0.704766,0.382057,0.713400
E_conf,4,bpm 70-100,138,0.879070,0.812090,0.856509,97,0.888537,0.809259,0.882477
E_conf,4,bpm 100-130,198,0.931490,0.876296,0.912075,170,0.926183,0.890294,0.906034
E_conf,4,bpm 130-160,88,0.927445,0.847116,0.924755,82,0.896353,0.822320,0.901958
E_conf,4,bpm 160+,84,0.922940,0.799421,0.894754,84,0.899159,0.772276,0.835417
E_conf,4,ds:asap,56,0.826315,0.634499,0.780616,56,0.777103,0.507758,0.715072
E_conf,4,ds:ballroom,86,0.962032,0.928572,0.935613,86,0.959845,0.944312,0.948920
E_conf,4,ds:beatles,23,0.940666,0.853836,0.911834,23,0.883227,0.772620,0.826740
E_conf,4,ds:candombe,5,0.994554,0.989207,0.989207,5,0.992593,0.985714,0.985714
E_conf,4,ds:filosax,6,0.992371,0.984822,0.984822,6,0.986276,0.973309,0.973309
E_conf,4,ds:groove_midi,42,0.912825,0.843528,0.879358,42,0.911384,0.849776,0.890252
E_conf,4,ds:guitarset,23,0.929948,0.883674,0.915668,23,0.916393,0.914955,0.914955
E_conf,4,ds:hainsworth,28,0.923419,0.850915,0.918649,28,0.662826,0.516474,0.701694
E_conf,4,ds:harmonix,114,0.957701,0.890526,0.952369,114,0.930777,0.841076,0.930752
E_conf,4,ds:hjdb,29,0.968050,0.936788,0.944607,29,0.969286,0.958025,0.958025
E_conf,4,ds:jaah,15,0.952678,0.876261,0.876261,15,0.850155,0.719011,0.757044
E_conf,4,ds:rwc,29,0.889621,0.786505,0.856970,29,0.852053,0.793198,0.830886
E_conf,4,ds:simac,75,0.778393,0.666829,0.758791,0,nan,nan,nan
E_conf,4,ds:smc,27,0.671678,0.666481,0.737968,0,nan,nan,nan
E_conf,4,ds:tapcorrect,13,0.925738,0.787492,0.928813,13,0.860594,0.697722,0.814437
