arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_ctl2,19,ALL,571,0.881938,0.811329,0.870127,469,0.879089,0.818211,0.890691
E_ctl2,19,SMC,27,0.644531,0.612652,0.692952,0,nan,nan,nan
E_ctl2,19,<70 bpm,63,0.735502,0.659239,0.771675,36,0.681580,0.411237,0.741840
E_ctl2,19,SMC <70,15,0.584499,0.579136,0.674103,0,nan,nan,nan
E_ctl2,19,>=70 bpm,508,0.900098,0.830191,0.882336,433,0.895510,0.852047,0.903067
E_ctl2,19,bpm 0-70,63,0.735502,0.659239,0.771675,36,0.681580,0.411237,0.741840
E_ctl2,19,bpm 70-100,138,0.868425,0.838040,0.877098,97,0.878029,0.826532,0.893272
E_ctl2,19,bpm 100-130,198,0.917896,0.886647,0.919422,170,0.918334,0.904445,0.923301
E_ctl2,19,bpm 130-160,88,0.917904,0.844035,0.922637,82,0.884872,0.830528,0.918767
E_ctl2,19,bpm 160+,84,0.891527,0.669718,0.761305,84,0.879887,0.796473,0.858099
E_ctl2,19,ds:asap,56,0.796495,0.599366,0.742619,56,0.759752,0.522422,0.739745
E_ctl2,19,ds:ballroom,86,0.950697,0.891939,0.896863,86,0.949690,0.941678,0.949926
E_ctl2,19,ds:beatles,23,0.921420,0.848491,0.901132,23,0.870932,0.805661,0.872179
E_ctl2,19,ds:candombe,5,0.980328,0.956508,0.956508,5,0.971921,0.973333,0.973333
E_ctl2,19,ds:filosax,6,0.983989,0.859325,0.859325,6,1.000000,1.000000,1.000000
E_ctl2,19,ds:groove_midi,42,0.881043,0.837189,0.861993,42,0.879021,0.849940,0.895682
E_ctl2,19,ds:guitarset,23,0.881798,0.872200,0.901765,23,0.853820,0.929041,0.929041
E_ctl2,19,ds:hainsworth,28,0.917775,0.843523,0.913761,28,0.674042,0.553554,0.723052
E_ctl2,19,ds:harmonix,114,0.946936,0.883645,0.950217,114,0.923744,0.855267,0.945189
E_ctl2,19,ds:hjdb,29,0.961679,0.923345,0.925041,29,0.973340,0.975135,0.975135
E_ctl2,19,ds:jaah,15,0.898433,0.684279,0.684279,15,0.818695,0.796959,0.811228
E_ctl2,19,ds:rwc,29,0.857084,0.786620,0.853623,29,0.842349,0.828911,0.866203
E_ctl2,19,ds:simac,75,0.783521,0.761580,0.849187,0,nan,nan,nan
E_ctl2,19,ds:smc,27,0.644531,0.612652,0.692952,0,nan,nan,nan
E_ctl2,19,ds:tapcorrect,13,0.915695,0.804152,0.950942,13,0.885383,0.751305,0.856707
