arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_detr,19,ALL,571,0.877751,0.790369,0.845610,469,0.866249,0.774841,0.845535
E_detr,19,SMC,27,0.648641,0.605996,0.676329,0,nan,nan,nan
E_detr,19,<70 bpm,63,0.732687,0.605284,0.711593,36,0.664246,0.345130,0.670113
E_detr,19,SMC <70,15,0.611577,0.582631,0.667325,0,nan,nan,nan
E_detr,19,>=70 bpm,508,0.895741,0.813322,0.862231,433,0.883043,0.810568,0.860120
E_detr,19,bpm 0-70,63,0.732687,0.605284,0.711593,36,0.664246,0.345130,0.670113
E_detr,19,bpm 70-100,138,0.860240,0.805475,0.845905,97,0.867928,0.786158,0.850320
E_detr,19,bpm 100-130,198,0.920769,0.876496,0.903285,170,0.907750,0.866201,0.888847
E_detr,19,bpm 130-160,88,0.911554,0.825056,0.896606,82,0.872069,0.794110,0.871873
E_detr,19,bpm 160+,84,0.878502,0.665011,0.756268,84,0.861210,0.742230,0.801825
E_detr,19,ds:asap,56,0.785071,0.567377,0.708827,56,0.735236,0.477739,0.674037
E_detr,19,ds:ballroom,86,0.940825,0.889444,0.894757,86,0.942376,0.924777,0.931509
E_detr,19,ds:beatles,23,0.930850,0.840035,0.887044,23,0.873401,0.758736,0.830124
E_detr,19,ds:candombe,5,0.988884,0.985380,0.985380,5,0.978289,0.958095,0.958095
E_detr,19,ds:filosax,6,0.975092,0.872779,0.872779,6,0.980556,0.962388,0.962388
E_detr,19,ds:groove_midi,42,0.892759,0.821898,0.844357,42,0.881943,0.812978,0.865807
E_detr,19,ds:guitarset,23,0.891276,0.857663,0.871638,23,0.863431,0.886481,0.886481
E_detr,19,ds:hainsworth,28,0.900369,0.802803,0.864936,28,0.649989,0.477811,0.677168
E_detr,19,ds:harmonix,114,0.946166,0.870582,0.933219,114,0.916195,0.822600,0.903312
E_detr,19,ds:hjdb,29,0.947981,0.910947,0.913920,29,0.937488,0.941477,0.941477
E_detr,19,ds:jaah,15,0.860950,0.649145,0.665014,15,0.768122,0.686193,0.722704
E_detr,19,ds:rwc,29,0.859665,0.741274,0.794247,29,0.835109,0.742021,0.780901
E_detr,19,ds:simac,75,0.784488,0.724133,0.810541,0,nan,nan,nan
E_detr,19,ds:smc,27,0.648641,0.605996,0.676329,0,nan,nan,nan
E_detr,19,ds:tapcorrect,13,0.873975,0.712046,0.842704,13,0.824346,0.638242,0.735525
