arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_bgnorm,4,ALL,571,0.852185,0.746812,0.811324,469,0.859195,0.810946,0.882723
E_bgnorm,4,SMC,27,0.589394,0.432391,0.606355,0,nan,nan,nan
E_bgnorm,4,<70 bpm,63,0.658079,0.441274,0.649218,36,0.668443,0.390117,0.712340
E_bgnorm,4,SMC <70,15,0.512361,0.304703,0.580211,0,nan,nan,nan
E_bgnorm,4,>=70 bpm,508,0.876257,0.784704,0.831428,433,0.875055,0.845934,0.896889
E_bgnorm,4,bpm 0-70,63,0.658079,0.441274,0.649218,36,0.668443,0.390117,0.712340
E_bgnorm,4,bpm 70-100,138,0.843246,0.798865,0.856214,97,0.857836,0.826619,0.893814
E_bgnorm,4,bpm 100-130,198,0.893220,0.859757,0.881746,170,0.894282,0.893911,0.912093
E_bgnorm,4,bpm 130-160,88,0.898130,0.753071,0.813791,82,0.867970,0.817736,0.904320
E_bgnorm,4,bpm 160+,84,0.867590,0.617668,0.690576,84,0.862941,0.798671,0.862416
E_bgnorm,4,ds:asap,56,0.763007,0.521594,0.629929,56,0.743733,0.528018,0.729148
E_bgnorm,4,ds:ballroom,86,0.921379,0.855241,0.860815,86,0.923185,0.945340,0.950099
E_bgnorm,4,ds:beatles,23,0.887711,0.797910,0.855420,23,0.847940,0.784936,0.841792
E_bgnorm,4,ds:candombe,5,0.893549,0.806336,0.806336,5,0.877951,0.961667,0.961667
E_bgnorm,4,ds:filosax,6,0.946908,0.808889,0.808889,6,0.956710,1.000000,1.000000
E_bgnorm,4,ds:groove_midi,42,0.855788,0.799643,0.810424,42,0.848342,0.838283,0.885490
E_bgnorm,4,ds:guitarset,23,0.847748,0.777652,0.813706,23,0.832026,0.915078,0.915078
E_bgnorm,4,ds:hainsworth,28,0.880677,0.776579,0.866174,28,0.649393,0.517911,0.714572
E_bgnorm,4,ds:harmonix,114,0.920764,0.839890,0.905282,114,0.906501,0.852260,0.938889
E_bgnorm,4,ds:hjdb,29,0.945232,0.841028,0.843436,29,0.956826,0.957363,0.957363
E_bgnorm,4,ds:jaah,15,0.897009,0.653642,0.653642,15,0.836082,0.753939,0.799598
E_bgnorm,4,ds:rwc,29,0.846749,0.739858,0.778223,29,0.836094,0.816256,0.854435
E_bgnorm,4,ds:simac,75,0.745298,0.667058,0.802259,0,nan,nan,nan
E_bgnorm,4,ds:smc,27,0.589394,0.432391,0.606355,0,nan,nan,nan
E_bgnorm,4,ds:tapcorrect,13,0.904841,0.778146,0.909103,13,0.881539,0.765063,0.882465
E_bigN,4,ALL,571,0.877342,0.800554,0.856796,469,0.872071,0.784958,0.860055
E_bigN,4,SMC,27,0.647239,0.639888,0.714301,0,nan,nan,nan
E_bigN,4,<70 bpm,63,0.748447,0.655855,0.753175,36,0.705723,0.382947,0.725274
E_bigN,4,SMC <70,15,0.622678,0.636435,0.706067,0,nan,nan,nan
E_bigN,4,>=70 bpm,508,0.893327,0.818499,0.869647,433,0.885901,0.818382,0.871261
E_bigN,4,bpm 0-70,63,0.748447,0.655855,0.753175,36,0.705723,0.382947,0.725274
E_bigN,4,bpm 70-100,138,0.856061,0.822299,0.862505,97,0.862663,0.799794,0.873143
E_bigN,4,bpm 100-130,198,0.915521,0.884454,0.914159,170,0.911564,0.879112,0.900170
E_bigN,4,bpm 130-160,88,0.902685,0.804149,0.881570,82,0.871721,0.790857,0.874415
E_bigN,4,bpm 160+,84,0.892429,0.671820,0.763970,84,0.874642,0.743810,0.807499
E_bigN,4,ds:asap,56,0.783498,0.573025,0.715390,56,0.749239,0.481155,0.691604
E_bigN,4,ds:ballroom,86,0.950127,0.889180,0.892593,86,0.948937,0.934239,0.944459
E_bigN,4,ds:beatles,23,0.907782,0.850548,0.891611,23,0.842112,0.744447,0.798567
E_bigN,4,ds:candombe,5,0.974931,0.961827,0.961827,5,0.964974,0.934048,0.934048
E_bigN,4,ds:filosax,6,0.960951,0.831370,0.831370,6,0.968670,0.991667,0.991667
E_bigN,4,ds:groove_midi,42,0.880655,0.826935,0.850174,42,0.869327,0.816404,0.854453
E_bigN,4,ds:guitarset,23,0.915116,0.862639,0.893943,23,0.884528,0.895477,0.895477
E_bigN,4,ds:hainsworth,28,0.900009,0.809907,0.877499,28,0.662982,0.493413,0.716519
E_bigN,4,ds:harmonix,114,0.929538,0.879580,0.944630,114,0.909864,0.823365,0.914331
E_bigN,4,ds:hjdb,29,0.961963,0.914563,0.914563,29,0.960241,0.931599,0.931599
E_bigN,4,ds:jaah,15,0.924496,0.734069,0.734069,15,0.824354,0.725701,0.774659
E_bigN,4,ds:rwc,29,0.852533,0.753790,0.818783,29,0.846434,0.800186,0.833301
E_bigN,4,ds:simac,75,0.784241,0.728371,0.809888,0,nan,nan,nan
E_bigN,4,ds:smc,27,0.647239,0.639888,0.714301,0,nan,nan,nan
E_bigN,4,ds:tapcorrect,13,0.913218,0.798280,0.943834,13,0.886690,0.726330,0.834147
E_ctl,4,ALL,571,0.846690,0.760638,0.815907,469,0.843024,0.795694,0.870027
E_ctl,4,SMC,27,0.623972,0.601143,0.680684,0,nan,nan,nan
E_ctl,4,<70 bpm,63,0.726272,0.638645,0.747944,36,0.670363,0.409552,0.732113
E_ctl,4,SMC <70,15,0.589008,0.561381,0.669684,0,nan,nan,nan
E_ctl,4,>=70 bpm,508,0.861624,0.775767,0.824335,433,0.857379,0.827798,0.881494
E_ctl,4,bpm 0-70,63,0.726272,0.638645,0.747944,36,0.670363,0.409552,0.732113
E_ctl,4,bpm 70-100,138,0.834042,0.826018,0.861609,97,0.839972,0.797732,0.866477
E_ctl,4,bpm 100-130,198,0.873660,0.840715,0.872543,170,0.871141,0.880241,0.900558
E_ctl,4,bpm 130-160,88,0.879725,0.732515,0.806426,82,0.855424,0.814645,0.903192
E_ctl,4,bpm 160+,84,0.859603,0.585432,0.668230,84,0.851536,0.769222,0.839069
E_ctl,4,ds:asap,56,0.778790,0.561133,0.695055,56,0.735456,0.513962,0.723161
E_ctl,4,ds:ballroom,86,0.913625,0.838722,0.842774,86,0.902880,0.909133,0.917881
E_ctl,4,ds:beatles,23,0.873919,0.808628,0.848013,23,0.814917,0.751233,0.809845
E_ctl,4,ds:candombe,5,0.882418,0.774224,0.774224,5,0.852383,0.910000,0.910000
E_ctl,4,ds:filosax,6,0.936208,0.779223,0.779223,6,0.953006,0.992754,0.992754
E_ctl,4,ds:groove_midi,42,0.835880,0.790571,0.819655,42,0.830739,0.832064,0.869706
E_ctl,4,ds:guitarset,23,0.856066,0.792645,0.818410,23,0.828928,0.897396,0.897396
E_ctl,4,ds:hainsworth,28,0.883759,0.806276,0.874010,28,0.645151,0.520176,0.730873
E_ctl,4,ds:harmonix,114,0.902693,0.833795,0.895711,114,0.882153,0.839775,0.928656
E_ctl,4,ds:hjdb,29,0.938227,0.827813,0.828428,29,0.947627,0.962937,0.962937
E_ctl,4,ds:jaah,15,0.879271,0.613127,0.613127,15,0.819796,0.761006,0.820710
E_ctl,4,ds:rwc,29,0.843516,0.752961,0.801800,29,0.825810,0.800421,0.837750
E_ctl,4,ds:simac,75,0.735829,0.709436,0.800184,0,nan,nan,nan
E_ctl,4,ds:smc,27,0.623972,0.601143,0.680684,0,nan,nan,nan
E_ctl,4,ds:tapcorrect,13,0.907994,0.775762,0.902493,13,0.885322,0.768442,0.880426
E_ctl2,4,ALL,571,0.846529,0.765315,0.820446,469,0.845315,0.808530,0.884232
E_ctl2,4,SMC,27,0.641008,0.633706,0.694043,0,nan,nan,nan
E_ctl2,4,<70 bpm,63,0.724033,0.655975,0.756781,36,0.665734,0.395487,0.747688
E_ctl2,4,SMC <70,15,0.601292,0.598187,0.669505,0,nan,nan,nan
E_ctl2,4,>=70 bpm,508,0.861721,0.778875,0.828342,433,0.860245,0.842871,0.895585
E_ctl2,4,bpm 0-70,63,0.724033,0.655975,0.756781,36,0.665734,0.395487,0.747688
E_ctl2,4,bpm 70-100,138,0.836025,0.833243,0.870410,97,0.849300,0.821635,0.878287
E_ctl2,4,bpm 100-130,198,0.871896,0.840313,0.872307,170,0.874886,0.893953,0.914665
E_ctl2,4,bpm 130-160,88,0.880577,0.740719,0.816534,82,0.848864,0.821431,0.910184
E_ctl2,4,bpm 160+,84,0.860197,0.584710,0.667965,84,0.854365,0.784941,0.862693
E_ctl2,4,ds:asap,56,0.778496,0.565891,0.701278,56,0.739179,0.523016,0.749878
E_ctl2,4,ds:ballroom,86,0.909062,0.844226,0.848231,86,0.910008,0.937674,0.946810
E_ctl2,4,ds:beatles,23,0.870924,0.808013,0.849295,23,0.821810,0.769157,0.835675
E_ctl2,4,ds:candombe,5,0.936055,0.825979,0.825979,5,0.894909,0.934048,0.934048
E_ctl2,4,ds:filosax,6,0.946451,0.783167,0.783167,6,0.942386,0.971618,0.971618
E_ctl2,4,ds:groove_midi,42,0.835502,0.792218,0.822474,42,0.829595,0.848729,0.891891
E_ctl2,4,ds:guitarset,23,0.851527,0.804179,0.831251,23,0.836151,0.918112,0.918112
E_ctl2,4,ds:hainsworth,28,0.881578,0.804857,0.873772,28,0.650624,0.541228,0.727434
E_ctl2,4,ds:harmonix,114,0.902264,0.833130,0.896468,114,0.884814,0.847112,0.932021
E_ctl2,4,ds:hjdb,29,0.932119,0.826330,0.827607,29,0.934229,0.966586,0.966586
E_ctl2,4,ds:jaah,15,0.890418,0.622312,0.622312,15,0.805194,0.763071,0.837172
E_ctl2,4,ds:rwc,29,0.835104,0.753624,0.800963,29,0.822929,0.805146,0.844770
E_ctl2,4,ds:simac,75,0.735886,0.715352,0.807204,0,nan,nan,nan
E_ctl2,4,ds:smc,27,0.641008,0.633706,0.694043,0,nan,nan,nan
E_ctl2,4,ds:tapcorrect,13,0.913854,0.776251,0.901867,13,0.890099,0.751268,0.868014
E_ctl_s1,4,ALL,571,0.848222,0.769309,0.830117,469,0.855210,0.814021,0.887054
E_ctl_s1,4,SMC,27,0.610570,0.588455,0.681462,0,nan,nan,nan
E_ctl_s1,4,<70 bpm,63,0.699184,0.605140,0.746807,36,0.683661,0.396082,0.738339
E_ctl_s1,4,SMC <70,15,0.553434,0.527385,0.666365,0,nan,nan,nan
E_ctl_s1,4,>=70 bpm,508,0.866705,0.789668,0.840449,433,0.869473,0.848769,0.899418
E_ctl_s1,4,bpm 0-70,63,0.699184,0.605140,0.746807,36,0.683661,0.396082,0.738339
E_ctl_s1,4,bpm 70-100,138,0.835814,0.829764,0.871716,97,0.853417,0.833643,0.899881
E_ctl_s1,4,bpm 100-130,198,0.885374,0.859019,0.890513,170,0.892624,0.898901,0.915279
E_ctl_s1,4,bpm 130-160,88,0.881141,0.751578,0.822844,82,0.853146,0.822205,0.908954
E_ctl_s1,4,bpm 160+,84,0.858330,0.600230,0.689514,84,0.857099,0.790708,0.857476
E_ctl_s1,4,ds:asap,56,0.772728,0.578743,0.715403,56,0.735590,0.518255,0.746615
E_ctl_s1,4,ds:ballroom,86,0.917112,0.856198,0.859499,86,0.932634,0.947051,0.957271
E_ctl_s1,4,ds:beatles,23,0.892825,0.818648,0.873760,23,0.849401,0.787216,0.838599
E_ctl_s1,4,ds:candombe,5,0.951575,0.856237,0.856237,5,0.952593,0.960714,0.960714
E_ctl_s1,4,ds:filosax,6,0.966059,0.798494,0.798494,6,0.989050,0.978865,0.978865
E_ctl_s1,4,ds:groove_midi,42,0.855873,0.816136,0.839725,42,0.843279,0.854725,0.895201
E_ctl_s1,4,ds:guitarset,23,0.867067,0.805411,0.836101,23,0.853694,0.938078,0.938078
E_ctl_s1,4,ds:hainsworth,28,0.877708,0.785310,0.880047,28,0.657409,0.560046,0.733047
E_ctl_s1,4,ds:harmonix,114,0.906352,0.836629,0.902938,114,0.894915,0.844516,0.933660
E_ctl_s1,4,ds:hjdb,29,0.925643,0.828440,0.832097,29,0.934091,0.964146,0.964146
