arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_globalb,4,ALL,571,0.845208,0.753968,0.806453,469,0.840736,0.796779,0.868373
E_globalb,4,SMC,27,0.635773,0.623190,0.678117,0,nan,nan,nan
E_globalb,4,<70 bpm,63,0.712257,0.637158,0.739250,36,0.675092,0.402179,0.718419
E_globalb,4,SMC <70,15,0.602891,0.611459,0.683273,0,nan,nan,nan
E_globalb,4,>=70 bpm,508,0.861696,0.768454,0.814787,433,0.854507,0.829586,0.880840
E_globalb,4,bpm 0-70,63,0.712257,0.637158,0.739250,36,0.675092,0.402179,0.718419
E_globalb,4,bpm 70-100,138,0.838569,0.824045,0.858900,97,0.837044,0.806944,0.865651
E_globalb,4,bpm 100-130,198,0.875037,0.835351,0.864399,170,0.872433,0.878106,0.898459
E_globalb,4,bpm 130-160,88,0.882118,0.727129,0.796277,82,0.855060,0.808720,0.893472
E_globalb,4,bpm 160+,84,0.846849,0.562735,0.644765,84,0.837856,0.777906,0.850391
E_globalb,4,ds:asap,56,0.769581,0.542851,0.676310,56,0.729650,0.523368,0.726443
E_globalb,4,ds:ballroom,86,0.902464,0.831151,0.836203,86,0.892790,0.919824,0.927964
E_globalb,4,ds:beatles,23,0.859657,0.797544,0.840155,23,0.812198,0.761651,0.828169
E_globalb,4,ds:candombe,5,0.941474,0.777300,0.777300,5,0.936928,0.959048,0.959048
E_globalb,4,ds:filosax,6,0.905958,0.752073,0.752073,6,0.941558,1.000000,1.000000
E_globalb,4,ds:groove_midi,42,0.845488,0.779445,0.801789,42,0.827519,0.832957,0.867183
E_globalb,4,ds:guitarset,23,0.831865,0.773377,0.796669,23,0.836494,0.906254,0.906254
E_globalb,4,ds:hainsworth,28,0.877910,0.786311,0.851623,28,0.639117,0.503429,0.690081
E_globalb,4,ds:harmonix,114,0.914742,0.829469,0.889341,114,0.893337,0.834986,0.919386
E_globalb,4,ds:hjdb,29,0.921066,0.828122,0.829970,29,0.925133,0.952592,0.952592
E_globalb,4,ds:jaah,15,0.851907,0.588249,0.588249,15,0.792302,0.759367,0.845571
E_globalb,4,ds:rwc,29,0.846785,0.743393,0.788986,29,0.824379,0.806737,0.839183
E_globalb,4,ds:simac,75,0.740010,0.713393,0.799441,0,nan,nan,nan
E_globalb,4,ds:smc,27,0.635773,0.623190,0.678117,0,nan,nan,nan
E_globalb,4,ds:tapcorrect,13,0.905525,0.774306,0.900440,13,0.869147,0.726084,0.838095
