arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_bgnorm,9,ALL,571,0.866196,0.777045,0.840490,469,0.865308,0.797199,0.870592
E_bgnorm,9,SMC,27,0.597849,0.492591,0.626378,0,nan,nan,nan
E_bgnorm,9,<70 bpm,63,0.688477,0.520860,0.672710,36,0.667096,0.385892,0.714215
E_bgnorm,9,SMC <70,15,0.516039,0.382020,0.571902,0,nan,nan,nan
E_bgnorm,9,>=70 bpm,508,0.888236,0.808816,0.861297,433,0.881788,0.831396,0.883594
E_bgnorm,9,bpm 0-70,63,0.688477,0.520860,0.672710,36,0.667096,0.385892,0.714215
E_bgnorm,9,bpm 70-100,138,0.855883,0.809736,0.861129,97,0.860244,0.790532,0.860738
E_bgnorm,9,bpm 100-130,198,0.906163,0.867017,0.899087,170,0.905728,0.883332,0.903959
E_bgnorm,9,bpm 130-160,88,0.906738,0.829193,0.900196,82,0.876217,0.815816,0.901137
E_bgnorm,9,bpm 160+,84,0.879748,0.648768,0.731744,84,0.863654,0.788685,0.851647
E_bgnorm,9,ds:asap,56,0.782006,0.562692,0.685569,56,0.739404,0.494757,0.700124
E_bgnorm,9,ds:ballroom,86,0.936321,0.869203,0.873797,86,0.930165,0.918450,0.926202
E_bgnorm,9,ds:beatles,23,0.895913,0.820163,0.885247,23,0.849757,0.767532,0.824175
E_bgnorm,9,ds:candombe,5,0.929197,0.908219,0.908219,5,0.900784,0.947381,0.947381
E_bgnorm,9,ds:filosax,6,0.978454,0.849355,0.849355,6,0.996296,0.992754,0.992754
E_bgnorm,9,ds:groove_midi,42,0.861881,0.818526,0.844863,42,0.856144,0.835496,0.873138
E_bgnorm,9,ds:guitarset,23,0.858460,0.801184,0.824476,23,0.817495,0.886631,0.886631
E_bgnorm,9,ds:hainsworth,28,0.898317,0.797103,0.893138,28,0.663490,0.516421,0.730496
E_bgnorm,9,ds:harmonix,114,0.938422,0.863617,0.930594,114,0.919285,0.844427,0.932352
E_bgnorm,9,ds:hjdb,29,0.959429,0.917031,0.923565,29,0.973790,0.968857,0.968857
E_bgnorm,9,ds:jaah,15,0.890142,0.671805,0.671805,15,0.817969,0.789580,0.844761
E_bgnorm,9,ds:rwc,29,0.857335,0.764089,0.807269,29,0.837514,0.798214,0.834796
E_bgnorm,9,ds:simac,75,0.760291,0.705446,0.820958,0,nan,nan,nan
E_bgnorm,9,ds:smc,27,0.597849,0.492591,0.626378,0,nan,nan,nan
E_bgnorm,9,ds:tapcorrect,13,0.913902,0.793452,0.929625,13,0.882213,0.734632,0.847272
E_bigN,9,ALL,571,0.890768,0.810834,0.872234,469,0.886050,0.809183,0.878684
E_bigN,9,SMC,27,0.654379,0.557603,0.671568,0,nan,nan,nan
E_bigN,9,<70 bpm,63,0.743131,0.618756,0.744304,36,0.713176,0.402163,0.719845
E_bigN,9,SMC <70,15,0.602100,0.493038,0.659818,0,nan,nan,nan
E_bigN,9,>=70 bpm,508,0.909078,0.834655,0.888099,433,0.900422,0.843023,0.891890
E_bigN,9,bpm 0-70,63,0.743131,0.618756,0.744304,36,0.713176,0.402163,0.719845
E_bigN,9,bpm 70-100,138,0.874511,0.822719,0.868271,97,0.880712,0.822024,0.885707
E_bigN,9,bpm 100-130,198,0.926306,0.888802,0.920938,170,0.921420,0.898080,0.911196
E_bigN,9,bpm 130-160,88,0.924687,0.840074,0.916566,82,0.894432,0.824389,0.909299
E_bigN,9,bpm 160+,84,0.908904,0.720955,0.813446,84,0.886536,0.774034,0.842963
E_bigN,9,ds:asap,56,0.802631,0.607471,0.740844,56,0.767286,0.509327,0.722984
E_bigN,9,ds:ballroom,86,0.954753,0.903311,0.907583,86,0.953999,0.936583,0.941191
E_bigN,9,ds:beatles,23,0.920161,0.842949,0.903100,23,0.865256,0.783809,0.843638
E_bigN,9,ds:candombe,5,0.980010,0.968041,0.968041,5,0.978818,0.960000,0.960000
E_bigN,9,ds:filosax,6,0.978985,0.905572,0.905572,6,0.976816,0.992754,0.992754
E_bigN,9,ds:groove_midi,42,0.896262,0.829270,0.861536,42,0.891872,0.849705,0.890181
E_bigN,9,ds:guitarset,23,0.920587,0.874039,0.905982,23,0.899824,0.928059,0.928059
E_bigN,9,ds:hainsworth,28,0.928011,0.840564,0.906498,28,0.676698,0.543697,0.711788
E_bigN,9,ds:harmonix,114,0.944698,0.880364,0.948054,114,0.925426,0.851779,0.933380
E_bigN,9,ds:hjdb,29,0.970357,0.929400,0.934586,29,0.972354,0.945094,0.945094
E_bigN,9,ds:jaah,15,0.948373,0.786620,0.786620,15,0.855544,0.777100,0.816176
E_bigN,9,ds:rwc,29,0.879242,0.770904,0.836108,29,0.854378,0.813770,0.851969
E_bigN,9,ds:simac,75,0.793690,0.747588,0.843211,0,nan,nan,nan
E_bigN,9,ds:smc,27,0.654379,0.557603,0.671568,0,nan,nan,nan
E_bigN,9,ds:tapcorrect,13,0.929207,0.812303,0.958192,13,0.883100,0.740864,0.852848
E_ctl,9,ALL,571,0.869106,0.796231,0.855170,469,0.867856,0.808936,0.883763
E_ctl,9,SMC,27,0.625275,0.610870,0.687695,0,nan,nan,nan
E_ctl,9,<70 bpm,63,0.726317,0.637449,0.752961,36,0.673727,0.407759,0.740503
E_ctl,9,SMC <70,15,0.574662,0.571515,0.669604,0,nan,nan,nan
E_ctl,9,>=70 bpm,508,0.886814,0.815922,0.867846,433,0.883996,0.842290,0.895674
E_ctl,9,bpm 0-70,63,0.726317,0.637449,0.752961,36,0.673727,0.407759,0.740503
E_ctl,9,bpm 70-100,138,0.857438,0.837725,0.882367,97,0.870367,0.815045,0.890186
E_ctl,9,bpm 100-130,198,0.907251,0.873199,0.905575,170,0.910796,0.890839,0.913522
E_ctl,9,bpm 130-160,88,0.906164,0.826315,0.900767,82,0.871730,0.824410,0.909939
E_ctl,9,bpm 160+,84,0.866633,0.634208,0.720568,84,0.857469,0.792955,0.851963
E_ctl,9,ds:asap,56,0.787368,0.578400,0.718209,56,0.752461,0.522061,0.727365
E_ctl,9,ds:ballroom,86,0.931525,0.871333,0.876190,86,0.936367,0.933500,0.944813
E_ctl,9,ds:beatles,23,0.896377,0.832362,0.891359,23,0.853535,0.773565,0.830421
E_ctl,9,ds:candombe,5,0.937335,0.906583,0.906583,5,0.885399,0.947381,0.947381
E_ctl,9,ds:filosax,6,0.966895,0.830219,0.830219,6,0.984392,0.992754,0.992754
E_ctl,9,ds:groove_midi,42,0.870125,0.820309,0.849613,42,0.862664,0.839161,0.879637
E_ctl,9,ds:guitarset,23,0.865372,0.831729,0.857494,23,0.821535,0.891513,0.891513
E_ctl,9,ds:hainsworth,28,0.895207,0.820733,0.898299,28,0.661269,0.530704,0.735451
E_ctl,9,ds:harmonix,114,0.942541,0.875194,0.941472,114,0.918901,0.851284,0.943605
E_ctl,9,ds:hjdb,29,0.959624,0.917184,0.918705,29,0.974442,0.982023,0.982023
E_ctl,9,ds:jaah,15,0.871609,0.654238,0.654238,15,0.808862,0.781566,0.822983
E_ctl,9,ds:rwc,29,0.859138,0.789658,0.843058,29,0.836520,0.826068,0.867373
E_ctl,9,ds:simac,75,0.766115,0.750518,0.844049,0,nan,nan,nan
E_ctl,9,ds:smc,27,0.625275,0.610870,0.687695,0,nan,nan,nan
E_ctl,9,ds:tapcorrect,13,0.909821,0.787272,0.927104,13,0.872779,0.736585,0.854993
E_ctl2,9,ALL,571,0.867934,0.794871,0.854439,469,0.868863,0.809524,0.884874
E_ctl2,9,SMC,27,0.620393,0.609303,0.689014,0,nan,nan,nan
E_ctl2,9,<70 bpm,63,0.725045,0.630383,0.745941,36,0.676855,0.398849,0.738752
E_ctl2,9,SMC <70,15,0.569646,0.563671,0.664995,0,nan,nan,nan
E_ctl2,9,>=70 bpm,508,0.885654,0.815271,0.867895,433,0.884827,0.843668,0.897023
E_ctl2,9,bpm 0-70,63,0.725045,0.630383,0.745941,36,0.676855,0.398849,0.738752
E_ctl2,9,bpm 70-100,138,0.856527,0.836559,0.878644,97,0.868420,0.811402,0.886607
E_ctl2,9,bpm 100-130,198,0.903121,0.872623,0.906063,170,0.909101,0.898028,0.918785
E_ctl2,9,bpm 130-160,88,0.901142,0.821337,0.898322,82,0.874744,0.824230,0.910545
E_ctl2,9,bpm 160+,84,0.876110,0.638754,0.728391,84,0.864490,0.789885,0.851809
E_ctl2,9,ds:asap,56,0.781240,0.579713,0.721483,56,0.745154,0.507081,0.717399
E_ctl2,9,ds:ballroom,86,0.941066,0.879369,0.882958,86,0.942903,0.940106,0.949139
E_ctl2,9,ds:beatles,23,0.897742,0.831024,0.889878,23,0.850459,0.781935,0.843139
E_ctl2,9,ds:candombe,5,0.934234,0.888520,0.888520,5,0.922116,0.960714,0.960714
E_ctl2,9,ds:filosax,6,0.980052,0.828621,0.828621,6,1.000000,1.000000,1.000000
E_ctl2,9,ds:groove_midi,42,0.870901,0.827319,0.859480,42,0.873480,0.850370,0.890846
E_ctl2,9,ds:guitarset,23,0.860312,0.828010,0.857848,23,0.814045,0.920048,0.920048
E_ctl2,9,ds:hainsworth,28,0.898808,0.813586,0.888084,28,0.665675,0.523930,0.731428
E_ctl2,9,ds:harmonix,114,0.933781,0.867566,0.933328,114,0.912976,0.847101,0.940420
E_ctl2,9,ds:hjdb,29,0.953310,0.908446,0.909946,29,0.967949,0.976630,0.976630
E_ctl2,9,ds:jaah,15,0.892047,0.665595,0.665595,15,0.828634,0.794100,0.838820
E_ctl2,9,ds:rwc,29,0.854248,0.784813,0.845612,29,0.840152,0.817665,0.857329
E_ctl2,9,ds:simac,75,0.763212,0.746528,0.839547,0,nan,nan,nan
E_ctl2,9,ds:smc,27,0.620393,0.609303,0.689014,0,nan,nan,nan
E_ctl2,9,ds:tapcorrect,13,0.918121,0.788484,0.931296,13,0.885826,0.736200,0.844500
E_ctl_s1,9,ALL,571,0.862541,0.793516,0.852598,469,0.867651,0.817520,0.890483
E_ctl_s1,9,SMC,27,0.660799,0.676919,0.734781,0,nan,nan,nan
E_ctl_s1,9,<70 bpm,63,0.726374,0.678728,0.781270,36,0.666804,0.416745,0.761201
E_ctl_s1,9,SMC <70,15,0.615587,0.689942,0.752301,0,nan,nan,nan
E_ctl_s1,9,>=70 bpm,508,0.879427,0.807751,0.861444,433,0.884350,0.850840,0.901232
