arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_bigN,9,ALL,571,0.890768,0.810834,0.872234,469,0.886050,0.809183,0.878684
E_bigN,9,SMC,27,0.654379,0.557603,0.671568,0,nan,nan,nan
E_bigN,9,<70 bpm,63,0.743131,0.618756,0.744304,36,0.713176,0.402163,0.719845
E_bigN,9,SMC <70,15,0.602100,0.493038,0.659818,0,nan,nan,nan
E_bigN,9,>=70 bpm,508,0.909078,0.834655,0.888099,433,0.900422,0.843023,0.891890
E_bigN,9,bpm 0-70,63,0.743131,0.618756,0.744304,36,0.713176,0.402163,0.719845
E_bigN,9,bpm 70-100,138,0.874511,0.822719,0.868271,97,0.880712,0.822024,0.885707
E_bigN,9,bpm 100-130,198,0.926306,0.888802,0.920938,170,0.921420,0.898080,0.911196
E_bigN,9,bpm 130-160,88,0.924687,0.840074,0.916566,82,0.894432,0.824389,0.909299
E_bigN,9,bpm 160+,84,0.908904,0.720955,0.813446,84,0.886536,0.774034,0.842963
E_bigN,9,ds:asap,56,0.802631,0.607471,0.740844,56,0.767286,0.509327,0.722984
E_bigN,9,ds:ballroom,86,0.954753,0.903311,0.907583,86,0.953999,0.936583,0.941191
E_bigN,9,ds:beatles,23,0.920161,0.842949,0.903100,23,0.865256,0.783809,0.843638
E_bigN,9,ds:candombe,5,0.980010,0.968041,0.968041,5,0.978818,0.960000,0.960000
E_bigN,9,ds:filosax,6,0.978985,0.905572,0.905572,6,0.976816,0.992754,0.992754
E_bigN,9,ds:groove_midi,42,0.896262,0.829270,0.861536,42,0.891872,0.849705,0.890181
E_bigN,9,ds:guitarset,23,0.920587,0.874039,0.905982,23,0.899824,0.928059,0.928059
E_bigN,9,ds:hainsworth,28,0.928011,0.840564,0.906498,28,0.676698,0.543697,0.711788
E_bigN,9,ds:harmonix,114,0.944698,0.880364,0.948054,114,0.925426,0.851779,0.933380
E_bigN,9,ds:hjdb,29,0.970357,0.929400,0.934586,29,0.972354,0.945094,0.945094
E_bigN,9,ds:jaah,15,0.948373,0.786620,0.786620,15,0.855544,0.777100,0.816176
E_bigN,9,ds:rwc,29,0.879242,0.770904,0.836108,29,0.854378,0.813770,0.851969
E_bigN,9,ds:simac,75,0.793690,0.747588,0.843211,0,nan,nan,nan
E_bigN,9,ds:smc,27,0.654379,0.557603,0.671568,0,nan,nan,nan
E_bigN,9,ds:tapcorrect,13,0.929207,0.812303,0.958192,13,0.883100,0.740864,0.852848
E_ctl,9,ALL,571,0.869106,0.796231,0.855170,469,0.867856,0.808936,0.883763
E_ctl,9,SMC,27,0.625275,0.610870,0.687695,0,nan,nan,nan
E_ctl,9,<70 bpm,63,0.726317,0.637449,0.752961,36,0.673727,0.407759,0.740503
E_ctl,9,SMC <70,15,0.574662,0.571515,0.669604,0,nan,nan,nan
E_ctl,9,>=70 bpm,508,0.886814,0.815922,0.867846,433,0.883996,0.842290,0.895674
