arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_estep,19,ALL,571,0.886807,0.811324,0.869338,469,0.883685,0.808688,0.882203
E_estep,19,SMC,27,0.647282,0.641938,0.711752,0,nan,nan,nan
E_estep,19,<70 bpm,63,0.745759,0.649048,0.761873,36,0.690729,0.397552,0.733186
E_estep,19,SMC <70,15,0.612602,0.634988,0.720185,0,nan,nan,nan
E_estep,19,>=70 bpm,508,0.904299,0.831449,0.882665,433,0.899727,0.842871,0.894592
E_estep,19,bpm 0-70,63,0.745759,0.649048,0.761873,36,0.690729,0.397552,0.733186
E_estep,19,bpm 70-100,138,0.871503,0.832457,0.874091,97,0.886109,0.824107,0.888394
E_estep,19,bpm 100-130,198,0.927762,0.892259,0.923285,170,0.923879,0.893537,0.915962
E_estep,19,bpm 130-160,88,0.913026,0.835187,0.908533,82,0.881989,0.821162,0.908188
E_estep,19,bpm 160+,84,0.893728,0.682539,0.773903,84,0.883892,0.783191,0.845231
E_estep,19,ds:asap,56,0.794164,0.587623,0.735222,56,0.754614,0.508702,0.722656
E_estep,19,ds:ballroom,86,0.951760,0.900335,0.905417,86,0.951267,0.941291,0.950681
E_estep,19,ds:beatles,23,0.936354,0.856659,0.909498,23,0.887815,0.805325,0.865154
E_estep,19,ds:candombe,5,0.990811,0.989409,0.989409,5,0.978799,0.959048,0.959048
E_estep,19,ds:filosax,6,0.981584,0.877735,0.877735,6,0.992593,0.985507,0.985507
E_estep,19,ds:groove_midi,42,0.901966,0.839449,0.864293,42,0.896229,0.846690,0.897094
E_estep,19,ds:guitarset,23,0.898447,0.869039,0.891204,23,0.884737,0.926716,0.926716
E_estep,19,ds:hainsworth,28,0.918884,0.835877,0.904884,28,0.683884,0.536706,0.733842
E_estep,19,ds:harmonix,114,0.954499,0.886316,0.951621,114,0.931608,0.847633,0.933792
E_estep,19,ds:hjdb,29,0.947154,0.926640,0.926640,29,0.946963,0.967208,0.967208
E_estep,19,ds:jaah,15,0.870389,0.670881,0.678207,15,0.796197,0.758154,0.785033
E_estep,19,ds:rwc,29,0.879075,0.784933,0.840448,29,0.860976,0.808188,0.847600
E_estep,19,ds:simac,75,0.792229,0.750693,0.841100,0,nan,nan,nan
E_estep,19,ds:smc,27,0.647282,0.641938,0.711752,0,nan,nan,nan
E_estep,19,ds:tapcorrect,13,0.897198,0.768577,0.914131,13,0.876599,0.708735,0.809375
