arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_fixb,19,ALL,571,0.886849,0.807440,0.864940,469,0.883239,0.802489,0.875681
E_fixb,19,SMC,27,0.641121,0.606286,0.695063,0,nan,nan,nan
E_fixb,19,<70 bpm,63,0.742281,0.625166,0.740731,36,0.691110,0.377984,0.716762
E_fixb,19,SMC <70,15,0.603719,0.574053,0.686236,0,nan,nan,nan
E_fixb,19,>=70 bpm,508,0.904777,0.830045,0.880344,433,0.899213,0.837783,0.888894
E_fixb,19,bpm 0-70,63,0.742281,0.625166,0.740731,36,0.691110,0.377984,0.716762
E_fixb,19,bpm 70-100,138,0.871045,0.828006,0.870687,97,0.888362,0.821865,0.887969
E_fixb,19,bpm 100-130,198,0.929408,0.890622,0.920362,170,0.920717,0.889670,0.909761
E_fixb,19,bpm 130-160,88,0.917519,0.839046,0.910505,82,0.886774,0.819342,0.905936
E_fixb,19,bpm 160+,84,0.888787,0.681178,0.770287,84,0.880365,0.769153,0.831093
E_fixb,19,ds:asap,56,0.791946,0.592750,0.735942,56,0.758227,0.501036,0.715475
E_fixb,19,ds:ballroom,86,0.952651,0.898932,0.905085,86,0.953734,0.945989,0.953718
E_fixb,19,ds:beatles,23,0.938804,0.857311,0.909867,23,0.881510,0.786879,0.846708
E_fixb,19,ds:candombe,5,0.996396,0.992857,0.992857,5,0.985696,0.972381,0.972381
E_fixb,19,ds:filosax,6,0.981040,0.881487,0.881487,6,0.988319,0.977174,0.977174
E_fixb,19,ds:groove_midi,42,0.901876,0.842413,0.864641,42,0.898529,0.851526,0.895978
E_fixb,19,ds:guitarset,23,0.898443,0.871313,0.890285,23,0.873672,0.903991,0.903991
E_fixb,19,ds:hainsworth,28,0.918385,0.823416,0.891099,28,0.680748,0.522696,0.720311
E_fixb,19,ds:harmonix,114,0.953669,0.880073,0.944599,114,0.930803,0.842857,0.930158
E_fixb,19,ds:hjdb,29,0.953023,0.934895,0.934895,29,0.946537,0.964485,0.964485
E_fixb,19,ds:jaah,15,0.881788,0.677771,0.685098,15,0.808188,0.735774,0.766825
E_fixb,19,ds:rwc,29,0.874684,0.770002,0.823371,29,0.854763,0.793442,0.833143
E_fixb,19,ds:simac,75,0.792207,0.745600,0.832581,0,nan,nan,nan
E_fixb,19,ds:smc,27,0.641121,0.606286,0.695063,0,nan,nan,nan
E_fixb,19,ds:tapcorrect,13,0.901590,0.759322,0.903680,13,0.866027,0.679800,0.780440
