arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_gate,4,ALL,571,0.779910,0.613957,0.660369,469,0.763245,0.673279,0.740188
E_gate,4,SMC,27,0.617475,0.569016,0.599312,0,nan,nan,nan
E_gate,4,<70 bpm,63,0.678226,0.562415,0.645251,36,0.601577,0.299902,0.587765
E_gate,4,SMC <70,15,0.606106,0.593301,0.636068,0,nan,nan,nan
E_gate,4,>=70 bpm,508,0.792521,0.620348,0.662244,433,0.776687,0.704322,0.752861
E_gate,4,bpm 0-70,63,0.678226,0.562415,0.645251,36,0.601577,0.299902,0.587765
E_gate,4,bpm 70-100,138,0.744451,0.689307,0.716337,97,0.749886,0.676364,0.740904
E_gate,4,bpm 100-130,198,0.811562,0.693637,0.723346,170,0.803935,0.748056,0.768883
E_gate,4,bpm 130-160,88,0.817152,0.489433,0.549654,82,0.766689,0.695168,0.773724
E_gate,4,bpm 160+,84,0.800803,0.471457,0.547302,84,0.762248,0.657032,0.713874
E_gate,4,ds:asap,56,0.722775,0.450406,0.567873,56,0.657393,0.441618,0.627470
E_gate,4,ds:ballroom,86,0.862361,0.711813,0.716353,86,0.833890,0.791131,0.801015
E_gate,4,ds:beatles,23,0.830227,0.678937,0.710683,23,0.760571,0.653010,0.718525
E_gate,4,ds:candombe,5,0.860383,0.555331,0.555331,5,0.808295,0.793595,0.793595
E_gate,4,ds:filosax,6,0.913778,0.652440,0.652440,6,0.924117,0.910708,0.910708
E_gate,4,ds:groove_midi,42,0.787584,0.642219,0.673784,42,0.745053,0.705238,0.733889
E_gate,4,ds:guitarset,23,0.756390,0.571688,0.589804,23,0.734063,0.759983,0.759983
E_gate,4,ds:hainsworth,28,0.845520,0.642778,0.696445,28,0.595912,0.406889,0.612158
E_gate,4,ds:harmonix,114,0.849111,0.694849,0.744916,114,0.796312,0.711668,0.788951
E_gate,4,ds:hjdb,29,0.846352,0.540489,0.540489,29,0.835650,0.822936,0.822936
E_gate,4,ds:jaah,15,0.820079,0.475468,0.476145,15,0.733470,0.595063,0.653913
E_gate,4,ds:rwc,29,0.795244,0.612986,0.663162,29,0.750128,0.652295,0.670863
E_gate,4,ds:simac,75,0.582895,0.544003,0.628325,0,nan,nan,nan
E_gate,4,ds:smc,27,0.617475,0.569016,0.599312,0,nan,nan,nan
E_gate,4,ds:tapcorrect,13,0.812722,0.595739,0.691344,13,0.747992,0.555239,0.665512
