arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_gate_time,19,ALL,571,0.823037,0.664820,0.715767,469,0.807837,0.714973,0.781262
E_gate_time,19,SMC,27,0.611154,0.577293,0.630820,0,nan,nan,nan
E_gate_time,19,<70 bpm,63,0.695710,0.609762,0.702034,36,0.624597,0.350535,0.657548
E_gate_time,19,SMC <70,15,0.565474,0.557619,0.637090,0,nan,nan,nan
E_gate_time,19,>=70 bpm,508,0.838827,0.671649,0.717470,433,0.823072,0.745272,0.791548
E_gate_time,19,bpm 0-70,63,0.695710,0.609762,0.702034,36,0.624597,0.350535,0.657548
E_gate_time,19,bpm 70-100,138,0.805398,0.739069,0.767696,97,0.810842,0.732749,0.792830
E_gate_time,19,bpm 100-130,198,0.857848,0.754923,0.786113,170,0.839158,0.797504,0.816308
E_gate_time,19,bpm 130-160,88,0.859339,0.538964,0.607150,82,0.816667,0.718834,0.798247
E_gate_time,19,bpm 160+,84,0.827425,0.503600,0.588728,84,0.810889,0.679834,0.733418
E_gate_time,19,ds:asap,56,0.742563,0.473026,0.601626,56,0.702805,0.471966,0.677777
E_gate_time,19,ds:ballroom,86,0.899796,0.769574,0.773064,86,0.890970,0.838983,0.848285
E_gate_time,19,ds:beatles,23,0.857040,0.703763,0.743897,23,0.790226,0.697292,0.754706
E_gate_time,19,ds:candombe,5,0.926235,0.629060,0.629060,5,0.891065,0.805980,0.805980
E_gate_time,19,ds:filosax,6,0.933807,0.648318,0.648318,6,0.950133,0.907622,0.907622
E_gate_time,19,ds:groove_midi,42,0.813064,0.700404,0.731790,42,0.805177,0.767303,0.803435
E_gate_time,19,ds:guitarset,23,0.817376,0.683412,0.710948,23,0.780886,0.778116,0.778116
E_gate_time,19,ds:hainsworth,28,0.854020,0.684375,0.751133,28,0.634108,0.493376,0.668726
E_gate_time,19,ds:harmonix,114,0.880930,0.718761,0.773351,114,0.846221,0.745355,0.823725
E_gate_time,19,ds:hjdb,29,0.901577,0.641732,0.641732,29,0.870930,0.834436,0.834436
E_gate_time,19,ds:jaah,15,0.823599,0.462033,0.467325,15,0.736906,0.629917,0.651299
E_gate_time,19,ds:rwc,29,0.819245,0.655728,0.715976,29,0.766654,0.703296,0.728057
E_gate_time,19,ds:simac,75,0.722195,0.655813,0.735423,0,nan,nan,nan
E_gate_time,19,ds:smc,27,0.611154,0.577293,0.630820,0,nan,nan,nan
E_gate_time,19,ds:tapcorrect,13,0.833202,0.627039,0.733113,13,0.770632,0.636522,0.716790
