arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_gctl,19,ALL,571,0.858354,0.778307,0.835792,469,0.898477,0.825239,0.893142
E_gctl,19,SMC,27,0.671319,0.652950,0.720697,0,nan,nan,nan
E_gctl,19,<70 bpm,63,0.666467,0.537432,0.671888,36,0.719241,0.439275,0.757803
E_gctl,19,SMC <70,15,0.631295,0.646928,0.723827,0,nan,nan,nan
E_gctl,19,>=70 bpm,508,0.882151,0.808179,0.856118,433,0.913379,0.857328,0.904394
E_gctl,19,bpm 0-70,63,0.666467,0.537432,0.671888,36,0.719241,0.439275,0.757803
E_gctl,19,bpm 70-100,138,0.804780,0.725254,0.755553,97,0.896896,0.840241,0.899073
E_gctl,19,bpm 100-130,198,0.903727,0.853187,0.881295,170,0.934500,0.909933,0.923274
E_gctl,19,bpm 130-160,88,0.914132,0.837432,0.913145,82,0.899337,0.836835,0.917155
E_gctl,19,bpm 160+,84,0.924900,0.807675,0.902245,84,0.903377,0.790602,0.859874
E_gctl,19,ds:asap,56,0.827827,0.640480,0.795218,56,0.784221,0.535184,0.741612
E_gctl,19,ds:ballroom,86,0.966759,0.943487,0.951202,86,0.968761,0.958899,0.963507
E_gctl,19,ds:beatles,23,0.946237,0.864983,0.918446,23,0.882724,0.797006,0.856835
E_gctl,19,ds:candombe,5,0.998261,0.996552,0.996552,5,1.000000,1.000000,1.000000
E_gctl,19,ds:filosax,6,0.987500,0.975592,0.975592,6,0.977606,0.949522,0.949522
E_gctl,19,ds:groove_midi,42,0.917828,0.853573,0.889396,42,0.918229,0.870788,0.911264
E_gctl,19,ds:guitarset,23,0.935838,0.907264,0.938807,23,0.926788,0.948861,0.948861
E_gctl,19,ds:hainsworth,28,0.933479,0.872084,0.939818,28,0.674656,0.567728,0.719572
E_gctl,19,ds:harmonix,114,0.960747,0.899061,0.962663,114,0.938973,0.864520,0.945161
E_gctl,19,ds:hjdb,29,0.971923,0.946939,0.952902,29,0.978707,0.970636,0.970636
E_gctl,19,ds:jaah,15,0.942291,0.865413,0.865413,15,0.845489,0.751966,0.804612
E_gctl,19,ds:rwc,29,0.884572,0.810863,0.876899,29,0.857580,0.833259,0.869643
E_gctl,19,ds:simac,75,0.455531,0.285878,0.352851,0,nan,nan,nan
E_gctl,19,ds:smc,27,0.671319,0.652950,0.720697,0,nan,nan,nan
E_gctl,19,ds:tapcorrect,13,0.918625,0.770681,0.920548,13,0.864456,0.702465,0.819761
