arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_globalb,19,ALL,571,0.880599,0.801467,0.860109,469,0.876340,0.815204,0.888511
E_globalb,19,SMC,27,0.660185,0.626141,0.695138,0,nan,nan,nan
E_globalb,19,<70 bpm,63,0.743056,0.656477,0.772246,36,0.685155,0.390883,0.738335
E_globalb,19,SMC <70,15,0.613711,0.601625,0.686019,0,nan,nan,nan
E_globalb,19,>=70 bpm,508,0.897656,0.819448,0.871005,433,0.892235,0.850482,0.900996
E_globalb,19,bpm 0-70,63,0.743056,0.656477,0.772246,36,0.685155,0.390883,0.738335
E_globalb,19,bpm 70-100,138,0.870491,0.837738,0.876373,97,0.883778,0.830162,0.895420
E_globalb,19,bpm 100-130,198,0.916898,0.875003,0.908897,170,0.916482,0.899810,0.919807
E_globalb,19,bpm 130-160,88,0.910656,0.831863,0.906029,82,0.877891,0.834886,0.921535
E_globalb,19,bpm 160+,84,0.883309,0.645446,0.736179,84,0.866934,0.789341,0.849316
E_globalb,19,ds:asap,56,0.790095,0.577780,0.725336,56,0.753610,0.519792,0.742307
E_globalb,19,ds:ballroom,86,0.947941,0.884681,0.890080,86,0.951430,0.949972,0.959108
E_globalb,19,ds:beatles,23,0.925932,0.849493,0.897203,23,0.865317,0.783856,0.839338
E_globalb,19,ds:candombe,5,0.960467,0.924264,0.924264,5,0.950246,0.960000,0.960000
E_globalb,19,ds:filosax,6,0.979346,0.833448,0.833448,6,0.996296,0.992754,0.992754
E_globalb,19,ds:groove_midi,42,0.881862,0.828512,0.856390,42,0.879499,0.851034,0.896776
E_globalb,19,ds:guitarset,23,0.890379,0.861569,0.890281,23,0.859972,0.931210,0.931210
E_globalb,19,ds:hainsworth,28,0.920048,0.848540,0.916227,28,0.673600,0.554797,0.742697
E_globalb,19,ds:harmonix,114,0.946199,0.878543,0.943290,114,0.921955,0.854164,0.938676
E_globalb,19,ds:hjdb,29,0.954940,0.923705,0.923705,29,0.964839,0.978671,0.978671
E_globalb,19,ds:jaah,15,0.868422,0.623491,0.627242,15,0.797222,0.767799,0.798487
E_globalb,19,ds:rwc,29,0.867941,0.770332,0.832402,29,0.843894,0.807488,0.849247
E_globalb,19,ds:simac,75,0.780675,0.747212,0.839895,0,nan,nan,nan
E_globalb,19,ds:smc,27,0.660185,0.626141,0.695138,0,nan,nan,nan
E_globalb,19,ds:tapcorrect,13,0.897567,0.775883,0.920602,13,0.865657,0.719505,0.824907
