arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_meter03,19,ALL,571,0.906093,0.838378,0.897825,469,0.896772,0.820957,0.878632
E_meter03,19,SMC,27,0.672041,0.639676,0.712487,0,nan,nan,nan
E_meter03,19,<70 bpm,63,0.762494,0.650367,0.761589,36,0.720946,0.423261,0.709058
E_meter03,19,SMC <70,15,0.617242,0.606447,0.688679,0,nan,nan,nan
E_meter03,19,>=70 bpm,508,0.923902,0.861694,0.914721,433,0.911390,0.854021,0.892731
E_meter03,19,bpm 0-70,63,0.762494,0.650367,0.761589,36,0.720946,0.423261,0.709058
E_meter03,19,bpm 70-100,138,0.891614,0.838723,0.880641,97,0.895367,0.844433,0.878804
E_meter03,19,bpm 100-130,198,0.942136,0.902875,0.935455,170,0.930942,0.899998,0.912694
E_meter03,19,bpm 130-160,88,0.933112,0.864518,0.940325,82,0.903116,0.841225,0.921885
E_meter03,19,bpm 160+,84,0.924319,0.799406,0.895012,84,0.898400,0.784537,0.839952
E_meter03,19,ds:asap,56,0.824196,0.633946,0.777922,56,0.778807,0.531268,0.729588
E_meter03,19,ds:ballroom,86,0.966358,0.944069,0.951313,86,0.965330,0.954220,0.956706
E_meter03,19,ds:beatles,23,0.944352,0.863263,0.916952,23,0.881132,0.793836,0.846976
E_meter03,19,ds:candombe,5,0.996356,0.992778,0.992778,5,0.992593,0.985714,0.985714
E_meter03,19,ds:filosax,6,0.988682,0.977898,0.977898,6,0.986276,0.973309,0.973309
E_meter03,19,ds:groove_midi,42,0.917737,0.854412,0.888045,42,0.921220,0.864682,0.908134
E_meter03,19,ds:guitarset,23,0.940808,0.908177,0.939949,23,0.926674,0.918840,0.918840
E_meter03,19,ds:hainsworth,28,0.930358,0.863697,0.931431,28,0.672268,0.564751,0.673669
E_meter03,19,ds:harmonix,114,0.960283,0.898062,0.961796,114,0.939634,0.870513,0.934767
E_meter03,19,ds:hjdb,29,0.973254,0.946773,0.957325,29,0.981726,0.979498,0.979498
E_meter03,19,ds:jaah,15,0.945274,0.859443,0.859443,15,0.833171,0.750018,0.754864
E_meter03,19,ds:rwc,29,0.885375,0.803438,0.872403,29,0.854985,0.794689,0.831981
E_meter03,19,ds:simac,75,0.821513,0.760696,0.848787,0,nan,nan,nan
E_meter03,19,ds:smc,27,0.672041,0.639676,0.712487,0,nan,nan,nan
E_meter03,19,ds:tapcorrect,13,0.918436,0.771495,0.913014,13,0.853763,0.691148,0.779925
