arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_meter,4,ALL,571,0.901457,0.826442,0.885397,469,0.894448,0.807300,0.871695
E_meter,4,SMC,27,0.673468,0.647102,0.719576,0,nan,nan,nan
E_meter,4,<70 bpm,63,0.752127,0.626848,0.741716,36,0.701048,0.379767,0.697369
E_meter,4,SMC <70,15,0.625735,0.619832,0.703710,0,nan,nan,nan
E_meter,4,>=70 bpm,508,0.919976,0.851194,0.903216,433,0.910528,0.842846,0.886188
E_meter,4,bpm 0-70,63,0.752127,0.626848,0.741716,36,0.701048,0.379767,0.697369
E_meter,4,bpm 70-100,138,0.884692,0.819788,0.864249,97,0.896246,0.835404,0.878088
E_meter,4,bpm 100-130,198,0.939440,0.897210,0.929639,170,0.930269,0.893979,0.907662
E_meter,4,bpm 130-160,88,0.931354,0.857390,0.925961,82,0.901156,0.821928,0.904727
E_meter,4,bpm 160+,84,0.920145,0.787833,0.881121,84,0.896216,0.768373,0.833988
E_meter,4,ds:asap,56,0.818400,0.631345,0.774528,56,0.768393,0.497812,0.711663
E_meter,4,ds:ballroom,86,0.963267,0.933434,0.940642,86,0.967291,0.951507,0.953993
E_meter,4,ds:beatles,23,0.934851,0.839614,0.889470,23,0.885889,0.774024,0.833853
E_meter,4,ds:candombe,5,0.987511,0.975486,0.975486,5,0.993103,0.986667,0.986667
E_meter,4,ds:filosax,6,0.996832,0.991760,0.991760,6,0.992023,0.984420,0.984420
E_meter,4,ds:groove_midi,42,0.912104,0.843214,0.875089,42,0.911889,0.858304,0.901756
E_meter,4,ds:guitarset,23,0.931411,0.893512,0.925686,23,0.924423,0.931254,0.931254
E_meter,4,ds:hainsworth,28,0.915385,0.827860,0.901874,28,0.665315,0.504968,0.662901
E_meter,4,ds:harmonix,114,0.955965,0.887234,0.950986,114,0.936552,0.859224,0.925945
E_meter,4,ds:hjdb,29,0.970099,0.943501,0.943501,29,0.975117,0.968052,0.968052
E_meter,4,ds:jaah,15,0.939235,0.834945,0.834945,15,0.819545,0.693441,0.709673
E_meter,4,ds:rwc,29,0.882576,0.782993,0.840926,29,0.867478,0.801283,0.833243
E_meter,4,ds:simac,75,0.817301,0.740501,0.832694,0,nan,nan,nan
E_meter,4,ds:smc,27,0.673468,0.647102,0.719576,0,nan,nan,nan
E_meter,4,ds:tapcorrect,13,0.923190,0.787394,0.934184,13,0.869297,0.692595,0.816580
