arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_meter_vec,4,ALL,571,0.900832,0.827120,0.886698,469,0.894245,0.807920,0.873341
E_meter_vec,4,SMC,27,0.676179,0.653837,0.726311,0,nan,nan,nan
E_meter_vec,4,<70 bpm,63,0.750826,0.631882,0.747462,36,0.698721,0.388241,0.707837
E_meter_vec,4,SMC <70,15,0.627836,0.628887,0.712765,0,nan,nan,nan
E_meter_vec,4,>=70 bpm,508,0.919436,0.851332,0.903965,433,0.910501,0.842813,0.887101
E_meter_vec,4,bpm 0-70,63,0.750826,0.631882,0.747462,36,0.698721,0.388241,0.707837
E_meter_vec,4,bpm 70-100,138,0.883152,0.818768,0.864239,97,0.895796,0.832618,0.878802
E_meter_vec,4,bpm 100-130,198,0.939688,0.898107,0.930885,170,0.931678,0.894670,0.908766
E_meter_vec,4,bpm 130-160,88,0.930116,0.856186,0.924085,82,0.898112,0.822409,0.902428
E_meter_vec,4,bpm 160+,84,0.920116,0.789490,0.884700,84,0.896715,0.769554,0.837878
E_meter_vec,4,ds:asap,56,0.818175,0.632509,0.776494,56,0.769470,0.502059,0.722695
E_meter_vec,4,ds:ballroom,86,0.963107,0.934652,0.941860,86,0.966480,0.950150,0.952636
E_meter_vec,4,ds:beatles,23,0.935696,0.843335,0.897800,23,0.885036,0.773058,0.831920
E_meter_vec,4,ds:candombe,5,0.987511,0.975486,0.975486,5,0.993103,0.986667,0.986667
E_meter_vec,4,ds:filosax,6,0.995001,0.988137,0.988137,6,0.992023,0.984420,0.984420
E_meter_vec,4,ds:groove_midi,42,0.913149,0.844618,0.878289,42,0.914268,0.856876,0.900328
E_meter_vec,4,ds:guitarset,23,0.931350,0.892960,0.923060,23,0.928721,0.936301,0.936301
E_meter_vec,4,ds:hainsworth,28,0.913504,0.827703,0.899254,28,0.669958,0.521422,0.673726
E_meter_vec,4,ds:harmonix,114,0.955591,0.885837,0.950455,114,0.935407,0.854521,0.923640
E_meter_vec,4,ds:hjdb,29,0.970925,0.946519,0.946519,29,0.976021,0.971518,0.971518
E_meter_vec,4,ds:jaah,15,0.934077,0.829161,0.829161,15,0.808230,0.686255,0.712838
E_meter_vec,4,ds:rwc,29,0.880136,0.784420,0.846008,29,0.862821,0.807142,0.839102
E_meter_vec,4,ds:simac,75,0.814590,0.741904,0.834651,0,nan,nan,nan
E_meter_vec,4,ds:smc,27,0.676179,0.653837,0.726311,0,nan,nan,nan
E_meter_vec,4,ds:tapcorrect,13,0.920765,0.782889,0.929679,13,0.870359,0.696335,0.808975
