arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_meterhead,19,ALL,571,0.906625,0.839809,0.898098,469,0.896555,0.819893,0.887811
E_meterhead,19,SMC,27,0.682479,0.659880,0.732690,0,nan,nan,nan
E_meterhead,19,<70 bpm,63,0.767339,0.659294,0.763299,36,0.707738,0.409974,0.745573
E_meterhead,19,SMC <70,15,0.638072,0.624874,0.707107,0,nan,nan,nan
E_meterhead,19,>=70 bpm,508,0.923898,0.862195,0.914815,433,0.912253,0.853974,0.899637
E_meterhead,19,bpm 0-70,63,0.767339,0.659294,0.763299,36,0.707738,0.409974,0.745573
E_meterhead,19,bpm 70-100,138,0.891950,0.840088,0.880028,97,0.897649,0.839472,0.893702
E_meterhead,19,bpm 100-130,198,0.942025,0.903403,0.936009,170,0.931912,0.903567,0.917360
E_meterhead,19,bpm 130-160,88,0.932814,0.863167,0.939920,82,0.900897,0.834671,0.915951
E_meterhead,19,bpm 160+,84,0.924318,0.800364,0.895708,84,0.900419,0.789196,0.854693
E_meterhead,19,ds:asap,56,0.823729,0.631429,0.778240,56,0.778822,0.517898,0.739513
E_meterhead,19,ds:ballroom,86,0.964811,0.938097,0.945452,86,0.964419,0.949071,0.953679
E_meterhead,19,ds:beatles,23,0.946223,0.866729,0.910208,23,0.883794,0.795455,0.855284
E_meterhead,19,ds:candombe,5,0.992650,0.981660,0.981660,5,0.992593,0.985714,0.985714
E_meterhead,19,ds:filosax,6,0.991680,0.985692,0.985692,6,0.984615,0.970833,0.970833
E_meterhead,19,ds:groove_midi,42,0.916188,0.848775,0.881297,42,0.923045,0.874484,0.914960
E_meterhead,19,ds:guitarset,23,0.937665,0.906951,0.938724,23,0.929284,0.947993,0.947993
E_meterhead,19,ds:hainsworth,28,0.928386,0.865509,0.933243,28,0.671754,0.565242,0.701163
E_meterhead,19,ds:harmonix,114,0.959652,0.898197,0.962534,114,0.935863,0.861249,0.938138
E_meterhead,19,ds:hjdb,29,0.972531,0.947390,0.958942,29,0.980282,0.973334,0.973334
E_meterhead,19,ds:jaah,15,0.946387,0.869918,0.869918,15,0.840505,0.745634,0.789102
E_meterhead,19,ds:rwc,29,0.881093,0.798357,0.867007,29,0.854468,0.815469,0.869457
E_meterhead,19,ds:simac,75,0.828243,0.771276,0.851076,0,nan,nan,nan
E_meterhead,19,ds:smc,27,0.682479,0.659880,0.732690,0,nan,nan,nan
E_meterhead,19,ds:tapcorrect,13,0.920474,0.789387,0.929750,13,0.867545,0.712088,0.803002
