arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_nogamma,19,ALL,571,0.861699,0.775173,0.831289,469,0.894241,0.817207,0.884945
E_nogamma,19,SMC,27,0.659205,0.600027,0.667995,0,nan,nan,nan
E_nogamma,19,<70 bpm,63,0.669469,0.520855,0.642094,36,0.705445,0.427672,0.739348
E_nogamma,19,SMC <70,15,0.614083,0.564813,0.638329,0,nan,nan,nan
E_nogamma,19,>=70 bpm,508,0.885539,0.806712,0.854752,433,0.909937,0.849594,0.897050
E_nogamma,19,bpm 0-70,63,0.669469,0.520855,0.642094,36,0.705445,0.427672,0.739348
E_nogamma,19,bpm 70-100,138,0.815521,0.731069,0.757452,97,0.889946,0.830352,0.889568
E_nogamma,19,bpm 100-130,198,0.906633,0.853596,0.882953,170,0.931323,0.903394,0.917106
E_nogamma,19,bpm 130-160,88,0.914418,0.835246,0.913855,82,0.902415,0.837945,0.916983
E_nogamma,19,bpm 160+,84,0.920591,0.790576,0.886210,84,0.897086,0.774302,0.845642
E_nogamma,19,ds:asap,56,0.819375,0.617977,0.769070,56,0.769876,0.517065,0.721192
E_nogamma,19,ds:ballroom,86,0.963628,0.937252,0.944980,86,0.966430,0.953679,0.958287
E_nogamma,19,ds:beatles,23,0.942304,0.859062,0.914923,23,0.882369,0.791681,0.851510
E_nogamma,19,ds:candombe,5,0.996459,0.992980,0.992980,5,1.000000,1.000000,1.000000
E_nogamma,19,ds:filosax,6,0.988258,0.974925,0.974925,6,0.977036,0.948435,0.948435
E_nogamma,19,ds:groove_midi,42,0.917368,0.851859,0.887266,42,0.922674,0.873828,0.914304
E_nogamma,19,ds:guitarset,23,0.940566,0.915236,0.947009,23,0.935313,0.947038,0.947038
E_nogamma,19,ds:hainsworth,28,0.927331,0.859501,0.924772,28,0.667897,0.556919,0.709071
E_nogamma,19,ds:harmonix,114,0.957882,0.893618,0.957149,114,0.935599,0.857263,0.937715
E_nogamma,19,ds:hjdb,29,0.968549,0.937153,0.941310,29,0.973196,0.967251,0.967251
E_nogamma,19,ds:jaah,15,0.934819,0.839472,0.839472,15,0.832180,0.730034,0.787138
E_nogamma,19,ds:rwc,29,0.881776,0.802338,0.868787,29,0.850377,0.815658,0.853857
E_nogamma,19,ds:simac,75,0.507148,0.333210,0.394826,0,nan,nan,nan
E_nogamma,19,ds:smc,27,0.659205,0.600027,0.667995,0,nan,nan,nan
E_nogamma,19,ds:tapcorrect,13,0.911206,0.757270,0.898789,13,0.848147,0.687666,0.800700
