arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_nonorm,19,ALL,571,0.879216,0.795681,0.859136,469,0.898130,0.822034,0.892276
E_nonorm,19,SMC,27,0.667438,0.634475,0.716324,0,nan,nan,nan
E_nonorm,19,<70 bpm,63,0.711680,0.565824,0.685613,36,0.709101,0.426135,0.735733
E_nonorm,19,SMC <70,15,0.616278,0.581428,0.684612,0,nan,nan,nan
E_nonorm,19,>=70 bpm,508,0.899993,0.824187,0.880655,433,0.913846,0.854949,0.905291
E_nonorm,19,bpm 0-70,63,0.711680,0.565824,0.685613,36,0.709101,0.426135,0.735733
E_nonorm,19,bpm 70-100,138,0.843677,0.766061,0.807196,97,0.898037,0.839104,0.906878
E_nonorm,19,bpm 100-130,198,0.917354,0.863758,0.901599,170,0.934063,0.904357,0.919621
E_nonorm,19,bpm 130-160,88,0.923915,0.840842,0.925758,82,0.903261,0.839429,0.920059
E_nonorm,19,bpm 160+,84,0.926530,0.808958,0.904722,84,0.901516,0.788406,0.860044
E_nonorm,19,ds:asap,56,0.824427,0.638804,0.780407,56,0.776224,0.521954,0.736651
E_nonorm,19,ds:ballroom,86,0.968143,0.946090,0.953321,86,0.967247,0.957384,0.965564
E_nonorm,19,ds:beatles,23,0.941077,0.855481,0.929557,23,0.882879,0.802033,0.861862
E_nonorm,19,ds:candombe,5,0.996296,0.989024,0.989024,5,1.000000,1.000000,1.000000
E_nonorm,19,ds:filosax,6,0.987312,0.973037,0.973037,6,0.981309,0.956769,0.956769
E_nonorm,19,ds:groove_midi,42,0.917478,0.848432,0.888521,42,0.920342,0.868995,0.909471
E_nonorm,19,ds:guitarset,23,0.939771,0.916357,0.947900,23,0.926491,0.924922,0.924922
E_nonorm,19,ds:hainsworth,28,0.926098,0.846772,0.922206,28,0.676531,0.561323,0.708939
E_nonorm,19,ds:harmonix,114,0.961195,0.898543,0.965384,114,0.937358,0.860307,0.945964
E_nonorm,19,ds:hjdb,29,0.976176,0.953216,0.964085,29,0.984004,0.980792,0.980792
E_nonorm,19,ds:jaah,15,0.950416,0.883646,0.883646,15,0.848941,0.761415,0.809034
E_nonorm,19,ds:rwc,29,0.887706,0.822308,0.890208,29,0.858734,0.829260,0.866007
E_nonorm,19,ds:simac,75,0.614662,0.425192,0.523987,0,nan,nan,nan
E_nonorm,19,ds:smc,27,0.667438,0.634475,0.716324,0,nan,nan,nan
E_nonorm,19,ds:tapcorrect,13,0.920712,0.778362,0.926993,13,0.879850,0.715873,0.828407
