arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_nopic,9,ALL,571,0.898311,0.824652,0.885562,469,0.895621,0.819229,0.885723
E_nopic,9,SMC,27,0.674180,0.665735,0.734408,0,nan,nan,nan
E_nopic,9,<70 bpm,63,0.758264,0.656079,0.754701,36,0.720384,0.422915,0.737747
E_nopic,9,SMC <70,15,0.627349,0.647509,0.727565,0,nan,nan,nan
E_nopic,9,>=70 bpm,508,0.915679,0.845557,0.901791,433,0.910190,0.852179,0.898026
E_nopic,9,bpm 0-70,63,0.758264,0.656079,0.754701,36,0.720384,0.422915,0.737747
E_nopic,9,bpm 70-100,138,0.881803,0.824944,0.868116,97,0.896539,0.837831,0.895288
E_nopic,9,bpm 100-130,198,0.932433,0.880740,0.919668,170,0.930691,0.903016,0.916401
E_nopic,9,bpm 130-160,88,0.928089,0.852527,0.930031,82,0.899784,0.836489,0.911501
E_nopic,9,bpm 160+,84,0.918839,0.789190,0.885390,84,0.894621,0.781181,0.850844
E_nopic,9,ds:asap,56,0.822352,0.623118,0.772702,56,0.775511,0.519076,0.736069
E_nopic,9,ds:ballroom,86,0.964652,0.938429,0.945489,86,0.963211,0.950632,0.955240
E_nopic,9,ds:beatles,23,0.948459,0.876289,0.919768,23,0.881968,0.789714,0.842854
E_nopic,9,ds:candombe,5,0.996226,0.992523,0.992523,5,0.992593,0.985714,0.985714
E_nopic,9,ds:filosax,6,0.984359,0.969471,0.969471,6,0.977208,0.956341,0.956341
E_nopic,9,ds:groove_midi,42,0.915637,0.848795,0.882401,42,0.920233,0.876553,0.917029
E_nopic,9,ds:guitarset,23,0.938508,0.913945,0.945489,23,0.927155,0.942809,0.942809
E_nopic,9,ds:hainsworth,28,0.930209,0.865255,0.930526,28,0.677314,0.567255,0.689959
E_nopic,9,ds:harmonix,114,0.960085,0.900388,0.962438,114,0.935309,0.856384,0.935860
E_nopic,9,ds:hjdb,29,0.972731,0.946777,0.956888,29,0.979767,0.972708,0.972708
E_nopic,9,ds:jaah,15,0.928477,0.829608,0.831984,15,0.828216,0.737322,0.791301
E_nopic,9,ds:rwc,29,0.881752,0.801059,0.868210,29,0.858337,0.826025,0.863317
E_nopic,9,ds:simac,75,0.770033,0.658747,0.761880,0,nan,nan,nan
E_nopic,9,ds:smc,27,0.674180,0.665735,0.734408,0,nan,nan,nan
E_nopic,9,ds:tapcorrect,13,0.924739,0.791446,0.937000,13,0.875167,0.717843,0.820025
