arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_offset,19,ALL,571,0.907141,0.841232,0.901416,469,0.897385,0.821346,0.889548
E_offset,19,SMC,27,0.678928,0.655555,0.727898,0,nan,nan,nan
E_offset,19,<70 bpm,63,0.769396,0.668640,0.783600,36,0.720027,0.427877,0.747289
E_offset,19,SMC <70,15,0.629839,0.632405,0.713796,0,nan,nan,nan
E_offset,19,>=70 bpm,508,0.924224,0.862636,0.916027,433,0.912130,0.854060,0.901375
E_offset,19,bpm 0-70,63,0.769396,0.668640,0.783600,36,0.720027,0.427877,0.747289
E_offset,19,bpm 70-100,138,0.891975,0.838433,0.878817,97,0.894531,0.836805,0.897871
E_offset,19,bpm 100-130,198,0.943165,0.905058,0.939125,170,0.932428,0.905287,0.919407
E_offset,19,bpm 130-160,88,0.933065,0.863038,0.940242,82,0.902078,0.838656,0.921289
E_offset,19,bpm 160+,84,0.923295,0.801984,0.897342,84,0.901189,0.785348,0.849488
E_offset,19,ds:asap,56,0.823559,0.637799,0.785890,56,0.777640,0.524766,0.727783
E_offset,19,ds:ballroom,86,0.966704,0.945406,0.953121,86,0.968129,0.958989,0.963597
E_offset,19,ds:beatles,23,0.944193,0.860460,0.914149,23,0.886464,0.808620,0.868449
E_offset,19,ds:candombe,5,0.992685,0.985503,0.985503,5,0.985185,0.971429,0.971429
E_offset,19,ds:filosax,6,0.993992,0.988092,0.988092,6,0.984615,0.970833,0.970833
E_offset,19,ds:groove_midi,42,0.917572,0.851136,0.885036,42,0.920855,0.872330,0.912806
E_offset,19,ds:guitarset,23,0.940687,0.918665,0.952578,23,0.929133,0.940468,0.940468
E_offset,19,ds:hainsworth,28,0.931018,0.865346,0.935543,28,0.674208,0.555492,0.722729
E_offset,19,ds:harmonix,114,0.960506,0.899082,0.963844,114,0.937431,0.861120,0.943340
E_offset,19,ds:hjdb,29,0.972718,0.944550,0.954217,29,0.977911,0.973338,0.973338
E_offset,19,ds:jaah,15,0.939280,0.851665,0.851665,15,0.840148,0.736854,0.771431
E_offset,19,ds:rwc,29,0.888920,0.810667,0.878066,29,0.858868,0.818242,0.856441
E_offset,19,ds:simac,75,0.826481,0.769690,0.856899,0,nan,nan,nan
E_offset,19,ds:smc,27,0.678928,0.655555,0.727898,0,nan,nan,nan
E_offset,19,ds:tapcorrect,13,0.918793,0.766944,0.912498,13,0.860332,0.697887,0.810421
