arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_omega1,9,ALL,571,0.892934,0.818135,0.880118,469,0.898608,0.828691,0.893868
E_omega1,9,SMC,27,0.680425,0.681026,0.742406,0,nan,nan,nan
E_omega1,9,<70 bpm,63,0.752495,0.651324,0.747722,36,0.701738,0.425931,0.733176
E_omega1,9,SMC <70,15,0.634307,0.667202,0.734130,0,nan,nan,nan
E_omega1,9,>=70 bpm,508,0.910351,0.838823,0.896537,433,0.914976,0.862177,0.907228
E_omega1,9,bpm 0-70,63,0.752495,0.651324,0.747722,36,0.701738,0.425931,0.733176
E_omega1,9,bpm 70-100,138,0.865514,0.802096,0.842064,97,0.898303,0.848507,0.896189
E_omega1,9,bpm 100-130,198,0.928486,0.875392,0.921521,170,0.933978,0.909229,0.922634
E_omega1,9,bpm 130-160,88,0.929542,0.856877,0.933166,82,0.906932,0.850999,0.928569
E_omega1,9,bpm 160+,84,0.921159,0.794047,0.888764,84,0.903626,0.793649,0.867964
E_omega1,9,ds:asap,56,0.819202,0.623494,0.772097,56,0.762067,0.524575,0.749938
E_omega1,9,ds:ballroom,86,0.965003,0.940099,0.947455,86,0.967437,0.951608,0.956216
E_omega1,9,ds:beatles,23,0.945891,0.869024,0.915675,23,0.878205,0.790460,0.843600
E_omega1,9,ds:candombe,5,0.990883,0.981932,0.981932,5,0.992593,0.985714,0.985714
E_omega1,9,ds:filosax,6,0.988705,0.977920,0.977920,6,0.989979,0.980556,0.980556
E_omega1,9,ds:groove_midi,42,0.914695,0.848863,0.881707,42,0.922536,0.876383,0.910623
E_omega1,9,ds:guitarset,23,0.937298,0.912507,0.944050,23,0.934796,0.949824,0.949824
E_omega1,9,ds:hainsworth,28,0.929091,0.865430,0.930701,28,0.669127,0.578589,0.696232
E_omega1,9,ds:harmonix,114,0.961006,0.901762,0.965100,114,0.942221,0.872905,0.947004
E_omega1,9,ds:hjdb,29,0.975302,0.954957,0.961196,29,0.985611,0.983826,0.983826
E_omega1,9,ds:jaah,15,0.940605,0.861013,0.861013,15,0.856212,0.798393,0.825377
E_omega1,9,ds:rwc,29,0.891047,0.809817,0.873653,29,0.857976,0.816733,0.869451
E_omega1,9,ds:simac,75,0.721098,0.587394,0.701711,0,nan,nan,nan
E_omega1,9,ds:smc,27,0.680425,0.681026,0.742406,0,nan,nan,nan
E_omega1,9,ds:tapcorrect,13,0.932795,0.801365,0.951232,13,0.905185,0.760872,0.854411
