arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_pointed,19,ALL,571,0.890389,0.819531,0.878600,469,0.886051,0.818540,0.889692
E_pointed,19,SMC,27,0.653691,0.619521,0.703719,0,nan,nan,nan
E_pointed,19,<70 bpm,63,0.746984,0.652735,0.773077,36,0.700396,0.417449,0.748346
E_pointed,19,SMC <70,15,0.603549,0.567972,0.672654,0,nan,nan,nan
E_pointed,19,>=70 bpm,508,0.908173,0.840217,0.891686,433,0.901486,0.851887,0.901443
E_pointed,19,bpm 0-70,63,0.746984,0.652735,0.773077,36,0.700396,0.417449,0.748346
E_pointed,19,bpm 70-100,138,0.879123,0.845422,0.885200,97,0.890030,0.834125,0.894551
E_pointed,19,bpm 100-130,198,0.926086,0.892048,0.925094,170,0.920811,0.899082,0.918115
E_pointed,19,bpm 130-160,88,0.923778,0.849541,0.924219,82,0.894104,0.828777,0.915518
E_pointed,19,bpm 160+,84,0.897329,0.699726,0.789515,84,0.882812,0.799444,0.861920
E_pointed,19,ds:asap,56,0.798552,0.613131,0.762921,56,0.771221,0.533700,0.753064
E_pointed,19,ds:ballroom,86,0.952869,0.901334,0.906865,86,0.956749,0.943509,0.951136
E_pointed,19,ds:beatles,23,0.936667,0.853588,0.912107,23,0.874343,0.788751,0.848580
E_pointed,19,ds:candombe,5,0.987181,0.974596,0.974596,5,0.986207,0.973333,0.973333
E_pointed,19,ds:filosax,6,0.986758,0.903788,0.903788,6,0.996296,0.992754,0.992754
E_pointed,19,ds:groove_midi,42,0.899732,0.835899,0.861295,42,0.891597,0.846932,0.894327
E_pointed,19,ds:guitarset,23,0.893108,0.865539,0.893046,23,0.857160,0.912152,0.912152
E_pointed,19,ds:hainsworth,28,0.926874,0.849456,0.918372,28,0.667805,0.550622,0.721460
E_pointed,19,ds:harmonix,114,0.957161,0.894874,0.959665,114,0.937182,0.861071,0.943658
E_pointed,19,ds:hjdb,29,0.954081,0.929139,0.929139,29,0.962334,0.972566,0.972566
E_pointed,19,ds:jaah,15,0.901355,0.738184,0.740303,15,0.809435,0.792771,0.805950
E_pointed,19,ds:rwc,29,0.873946,0.793908,0.847819,29,0.859646,0.823403,0.865175
E_pointed,19,ds:simac,75,0.799599,0.762985,0.854308,0,nan,nan,nan
E_pointed,19,ds:smc,27,0.653691,0.619521,0.703719,0,nan,nan,nan
E_pointed,19,ds:tapcorrect,13,0.907300,0.797423,0.934765,13,0.876333,0.753607,0.865591
