arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_prior,19,ALL,571,0.907904,0.841349,0.901231,469,0.897826,0.821807,0.887576
E_prior,19,SMC,27,0.674097,0.633741,0.709953,0,nan,nan,nan
E_prior,19,<70 bpm,63,0.768101,0.659329,0.775935,36,0.723715,0.428241,0.741141
E_prior,19,SMC <70,15,0.622527,0.599893,0.690126,0,nan,nan,nan
E_prior,19,>=70 bpm,508,0.925242,0.863923,0.916769,433,0.912301,0.854528,0.899750
E_prior,19,bpm 0-70,63,0.768101,0.659329,0.775935,36,0.723715,0.428241,0.741141
E_prior,19,bpm 70-100,138,0.893451,0.841050,0.881913,97,0.898011,0.844247,0.902018
E_prior,19,bpm 100-130,198,0.944075,0.905750,0.938211,170,0.931392,0.901509,0.914968
E_prior,19,bpm 130-160,88,0.933447,0.863843,0.940344,82,0.900087,0.835205,0.918700
E_prior,19,bpm 160+,84,0.924481,0.802991,0.898797,84,0.902092,0.790184,0.847837
E_prior,19,ds:asap,56,0.826357,0.638015,0.785761,56,0.775458,0.524511,0.731277
E_prior,19,ds:ballroom,86,0.968430,0.946733,0.954271,86,0.969790,0.962370,0.966978
E_prior,19,ds:beatles,23,0.946319,0.866494,0.922354,23,0.884573,0.804997,0.864826
E_prior,19,ds:candombe,5,0.998261,0.996552,0.996552,5,1.000000,1.000000,1.000000
E_prior,19,ds:filosax,6,0.992917,0.986233,0.986233,6,0.984615,0.970833,0.970833
E_prior,19,ds:groove_midi,42,0.917674,0.854258,0.885437,42,0.918850,0.866211,0.906985
E_prior,19,ds:guitarset,23,0.941831,0.916991,0.947681,23,0.930323,0.937913,0.937913
E_prior,19,ds:hainsworth,28,0.935070,0.875364,0.943098,28,0.684278,0.567003,0.717843
E_prior,19,ds:harmonix,114,0.961817,0.901331,0.965986,114,0.937568,0.860655,0.939219
E_prior,19,ds:hjdb,29,0.972308,0.940719,0.950386,29,0.972071,0.964362,0.964362
E_prior,19,ds:jaah,15,0.941698,0.857264,0.857264,15,0.836125,0.735410,0.749915
E_prior,19,ds:rwc,29,0.888131,0.809928,0.877876,29,0.863958,0.824271,0.861018
E_prior,19,ds:simac,75,0.825215,0.767758,0.854452,0,nan,nan,nan
E_prior,19,ds:smc,27,0.674097,0.633741,0.709953,0,nan,nan,nan
E_prior,19,ds:tapcorrect,13,0.918056,0.760082,0.905636,13,0.860108,0.700451,0.801900
