arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_rawmatch,9,ALL,571,0.897055,0.821829,0.883143,469,0.896111,0.818726,0.887006
E_rawmatch,9,SMC,27,0.673456,0.656066,0.723661,0,nan,nan,nan
E_rawmatch,9,<70 bpm,63,0.755828,0.647747,0.746235,36,0.716414,0.425302,0.742303
E_rawmatch,9,SMC <70,15,0.626534,0.630387,0.709953,0,nan,nan,nan
E_rawmatch,9,>=70 bpm,508,0.914569,0.843418,0.900122,433,0.911052,0.851435,0.899036
E_rawmatch,9,bpm 0-70,63,0.755828,0.647747,0.746235,36,0.716414,0.425302,0.742303
E_rawmatch,9,bpm 70-100,138,0.878574,0.819149,0.862234,97,0.897291,0.836698,0.902221
E_rawmatch,9,bpm 100-130,198,0.931075,0.878336,0.919366,170,0.931781,0.905071,0.918282
E_rawmatch,9,bpm 130-160,88,0.929035,0.853030,0.930253,82,0.899197,0.829946,0.905223
E_rawmatch,9,bpm 160+,84,0.919641,0.790915,0.885437,84,0.896563,0.780883,0.850369
E_rawmatch,9,ds:asap,56,0.824044,0.624597,0.773958,56,0.776243,0.522665,0.734799
E_rawmatch,9,ds:ballroom,86,0.964357,0.938936,0.945996,86,0.963801,0.951816,0.956424
E_rawmatch,9,ds:beatles,23,0.949125,0.877100,0.920578,23,0.884159,0.789714,0.849543
E_rawmatch,9,ds:candombe,5,0.996226,0.992523,0.992523,5,0.992593,0.985714,0.985714
E_rawmatch,9,ds:filosax,6,0.986327,0.973290,0.973290,6,0.980912,0.963587,0.963587
E_rawmatch,9,ds:groove_midi,42,0.915074,0.848169,0.880579,42,0.920413,0.873130,0.913606
E_rawmatch,9,ds:guitarset,23,0.936982,0.907634,0.939177,23,0.925996,0.936278,0.936278
E_rawmatch,9,ds:hainsworth,28,0.928963,0.865094,0.930365,28,0.674820,0.560459,0.695457
E_rawmatch,9,ds:harmonix,114,0.959359,0.897957,0.960299,114,0.935530,0.854815,0.940887
E_rawmatch,9,ds:hjdb,29,0.972846,0.948341,0.957198,29,0.976625,0.967120,0.967120
E_rawmatch,9,ds:jaah,15,0.931239,0.834686,0.834686,15,0.835847,0.727408,0.783559
E_rawmatch,9,ds:rwc,29,0.883044,0.803028,0.866549,29,0.857099,0.827894,0.864278
E_rawmatch,9,ds:simac,75,0.760081,0.641353,0.750701,0,nan,nan,nan
E_rawmatch,9,ds:smc,27,0.673456,0.656066,0.723661,0,nan,nan,nan
E_rawmatch,9,ds:tapcorrect,13,0.928290,0.796108,0.941662,13,0.886102,0.743790,0.834704
