arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_veto,19,ALL,571,0.769473,0.647227,0.697898,469,0.768764,0.800696,0.872215
E_veto,19,SMC,27,0.574050,0.599498,0.657968,0,nan,nan,nan
E_veto,19,<70 bpm,63,0.648230,0.631826,0.728595,36,0.601161,0.379177,0.718067
E_veto,19,SMC <70,15,0.552589,0.633449,0.696289,0,nan,nan,nan
E_veto,19,>=70 bpm,508,0.784509,0.649137,0.694091,433,0.782698,0.835741,0.885031
E_veto,19,bpm 0-70,63,0.648230,0.631826,0.728595,36,0.601161,0.379177,0.718067
E_veto,19,bpm 70-100,138,0.748028,0.738085,0.769339,97,0.767036,0.814981,0.876218
E_veto,19,bpm 100-130,198,0.797574,0.746231,0.775145,170,0.802162,0.885617,0.904389
E_veto,19,bpm 130-160,88,0.803912,0.430286,0.503931,82,0.771985,0.826523,0.903309
E_veto,19,bpm 160+,84,0.793320,0.503415,0.578630,84,0.771852,0.767773,0.838188
E_veto,19,ds:asap,56,0.710888,0.447115,0.571202,56,0.666045,0.500671,0.718056
E_veto,19,ds:ballroom,86,0.833351,0.756034,0.761273,86,0.849639,0.941244,0.949384
E_veto,19,ds:beatles,23,0.773188,0.744736,0.795182,23,0.725805,0.780229,0.840058
E_veto,19,ds:candombe,5,0.831326,0.789135,0.789135,5,0.880220,1.000000,1.000000
E_veto,19,ds:filosax,6,0.878413,0.691988,0.691988,6,0.854356,0.972754,0.972754
E_veto,19,ds:groove_midi,42,0.766776,0.683759,0.710411,42,0.741687,0.834473,0.875095
E_veto,19,ds:guitarset,23,0.802484,0.644189,0.673656,23,0.786924,0.916462,0.916462
E_veto,19,ds:hainsworth,28,0.807539,0.692106,0.750193,28,0.595641,0.523723,0.705715
E_veto,19,ds:harmonix,114,0.821526,0.716132,0.769480,114,0.806939,0.847160,0.929474
E_veto,19,ds:hjdb,29,0.841364,0.397409,0.404362,29,0.846319,0.940334,0.940334
E_veto,19,ds:jaah,15,0.792007,0.487134,0.487134,15,0.731762,0.748367,0.793878
E_veto,19,ds:rwc,29,0.751566,0.659198,0.709575,29,0.719106,0.794343,0.827748
E_veto,19,ds:simac,75,0.666727,0.630019,0.710959,0,nan,nan,nan
E_veto,19,ds:smc,27,0.574050,0.599498,0.657968,0,nan,nan,nan
E_veto,19,ds:tapcorrect,13,0.782685,0.641852,0.761576,13,0.743772,0.681679,0.793664
