arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
E_warmup,9,ALL,571,0.889362,0.809521,0.872663,469,0.894800,0.815981,0.884912
E_warmup,9,SMC,27,0.675490,0.662494,0.728608,0,nan,nan,nan
E_warmup,9,<70 bpm,63,0.734078,0.613379,0.719477,36,0.715012,0.427182,0.744561
E_warmup,9,SMC <70,15,0.625343,0.641336,0.718236,0,nan,nan,nan
E_warmup,9,>=70 bpm,508,0.908620,0.833846,0.891661,433,0.909748,0.848306,0.896580
E_warmup,9,bpm 0-70,63,0.734078,0.613379,0.719477,36,0.715012,0.427182,0.744561
E_warmup,9,bpm 70-100,138,0.865609,0.798755,0.838502,97,0.895025,0.830652,0.897054
E_warmup,9,bpm 100-130,198,0.925743,0.870142,0.914011,170,0.931362,0.901360,0.914746
E_warmup,9,bpm 130-160,88,0.926604,0.847140,0.928462,82,0.898882,0.833531,0.912626
E_warmup,9,bpm 160+,84,0.920080,0.792015,0.887755,84,0.893615,0.775745,0.843607
E_warmup,9,ds:asap,56,0.823356,0.625546,0.775443,56,0.776062,0.520150,0.734636
E_warmup,9,ds:ballroom,86,0.965728,0.941371,0.948432,86,0.963902,0.949030,0.953638
E_warmup,9,ds:beatles,23,0.948784,0.875735,0.919213,23,0.882524,0.791144,0.844284
E_warmup,9,ds:candombe,5,0.996293,0.992655,0.992655,5,0.985185,0.971429,0.971429
E_warmup,9,ds:filosax,6,0.984214,0.969071,0.969071,6,0.973332,0.941189,0.941189
E_warmup,9,ds:groove_midi,42,0.916308,0.849702,0.882874,42,0.916889,0.864292,0.904768
E_warmup,9,ds:guitarset,23,0.936402,0.908623,0.938976,23,0.917147,0.917572,0.917572
E_warmup,9,ds:hainsworth,28,0.928823,0.862253,0.932450,28,0.676765,0.555864,0.706446
E_warmup,9,ds:harmonix,114,0.959093,0.896875,0.960305,114,0.935149,0.855436,0.940373
E_warmup,9,ds:hjdb,29,0.973785,0.948699,0.958810,29,0.977903,0.969564,0.969564
E_warmup,9,ds:jaah,15,0.933300,0.837154,0.837154,15,0.836677,0.734218,0.784337
E_warmup,9,ds:rwc,29,0.882082,0.801294,0.867743,29,0.851893,0.831813,0.867290
E_warmup,9,ds:simac,75,0.699422,0.544802,0.662497,0,nan,nan,nan
E_warmup,9,ds:smc,27,0.675490,0.662494,0.728608,0,nan,nan,nan
E_warmup,9,ds:tapcorrect,13,0.928940,0.792417,0.941048,13,0.882137,0.731396,0.832846
