arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
F_frozen,19,ALL,571,0.898433,0.826387,0.884697,469,0.895430,0.824223,0.887646
F_frozen,19,SMC,27,0.645952,0.627187,0.688344,0,nan,nan,nan
F_frozen,19,<70 bpm,63,0.737281,0.631663,0.719700,36,0.693641,0.428506,0.720014
F_frozen,19,SMC <70,15,0.580361,0.595568,0.663546,0,nan,nan,nan
F_frozen,19,>=70 bpm,508,0.918419,0.850536,0.905159,433,0.912207,0.857123,0.901583
F_frozen,19,bpm 0-70,63,0.737281,0.631663,0.719700,36,0.693641,0.428506,0.720014
F_frozen,19,bpm 70-100,138,0.881040,0.822665,0.867315,97,0.892525,0.836394,0.881224
F_frozen,19,bpm 100-130,198,0.937046,0.891588,0.927101,170,0.932916,0.905653,0.918994
F_frozen,19,bpm 130-160,88,0.931499,0.857093,0.932658,82,0.903043,0.844575,0.925476
F_frozen,19,bpm 160+,84,0.922217,0.792685,0.886800,84,0.901968,0.795096,0.866532
F_frozen,19,ds:asap,56,0.816787,0.622047,0.758986,56,0.763887,0.537629,0.749212
F_frozen,19,ds:ballroom,86,0.966285,0.941234,0.948950,86,0.967148,0.955307,0.959915
F_frozen,19,ds:beatles,23,0.943784,0.862915,0.916603,23,0.880263,0.781294,0.834434
F_frozen,19,ds:candombe,5,0.996356,0.992778,0.992778,5,0.992593,0.985714,0.985714
F_frozen,19,ds:filosax,6,0.991660,0.981625,0.981625,6,0.989979,0.980556,0.980556
F_frozen,19,ds:groove_midi,42,0.917234,0.853335,0.886965,42,0.921806,0.870117,0.913569
F_frozen,19,ds:guitarset,23,0.939069,0.906016,0.937189,23,0.932288,0.932690,0.932690
F_frozen,19,ds:hainsworth,28,0.920727,0.842806,0.910540,28,0.652549,0.556966,0.665820
F_frozen,19,ds:harmonix,114,0.959197,0.896270,0.961909,114,0.938136,0.863958,0.938028
F_frozen,19,ds:hjdb,29,0.974335,0.948924,0.955925,29,0.987312,0.989125,0.989125
F_frozen,19,ds:jaah,15,0.940379,0.857809,0.857809,15,0.841359,0.772607,0.819273
F_frozen,19,ds:rwc,29,0.880733,0.811522,0.875608,29,0.849301,0.805795,0.843974
F_frozen,19,ds:simac,75,0.785111,0.689785,0.778671,0,nan,nan,nan
F_frozen,19,ds:smc,27,0.645952,0.627187,0.688344,0,nan,nan,nan
F_frozen,19,ds:tapcorrect,13,0.926780,0.795828,0.937347,13,0.891981,0.753114,0.841891
