arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
F_thawed,19,ALL,571,0.897383,0.819726,0.893766,469,0.893968,0.822164,0.890922
F_thawed,19,SMC,27,0.643901,0.591266,0.670294,0,nan,nan,nan
F_thawed,19,<70 bpm,63,0.759328,0.633442,0.770089,36,0.723420,0.476432,0.709591
F_thawed,19,SMC <70,15,0.597444,0.553984,0.645581,0,nan,nan,nan
F_thawed,19,>=70 bpm,508,0.914504,0.842828,0.909104,433,0.908147,0.850908,0.905998
F_thawed,19,bpm 0-70,63,0.759328,0.633442,0.770089,36,0.723420,0.476432,0.709591
F_thawed,19,bpm 70-100,138,0.871200,0.798417,0.859160,97,0.883998,0.829394,0.881754
F_thawed,19,bpm 100-130,198,0.936237,0.883760,0.931445,170,0.929095,0.893210,0.921258
F_thawed,19,bpm 130-160,88,0.921190,0.848753,0.935258,82,0.895529,0.846693,0.928024
F_thawed,19,bpm 160+,84,0.927413,0.813101,0.911093,84,0.905957,0.794257,0.881611
F_thawed,19,ds:asap,56,0.844830,0.667919,0.845217,56,0.776132,0.552259,0.733093
F_thawed,19,ds:ballroom,86,0.973289,0.953620,0.963503,86,0.961416,0.948112,0.956680
F_thawed,19,ds:beatles,23,0.946039,0.867140,0.910618,23,0.879519,0.783300,0.843129
F_thawed,19,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
F_thawed,19,ds:filosax,6,0.998168,0.996377,0.996377,6,0.992754,0.986111,0.986111
F_thawed,19,ds:groove_midi,42,0.929663,0.872519,0.890348,42,0.910004,0.836565,0.892222
F_thawed,19,ds:guitarset,23,0.961298,0.931549,0.947002,23,0.952102,0.919600,0.931364
F_thawed,19,ds:hainsworth,28,0.934971,0.876682,0.946879,28,0.668366,0.582475,0.719523
F_thawed,19,ds:harmonix,114,0.957379,0.901192,0.972973,114,0.924397,0.857383,0.946685
F_thawed,19,ds:hjdb,29,0.985237,0.966704,0.966704,29,0.986746,0.978350,0.978350
F_thawed,19,ds:jaah,15,0.953456,0.881719,0.881719,15,0.837537,0.756600,0.822350
F_thawed,19,ds:rwc,29,0.871128,0.807688,0.875468,29,0.850649,0.836506,0.861900
F_thawed,19,ds:simac,75,0.726285,0.548544,0.724822,0,nan,nan,nan
F_thawed,19,ds:smc,27,0.643901,0.591266,0.670294,0,nan,nan,nan
F_thawed,19,ds:tapcorrect,13,0.936547,0.814149,0.962219,13,0.913753,0.760073,0.887721
