arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
F_thawed,9,ALL,571,0.899089,0.822994,0.891455,469,0.773320,0.696189,0.826327
F_thawed,9,SMC,27,0.637982,0.548096,0.652389,0,nan,nan,nan
F_thawed,9,<70 bpm,63,0.751434,0.633871,0.762829,36,0.542384,0.370613,0.610353
F_thawed,9,SMC <70,15,0.585261,0.512255,0.653180,0,nan,nan,nan
F_thawed,9,>=70 bpm,508,0.917400,0.846448,0.907407,433,0.792520,0.723258,0.844283
F_thawed,9,bpm 0-70,63,0.751434,0.633871,0.762829,36,0.542384,0.370613,0.610353
F_thawed,9,bpm 70-100,138,0.878794,0.815803,0.859932,97,0.774458,0.717638,0.809133
F_thawed,9,bpm 100-130,198,0.935319,0.883238,0.928950,170,0.840643,0.802868,0.886087
F_thawed,9,bpm 130-160,88,0.934885,0.855226,0.935326,82,0.785977,0.718708,0.839817
F_thawed,9,bpm 160+,84,0.920271,0.800877,0.905371,84,0.722373,0.573074,0.804630
F_thawed,9,ds:asap,56,0.830776,0.640786,0.808371,56,0.563433,0.347749,0.629282
F_thawed,9,ds:ballroom,86,0.972449,0.952837,0.962404,86,0.869840,0.838914,0.888623
F_thawed,9,ds:beatles,23,0.927841,0.816927,0.887143,23,0.712021,0.572930,0.773033
F_thawed,9,ds:candombe,5,0.994459,0.992590,0.992590,5,0.831746,0.828571,0.828571
F_thawed,9,ds:filosax,6,0.993138,0.986467,0.986467,6,0.712121,0.600000,0.842424
F_thawed,9,ds:groove_midi,42,0.908393,0.859757,0.904202,42,0.819668,0.789081,0.835240
F_thawed,9,ds:guitarset,23,0.973666,0.948824,0.948824,23,0.806001,0.758352,0.831851
F_thawed,9,ds:hainsworth,28,0.924614,0.849762,0.921191,28,0.624849,0.586091,0.732520
F_thawed,9,ds:harmonix,114,0.966702,0.915302,0.973391,114,0.832406,0.772715,0.907908
F_thawed,9,ds:hjdb,29,0.984306,0.960814,0.960814,29,0.870259,0.831371,0.905263
F_thawed,9,ds:jaah,15,0.933265,0.856360,0.896042,15,0.655327,0.570716,0.738292
F_thawed,9,ds:rwc,29,0.869118,0.784409,0.852718,29,0.735642,0.652566,0.785011
F_thawed,9,ds:simac,75,0.764675,0.638742,0.764917,0,nan,nan,nan
F_thawed,9,ds:smc,27,0.637982,0.548096,0.652389,0,nan,nan,nan
F_thawed,9,ds:tapcorrect,13,0.922279,0.784518,0.932588,13,0.751192,0.561037,0.814740
