arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
G_eventterm,14,ALL,571,0.903825,0.836843,0.911724,469,0.889165,0.819463,0.886894
G_eventterm,14,SMC,27,0.686315,0.643187,0.762384,0,nan,nan,nan
G_eventterm,14,<70 bpm,63,0.751479,0.609750,0.791060,36,0.686378,0.412644,0.713068
G_eventterm,14,SMC <70,15,0.635953,0.559100,0.728284,0,nan,nan,nan
G_eventterm,14,>=70 bpm,508,0.922718,0.865006,0.926688,433,0.906025,0.853286,0.901346
G_eventterm,14,bpm 0-70,63,0.751479,0.609750,0.791060,36,0.686378,0.412644,0.713068
G_eventterm,14,bpm 70-100,138,0.882258,0.831123,0.888074,97,0.869303,0.814281,0.864100
G_eventterm,14,bpm 100-130,198,0.947141,0.911438,0.955800,170,0.935604,0.909860,0.924823
G_eventterm,14,bpm 130-160,88,0.926322,0.859337,0.934939,82,0.895223,0.857425,0.932472
G_eventterm,14,bpm 160+,84,0.927844,0.817165,0.912858,84,0.899112,0.779792,0.866461
G_eventterm,14,ds:asap,56,0.823998,0.627987,0.797369,56,0.751283,0.501381,0.743694
G_eventterm,14,ds:ballroom,86,0.970748,0.955214,0.961975,86,0.957348,0.952348,0.952348
G_eventterm,14,ds:beatles,23,0.941548,0.861874,0.905932,23,0.870032,0.754698,0.818772
G_eventterm,14,ds:candombe,5,0.996426,0.989279,0.989279,5,0.992593,0.971429,0.971429
G_eventterm,14,ds:filosax,6,0.994636,0.989364,0.989364,6,0.986276,0.973309,0.973309
G_eventterm,14,ds:groove_midi,42,0.909982,0.825829,0.871462,42,0.906225,0.846622,0.887098
G_eventterm,14,ds:guitarset,23,0.949551,0.938204,0.973697,23,0.926649,0.936706,0.964166
G_eventterm,14,ds:hainsworth,28,0.922681,0.854289,0.953634,28,0.687892,0.621172,0.702100
G_eventterm,14,ds:harmonix,114,0.950519,0.881683,0.967233,114,0.928841,0.864308,0.944309
G_eventterm,14,ds:hjdb,29,0.985619,0.970599,0.970599,29,0.988891,0.981942,0.981942
G_eventterm,14,ds:jaah,15,0.950299,0.904868,0.904868,15,0.834156,0.757103,0.783687
G_eventterm,14,ds:rwc,29,0.860037,0.804798,0.859999,29,0.826659,0.794122,0.831902
G_eventterm,14,ds:simac,75,0.814370,0.747276,0.875611,0,nan,nan,nan
G_eventterm,14,ds:smc,27,0.686315,0.643187,0.762384,0,nan,nan,nan
G_eventterm,14,ds:tapcorrect,13,0.939251,0.819182,0.970329,13,0.925909,0.800382,0.905784
