arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
G_frozen_event,14,ALL,571,0.903469,0.834866,0.894643,469,0.895746,0.824333,0.886175
G_frozen_event,14,SMC,27,0.662131,0.626639,0.709717,0,nan,nan,nan
G_frozen_event,14,<70 bpm,63,0.747236,0.634278,0.749591,36,0.684882,0.424961,0.686740
G_frozen_event,14,SMC <70,15,0.606755,0.568423,0.674409,0,nan,nan,nan
G_frozen_event,14,>=70 bpm,508,0.922844,0.859742,0.912631,433,0.913278,0.857537,0.902757
G_frozen_event,14,bpm 0-70,63,0.747236,0.634278,0.749591,36,0.684882,0.424961,0.686740
G_frozen_event,14,bpm 70-100,138,0.889150,0.836370,0.879491,97,0.894129,0.834244,0.880298
G_frozen_event,14,bpm 100-130,198,0.943082,0.905489,0.937296,170,0.934289,0.908714,0.921830
G_frozen_event,14,bpm 130-160,88,0.933549,0.864111,0.939069,82,0.904003,0.845245,0.926859
G_frozen_event,14,bpm 160+,84,0.919282,0.785731,0.881243,84,0.901920,0.792861,0.866562
G_frozen_event,14,ds:asap,56,0.814882,0.617481,0.760239,56,0.758719,0.530644,0.723376
G_frozen_event,14,ds:ballroom,86,0.965870,0.938976,0.946717,86,0.968222,0.954730,0.959338
G_frozen_event,14,ds:beatles,23,0.941958,0.856227,0.912087,23,0.881698,0.787338,0.840478
G_frozen_event,14,ds:candombe,5,0.996356,0.992778,0.992778,5,0.992593,0.985714,0.985714
G_frozen_event,14,ds:filosax,6,1.000000,0.998084,0.998084,6,1.000000,1.000000,1.000000
G_frozen_event,14,ds:groove_midi,42,0.918682,0.856563,0.885877,42,0.925780,0.872743,0.916620
G_frozen_event,14,ds:guitarset,23,0.934680,0.913093,0.947699,23,0.925470,0.938792,0.938792
G_frozen_event,14,ds:hainsworth,28,0.925958,0.857511,0.925245,28,0.668977,0.586719,0.694099
G_frozen_event,14,ds:harmonix,114,0.958986,0.894781,0.959806,114,0.937280,0.857049,0.932968
G_frozen_event,14,ds:hjdb,29,0.973868,0.947582,0.960171,29,0.986861,0.988275,0.988275
G_frozen_event,14,ds:jaah,15,0.930993,0.838227,0.838227,15,0.834220,0.751279,0.805409
G_frozen_event,14,ds:rwc,29,0.878426,0.806091,0.870177,29,0.850195,0.816128,0.854327
G_frozen_event,14,ds:simac,75,0.821684,0.760626,0.848087,0,nan,nan,nan
G_frozen_event,14,ds:smc,27,0.662131,0.626639,0.709717,0,nan,nan,nan
G_frozen_event,14,ds:tapcorrect,13,0.924384,0.795683,0.936046,13,0.889996,0.751989,0.841891
