arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
G_g075,19,ALL,571,0.882789,0.814588,0.874668,469,0.882281,0.821564,0.894277
G_g075,19,SMC,27,0.655817,0.665610,0.743129,0,nan,nan,nan
G_g075,19,<70 bpm,63,0.748905,0.683848,0.783362,36,0.704068,0.420510,0.758815
G_g075,19,SMC <70,15,0.614196,0.690063,0.755163,0,nan,nan,nan
G_g075,19,>=70 bpm,508,0.899392,0.830802,0.885991,433,0.897098,0.854908,0.905539
G_g075,19,bpm 0-70,63,0.748905,0.683848,0.783362,36,0.704068,0.420510,0.758815
G_g075,19,bpm 70-100,138,0.867937,0.842136,0.884880,97,0.880042,0.838772,0.907970
G_g075,19,bpm 100-130,198,0.916755,0.888382,0.926872,170,0.919684,0.902961,0.920482
G_g075,19,bpm 130-160,88,0.916994,0.840187,0.916483,82,0.888786,0.829599,0.915306
G_g075,19,bpm 160+,84,0.891701,0.666626,0.759507,84,0.879199,0.800997,0.862957
G_g075,19,ds:asap,56,0.799560,0.590381,0.737880,56,0.773594,0.540606,0.754852
G_g075,19,ds:ballroom,86,0.951618,0.896777,0.901147,86,0.949425,0.944920,0.951550
G_g075,19,ds:beatles,23,0.937839,0.875456,0.914104,23,0.873368,0.804342,0.857482
G_g075,19,ds:candombe,5,0.975198,0.961064,0.961064,5,0.972414,0.973333,0.973333
G_g075,19,ds:filosax,6,0.983920,0.849507,0.849507,6,1.000000,1.000000,1.000000
G_g075,19,ds:groove_midi,42,0.881667,0.833476,0.863994,42,0.874611,0.845823,0.889275
G_g075,19,ds:guitarset,23,0.882623,0.870221,0.900389,23,0.854973,0.949503,0.949503
G_g075,19,ds:hainsworth,28,0.919760,0.853926,0.924164,28,0.666412,0.542121,0.740180
G_g075,19,ds:harmonix,114,0.948921,0.891251,0.957670,114,0.929268,0.858685,0.945628
G_g075,19,ds:hjdb,29,0.960173,0.925992,0.925992,29,0.972875,0.971351,0.971351
G_g075,19,ds:jaah,15,0.905011,0.695383,0.698019,15,0.821683,0.785767,0.814495
G_g075,19,ds:rwc,29,0.859823,0.781515,0.853369,29,0.856203,0.835904,0.873196
G_g075,19,ds:simac,75,0.771182,0.746054,0.841858,0,nan,nan,nan
G_g075,19,ds:smc,27,0.655817,0.665610,0.743129,0,nan,nan,nan
G_g075,19,ds:tapcorrect,13,0.918972,0.807711,0.951168,13,0.885074,0.752325,0.869071
G_g100,19,ALL,571,0.882617,0.817593,0.876952,469,0.884794,0.823667,0.894187
G_g100,19,SMC,27,0.656780,0.680170,0.760402,0,nan,nan,nan
G_g100,19,<70 bpm,63,0.748426,0.691937,0.792086,36,0.701818,0.428408,0.743579
G_g100,19,SMC <70,15,0.606436,0.695338,0.766549,0,nan,nan,nan
G_g100,19,>=70 bpm,508,0.899259,0.833177,0.887476,433,0.900007,0.856529,0.906708
G_g100,19,bpm 0-70,63,0.748426,0.691937,0.792086,36,0.701818,0.428408,0.743579
G_g100,19,bpm 70-100,138,0.864660,0.847996,0.889687,97,0.878237,0.836393,0.902147
G_g100,19,bpm 100-130,198,0.917908,0.889973,0.925037,170,0.920255,0.904472,0.921980
G_g100,19,bpm 130-160,88,0.916476,0.843440,0.921945,82,0.890745,0.829413,0.918179
G_g100,19,bpm 160+,84,0.894101,0.664202,0.759200,84,0.893209,0.809224,0.869871
G_g100,19,ds:asap,56,0.801611,0.592515,0.737399,56,0.772301,0.546741,0.752871
G_g100,19,ds:ballroom,86,0.951858,0.902217,0.905434,86,0.956020,0.952261,0.958891
G_g100,19,ds:beatles,23,0.934420,0.881518,0.924996,23,0.874614,0.806412,0.866241
G_g100,19,ds:candombe,5,0.976449,0.963001,0.963001,5,0.963926,0.986667,0.986667
G_g100,19,ds:filosax,6,0.979933,0.854683,0.854683,6,0.992754,0.986111,0.986111
G_g100,19,ds:groove_midi,42,0.877547,0.837653,0.865052,42,0.876240,0.852695,0.894800
G_g100,19,ds:guitarset,23,0.891338,0.872395,0.902564,23,0.870316,0.933766,0.933766
G_g100,19,ds:hainsworth,28,0.920214,0.850358,0.919273,28,0.674678,0.553401,0.734660
G_g100,19,ds:harmonix,114,0.950579,0.891984,0.958431,114,0.930970,0.858811,0.946532
G_g100,19,ds:hjdb,29,0.961612,0.922912,0.923034,29,0.971964,0.964190,0.964190
G_g100,19,ds:jaah,15,0.901447,0.673090,0.679535,15,0.822502,0.803543,0.811876
G_g100,19,ds:rwc,29,0.860245,0.784730,0.853586,29,0.852170,0.819383,0.862321
G_g100,19,ds:simac,75,0.765830,0.755624,0.847973,0,nan,nan,nan
G_g100,19,ds:smc,27,0.656780,0.680170,0.760402,0,nan,nan,nan
G_g100,19,ds:tapcorrect,13,0.919626,0.804548,0.955695,13,0.887028,0.763391,0.868792
