arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
H_attn2,4,ALL,571,0.895756,0.812657,0.877404,469,0.890236,0.814205,0.876602
H_attn2,4,SMC,27,0.653674,0.548822,0.671131,0,nan,nan,nan
H_attn2,4,<70 bpm,63,0.734327,0.570912,0.712224,36,0.694400,0.414186,0.701267
H_attn2,4,SMC <70,15,0.596632,0.466982,0.644471,0,nan,nan,nan
H_attn2,4,>=70 bpm,508,0.915775,0.842637,0.897889,433,0.906518,0.847462,0.891180
H_attn2,4,bpm 0-70,63,0.734327,0.570912,0.712224,36,0.694400,0.414186,0.701267
H_attn2,4,bpm 70-100,138,0.884104,0.816764,0.868916,97,0.891276,0.839267,0.886670
H_attn2,4,bpm 100-130,198,0.933213,0.885949,0.919227,170,0.924473,0.890237,0.904112
H_attn2,4,bpm 130-160,88,0.926977,0.848563,0.922037,82,0.898415,0.832647,0.907648
H_attn2,4,bpm 160+,84,0.914967,0.776844,0.869893,84,0.895695,0.784822,0.854139
H_attn2,4,ds:asap,56,0.807279,0.602735,0.735846,56,0.762261,0.526619,0.724108
H_attn2,4,ds:ballroom,86,0.958746,0.926217,0.935083,86,0.959444,0.943064,0.947672
H_attn2,4,ds:beatles,23,0.931717,0.836816,0.914711,23,0.882068,0.787540,0.840680
H_attn2,4,ds:candombe,5,0.980382,0.961591,0.961591,5,0.985185,0.971429,0.971429
H_attn2,4,ds:filosax,6,0.987430,0.973372,0.973372,6,0.977208,0.956341,0.956341
H_attn2,4,ds:groove_midi,42,0.905769,0.832294,0.870919,42,0.910349,0.848136,0.890994
H_attn2,4,ds:guitarset,23,0.924687,0.883394,0.912120,23,0.923852,0.932418,0.932418
H_attn2,4,ds:hainsworth,28,0.911567,0.813943,0.913937,28,0.672285,0.578369,0.685244
H_attn2,4,ds:harmonix,114,0.947696,0.875561,0.938579,114,0.931135,0.856473,0.928451
H_attn2,4,ds:hjdb,29,0.965753,0.930000,0.950613,29,0.975247,0.966186,0.966186
H_attn2,4,ds:jaah,15,0.927803,0.825651,0.825651,15,0.830527,0.743882,0.796350
H_attn2,4,ds:rwc,29,0.880105,0.773756,0.835146,29,0.847613,0.787855,0.843296
H_attn2,4,ds:simac,75,0.822108,0.746885,0.843590,0,nan,nan,nan
H_attn2,4,ds:smc,27,0.653674,0.548822,0.671131,0,nan,nan,nan
H_attn2,4,ds:tapcorrect,13,0.918086,0.785963,0.921494,13,0.882139,0.741087,0.832917
