arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
J_literal,2,ALL,571,0.811914,0.722671,0.776030,469,0.872813,0.780576,0.858261
J_literal,2,SMC,27,0.570803,0.450921,0.537039,0,nan,nan,nan
J_literal,2,<70 bpm,63,0.526403,0.373731,0.482781,36,0.620971,0.385961,0.637567
J_literal,2,SMC <70,15,0.481507,0.351580,0.437627,0,nan,nan,nan
J_literal,2,>=70 bpm,508,0.847322,0.765945,0.812398,433,0.893751,0.813385,0.876609
J_literal,2,bpm 0-70,63,0.526403,0.373731,0.482781,36,0.620971,0.385961,0.637567
J_literal,2,bpm 70-100,138,0.746871,0.652049,0.701227,97,0.876225,0.808890,0.855425
J_literal,2,bpm 100-130,198,0.865711,0.818446,0.834139,170,0.924008,0.890307,0.911435
J_literal,2,bpm 130-160,88,0.902662,0.826033,0.892166,82,0.892359,0.792617,0.886524
J_literal,2,bpm 160+,84,0.911025,0.766360,0.860219,84,0.854114,0.683170,0.820913
J_literal,2,ds:asap,56,0.770424,0.550935,0.693487,56,0.663048,0.342961,0.617309
J_literal,2,ds:ballroom,86,0.963201,0.941737,0.941737,86,0.945678,0.926556,0.938184
J_literal,2,ds:beatles,23,0.954481,0.909528,0.909528,23,0.883381,0.760634,0.827310
J_literal,2,ds:candombe,5,0.987535,0.975530,0.975530,5,0.985185,0.971429,0.971429
J_literal,2,ds:filosax,6,0.982513,0.964029,0.964029,6,0.979760,0.961111,0.961111
J_literal,2,ds:groove_midi,42,0.921604,0.873762,0.874754,42,0.902804,0.849453,0.886490
J_literal,2,ds:guitarset,23,0.930379,0.883491,0.906035,23,0.930678,0.898227,0.903058
J_literal,2,ds:hainsworth,28,0.909819,0.856407,0.913670,28,0.725165,0.644639,0.762695
J_literal,2,ds:harmonix,114,0.940739,0.852009,0.936039,114,0.923999,0.835432,0.909533
J_literal,2,ds:hjdb,29,0.983766,0.966419,0.966419,29,0.966028,0.935831,0.935831
J_literal,2,ds:jaah,15,0.908788,0.784960,0.842133,15,0.760059,0.721183,0.809026
J_literal,2,ds:rwc,29,0.837708,0.706359,0.789174,29,0.825741,0.752517,0.813498
J_literal,2,ds:simac,75,0.243999,0.114614,0.158432,0,nan,nan,nan
J_literal,2,ds:smc,27,0.570803,0.450921,0.537039,0,nan,nan,nan
J_literal,2,ds:tapcorrect,13,0.911263,0.772297,0.916247,13,0.880135,0.744377,0.900634
J_literal,5,ALL,571,0.816359,0.725337,0.779729,469,0.881863,0.791155,0.869031
J_literal,5,SMC,27,0.549169,0.410954,0.494621,0,nan,nan,nan
J_literal,5,<70 bpm,63,0.525453,0.365148,0.467813,36,0.621072,0.380184,0.649196
J_literal,5,SMC <70,15,0.451734,0.301366,0.375364,0,nan,nan,nan
J_literal,5,>=70 bpm,508,0.852436,0.770007,0.818412,433,0.903545,0.825323,0.887308
J_literal,5,bpm 0-70,63,0.525453,0.365148,0.467813,36,0.621072,0.380184,0.649196
J_literal,5,bpm 70-100,138,0.758061,0.662275,0.709172,97,0.892362,0.831390,0.883752
J_literal,5,bpm 100-130,198,0.867977,0.822601,0.841193,170,0.932134,0.894360,0.914123
J_literal,5,bpm 130-160,88,0.907092,0.827345,0.899515,82,0.895598,0.799794,0.897499
J_literal,5,bpm 160+,84,0.913589,0.762952,0.859212,84,0.866360,0.703521,0.827195
J_literal,5,ds:asap,56,0.776004,0.551715,0.692226,56,0.673955,0.359423,0.634852
J_literal,5,ds:ballroom,86,0.969425,0.953841,0.953841,86,0.954067,0.933214,0.944842
J_literal,5,ds:beatles,23,0.960103,0.907987,0.908792,23,0.899766,0.784037,0.852953
J_literal,5,ds:candombe,5,0.994554,0.989207,0.989207,5,0.992593,0.985714,0.985714
J_literal,5,ds:filosax,6,0.984662,0.963279,0.963279,6,0.972579,0.931065,0.931065
J_literal,5,ds:groove_midi,42,0.929317,0.885684,0.885684,42,0.907973,0.849720,0.893571
J_literal,5,ds:guitarset,23,0.935275,0.896872,0.922090,23,0.931750,0.891230,0.915040
J_literal,5,ds:hainsworth,28,0.915684,0.845858,0.903121,28,0.731368,0.639969,0.773993
J_literal,5,ds:harmonix,114,0.950165,0.865020,0.946736,114,0.937347,0.853031,0.929459
J_literal,5,ds:hjdb,29,0.983227,0.963618,0.963618,29,0.962172,0.931644,0.931644
J_literal,5,ds:jaah,15,0.909684,0.767892,0.832933,15,0.767517,0.723501,0.817825
J_literal,5,ds:rwc,29,0.839957,0.711003,0.791582,29,0.836035,0.777660,0.817304
J_literal,5,ds:simac,75,0.252668,0.120836,0.177305,0,nan,nan,nan
J_literal,5,ds:smc,27,0.549169,0.410954,0.494621,0,nan,nan,nan
J_literal,5,ds:tapcorrect,13,0.888854,0.712918,0.856375,13,0.903680,0.795858,0.880107
J_literal,8,ALL,571,0.804843,0.727451,0.776181,469,0.879034,0.794786,0.872295
J_literal,8,SMC,27,0.596637,0.492124,0.595821,0,nan,nan,nan
J_literal,8,<70 bpm,63,0.541714,0.396207,0.495241,36,0.616991,0.381841,0.619392
J_literal,8,SMC <70,15,0.516496,0.412404,0.523337,0,nan,nan,nan
J_literal,8,>=70 bpm,508,0.837475,0.768530,0.811022,433,0.900820,0.829118,0.893321
J_literal,8,bpm 0-70,63,0.541714,0.396207,0.495241,36,0.616991,0.381841,0.619392
J_literal,8,bpm 70-100,138,0.725340,0.652919,0.688111,97,0.888546,0.834550,0.881660
J_literal,8,bpm 100-130,198,0.856117,0.817999,0.833844,170,0.930432,0.902983,0.922899
J_literal,8,bpm 130-160,88,0.897957,0.834105,0.896400,82,0.897210,0.813227,0.902198
J_literal,8,bpm 160+,84,0.914394,0.773159,0.869708,84,0.858590,0.688869,0.838263
J_literal,8,ds:asap,56,0.786573,0.558491,0.694570,56,0.662159,0.349043,0.624506
J_literal,8,ds:ballroom,86,0.970560,0.954055,0.955135,86,0.954688,0.942403,0.954419
J_literal,8,ds:beatles,23,0.954130,0.905056,0.912479,23,0.893858,0.780575,0.852126
J_literal,8,ds:candombe,5,0.994647,0.989447,0.989447,5,0.992593,0.985714,0.985714
J_literal,8,ds:filosax,6,0.992032,0.986343,0.986343,6,0.992023,0.984420,0.984420
J_literal,8,ds:groove_midi,42,0.928158,0.885353,0.885353,42,0.902151,0.847622,0.885671
J_literal,8,ds:guitarset,23,0.933939,0.892817,0.917777,23,0.933331,0.904942,0.928751
J_literal,8,ds:hainsworth,28,0.915228,0.846158,0.913163,28,0.709874,0.634081,0.780892
J_literal,8,ds:harmonix,114,0.953496,0.873389,0.953578,114,0.936631,0.863882,0.928867
J_literal,8,ds:hjdb,29,0.983365,0.969383,0.969383,29,0.969487,0.961352,0.961352
J_literal,8,ds:jaah,15,0.917245,0.811283,0.871542,15,0.768299,0.734248,0.795005
J_literal,8,ds:rwc,29,0.848427,0.721840,0.801994,29,0.839205,0.760422,0.819831
