arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
J_literal,11,ALL,571,0.790192,0.717339,0.766776,469,0.884621,0.801620,0.876957
J_literal,11,SMC,27,0.550502,0.429320,0.515769,0,nan,nan,nan
J_literal,11,<70 bpm,63,0.521457,0.362810,0.466906,36,0.625770,0.376410,0.623156
J_literal,11,SMC <70,15,0.455211,0.317873,0.402706,0,nan,nan,nan
J_literal,11,>=70 bpm,508,0.823519,0.761306,0.803964,433,0.906142,0.836973,0.898058
J_literal,11,bpm 0-70,63,0.521457,0.362810,0.466906,36,0.625770,0.376410,0.623156
J_literal,11,bpm 70-100,138,0.698532,0.638669,0.676383,97,0.891229,0.842264,0.892974
J_literal,11,bpm 100-130,198,0.839258,0.807058,0.823400,170,0.933876,0.904320,0.922656
J_literal,11,bpm 130-160,88,0.891431,0.828177,0.888082,82,0.900521,0.813660,0.912825
J_literal,11,bpm 160+,84,0.920611,0.784884,0.879624,84,0.872723,0.717323,0.839730
J_literal,11,ds:asap,56,0.783998,0.560730,0.704143,56,0.679422,0.374237,0.635765
J_literal,11,ds:ballroom,86,0.969757,0.958006,0.959169,86,0.954657,0.939350,0.950978
J_literal,11,ds:beatles,23,0.968602,0.923441,0.923441,23,0.908104,0.793095,0.869916
J_literal,11,ds:candombe,5,0.994459,0.988954,0.988954,5,0.985185,0.971429,0.971429
J_literal,11,ds:filosax,6,0.991390,0.982181,0.982181,6,0.984392,0.968944,0.968944
J_literal,11,ds:groove_midi,42,0.927720,0.886493,0.886493,42,0.903973,0.857645,0.895694
J_literal,11,ds:guitarset,23,0.938102,0.900908,0.923833,23,0.944247,0.933352,0.933352
J_literal,11,ds:hainsworth,28,0.915079,0.851120,0.916622,28,0.726507,0.645023,0.791712
J_literal,11,ds:harmonix,114,0.953564,0.870979,0.956602,114,0.938520,0.861512,0.932279
J_literal,11,ds:hjdb,29,0.979927,0.959349,0.959349,29,0.964854,0.945956,0.945956
J_literal,11,ds:jaah,15,0.923104,0.801488,0.866529,15,0.777601,0.729488,0.812398
J_literal,11,ds:rwc,29,0.846935,0.723227,0.799716,29,0.842650,0.789739,0.849148
J_literal,11,ds:simac,75,0.028945,0.001732,0.008912,0,nan,nan,nan
J_literal,11,ds:smc,27,0.550502,0.429320,0.515769,0,nan,nan,nan
J_literal,11,ds:tapcorrect,13,0.920677,0.778399,0.925189,13,0.916994,0.789834,0.880680
