arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
J_literal,2,ALL,571,0.811914,0.722671,0.776030,469,0.872813,0.780576,0.858261
J_literal,2,SMC,27,0.570803,0.450921,0.537039,0,nan,nan,nan
J_literal,2,<70 bpm,63,0.526403,0.373731,0.482781,36,0.620971,0.385961,0.637567
J_literal,2,SMC <70,15,0.481507,0.351580,0.437627,0,nan,nan,nan
J_literal,2,>=70 bpm,508,0.847322,0.765945,0.812398,433,0.893751,0.813385,0.876609
J_literal,2,bpm 0-70,63,0.526403,0.373731,0.482781,36,0.620971,0.385961,0.637567
J_literal,2,bpm 70-100,138,0.746871,0.652049,0.701227,97,0.876225,0.808890,0.855425
J_literal,2,bpm 100-130,198,0.865711,0.818446,0.834139,170,0.924008,0.890307,0.911435
J_literal,2,bpm 130-160,88,0.902662,0.826033,0.892166,82,0.892359,0.792617,0.886524
J_literal,2,bpm 160+,84,0.911025,0.766360,0.860219,84,0.854114,0.683170,0.820913
J_literal,2,ds:asap,56,0.770424,0.550935,0.693487,56,0.663048,0.342961,0.617309
J_literal,2,ds:ballroom,86,0.963201,0.941737,0.941737,86,0.945678,0.926556,0.938184
J_literal,2,ds:beatles,23,0.954481,0.909528,0.909528,23,0.883381,0.760634,0.827310
J_literal,2,ds:candombe,5,0.987535,0.975530,0.975530,5,0.985185,0.971429,0.971429
J_literal,2,ds:filosax,6,0.982513,0.964029,0.964029,6,0.979760,0.961111,0.961111
J_literal,2,ds:groove_midi,42,0.921604,0.873762,0.874754,42,0.902804,0.849453,0.886490
J_literal,2,ds:guitarset,23,0.930379,0.883491,0.906035,23,0.930678,0.898227,0.903058
J_literal,2,ds:hainsworth,28,0.909819,0.856407,0.913670,28,0.725165,0.644639,0.762695
J_literal,2,ds:harmonix,114,0.940739,0.852009,0.936039,114,0.923999,0.835432,0.909533
J_literal,2,ds:hjdb,29,0.983766,0.966419,0.966419,29,0.966028,0.935831,0.935831
J_literal,2,ds:jaah,15,0.908788,0.784960,0.842133,15,0.760059,0.721183,0.809026
J_literal,2,ds:rwc,29,0.837708,0.706359,0.789174,29,0.825741,0.752517,0.813498
J_literal,2,ds:simac,75,0.243999,0.114614,0.158432,0,nan,nan,nan
J_literal,2,ds:smc,27,0.570803,0.450921,0.537039,0,nan,nan,nan
J_literal,2,ds:tapcorrect,13,0.911263,0.772297,0.916247,13,0.880135,0.744377,0.900634
