arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
K_match,2,ALL,571,0.883090,0.795690,0.853552,469,0.874457,0.783360,0.858788
K_match,2,SMC,27,0.582799,0.468875,0.563130,0,nan,nan,nan
K_match,2,<70 bpm,63,0.670648,0.492405,0.618135,36,0.623508,0.388440,0.640279
K_match,2,SMC <70,15,0.502013,0.382898,0.481538,0,nan,nan,nan
K_match,2,>=70 bpm,508,0.909437,0.833302,0.882747,433,0.895321,0.816194,0.876955
K_match,2,bpm 0-70,63,0.670648,0.492405,0.618135,36,0.623508,0.388440,0.640279
K_match,2,bpm 70-100,138,0.874384,0.796803,0.849916,97,0.879642,0.811340,0.857816
K_match,2,bpm 100-130,198,0.926771,0.882401,0.899235,170,0.925574,0.892164,0.910350
K_match,2,bpm 130-160,88,0.925345,0.845794,0.920465,82,0.891920,0.797248,0.888796
K_match,2,bpm 160+,84,0.909496,0.764446,0.858306,84,0.855519,0.686545,0.819911
K_match,2,ds:asap,56,0.770469,0.549749,0.690169,56,0.669547,0.347659,0.618469
K_match,2,ds:ballroom,86,0.962152,0.941611,0.941611,86,0.945685,0.923556,0.935184
K_match,2,ds:beatles,23,0.952439,0.907125,0.907125,23,0.883275,0.758853,0.825530
K_match,2,ds:candombe,5,0.985855,0.972310,0.972310,5,0.985185,0.971429,0.971429
K_match,2,ds:filosax,6,0.977111,0.950697,0.950697,6,0.973753,0.948944,0.948944
K_match,2,ds:groove_midi,42,0.923780,0.880122,0.880122,42,0.907404,0.858305,0.896354
K_match,2,ds:guitarset,23,0.927970,0.881055,0.903204,23,0.927509,0.887012,0.894259
K_match,2,ds:hainsworth,28,0.911107,0.850661,0.909019,28,0.727866,0.649308,0.770552
K_match,2,ds:harmonix,114,0.939953,0.850206,0.934278,114,0.925023,0.839124,0.911415
K_match,2,ds:hjdb,29,0.981454,0.966847,0.966847,29,0.965779,0.947588,0.947588
K_match,2,ds:jaah,15,0.908704,0.777991,0.835164,15,0.762575,0.721183,0.809026
K_match,2,ds:rwc,29,0.836170,0.702929,0.785806,29,0.824108,0.754136,0.808209
K_match,2,ds:simac,75,0.786239,0.672247,0.749188,0,nan,nan,nan
K_match,2,ds:smc,27,0.582799,0.468875,0.563130,0,nan,nan,nan
K_match,2,ds:tapcorrect,13,0.907880,0.769391,0.913341,13,0.891626,0.772166,0.879110
K_match,5,ALL,571,0.879078,0.785714,0.845159,469,0.883345,0.789586,0.869085
