arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
LR_1e4,19,ALL,571,0.905182,0.827012,0.899250,469,0.881252,0.800902,0.879181
LR_1e4,19,SMC,27,0.626141,0.532526,0.612838,0,nan,nan,nan
LR_1e4,19,<70 bpm,63,0.739366,0.568739,0.727526,36,0.669933,0.452988,0.647941
LR_1e4,19,SMC <70,15,0.561009,0.455217,0.533469,0,nan,nan,nan
LR_1e4,19,>=70 bpm,508,0.925746,0.859042,0.920546,433,0.898821,0.829828,0.898407
LR_1e4,19,bpm 0-70,63,0.739366,0.568739,0.727526,36,0.669933,0.452988,0.647941
LR_1e4,19,bpm 70-100,138,0.900850,0.837823,0.894917,97,0.868229,0.804118,0.895657
LR_1e4,19,bpm 100-130,198,0.940906,0.898551,0.924545,170,0.925527,0.897201,0.915673
LR_1e4,19,bpm 130-160,88,0.930610,0.861242,0.943672,82,0.891949,0.814362,0.904803
LR_1e4,19,bpm 160+,84,0.925816,0.798468,0.928998,84,0.886808,0.738265,0.860394
LR_1e4,19,ds:asap,56,0.845582,0.664715,0.834561,56,0.735777,0.454640,0.687534
LR_1e4,19,ds:ballroom,86,0.966556,0.945563,0.959070,86,0.955956,0.947069,0.958600
LR_1e4,19,ds:beatles,23,0.954688,0.892769,0.933832,23,0.886755,0.777913,0.861857
LR_1e4,19,ds:candombe,5,0.996260,0.988816,0.988816,5,1.000000,1.000000,1.000000
LR_1e4,19,ds:filosax,6,0.993272,0.983000,0.983000,6,0.992063,0.969697,0.969697
LR_1e4,19,ds:groove_midi,42,0.912194,0.841867,0.886811,42,0.901645,0.833529,0.876386
LR_1e4,19,ds:guitarset,23,0.979363,0.950682,0.950682,23,0.983439,0.967949,0.967949
LR_1e4,19,ds:hainsworth,28,0.941536,0.902153,0.904230,28,0.633327,0.566077,0.671372
LR_1e4,19,ds:harmonix,114,0.957409,0.883451,0.977554,114,0.910884,0.827892,0.932037
LR_1e4,19,ds:hjdb,29,0.974076,0.955919,0.961350,29,0.977873,0.978668,0.978668
LR_1e4,19,ds:jaah,15,0.923262,0.830316,0.927126,15,0.812656,0.775295,0.852309
LR_1e4,19,ds:rwc,29,0.890689,0.781834,0.896240,29,0.847718,0.793084,0.834826
LR_1e4,19,ds:simac,75,0.801392,0.681186,0.788909,0,nan,nan,nan
LR_1e4,19,ds:smc,27,0.626141,0.532526,0.612838,0,nan,nan,nan
LR_1e4,19,ds:tapcorrect,13,0.938573,0.830093,0.967140,13,0.873035,0.730311,0.865842
LR_2e4,19,ALL,571,0.903649,0.830785,0.900295,469,0.882888,0.806549,0.884406
LR_2e4,19,SMC,27,0.601289,0.541337,0.621821,0,nan,nan,nan
LR_2e4,19,<70 bpm,63,0.725820,0.565464,0.719138,36,0.674661,0.463615,0.677349
LR_2e4,19,SMC <70,15,0.513160,0.463293,0.539954,0,nan,nan,nan
LR_2e4,19,>=70 bpm,508,0.925702,0.863689,0.922761,433,0.900200,0.835061,0.901621
