arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
L_loss,2,ALL,571,0.884963,0.797852,0.859949,469,0.868505,0.774823,0.850026
L_loss,2,SMC,27,0.602412,0.488856,0.610815,0,nan,nan,nan
L_loss,2,<70 bpm,63,0.674546,0.494656,0.633183,36,0.616368,0.384422,0.631879
L_loss,2,SMC <70,15,0.520579,0.399358,0.540750,0,nan,nan,nan
L_loss,2,>=70 bpm,508,0.911058,0.835453,0.888072,433,0.889467,0.807282,0.868162
L_loss,2,bpm 0-70,63,0.674546,0.494656,0.633183,36,0.616368,0.384422,0.631879
L_loss,2,bpm 70-100,138,0.869977,0.784856,0.853204,97,0.871474,0.799198,0.845581
L_loss,2,bpm 100-130,198,0.933012,0.892472,0.909386,170,0.920565,0.883356,0.902181
L_loss,2,bpm 130-160,88,0.927556,0.854501,0.923945,82,0.887610,0.792062,0.886472
L_loss,2,bpm 160+,84,0.909518,0.764219,0.857535,84,0.849124,0.677514,0.807517
L_loss,2,ds:asap,56,0.773118,0.545158,0.685963,56,0.655288,0.336438,0.604617
L_loss,2,ds:ballroom,86,0.962155,0.938744,0.938744,86,0.940696,0.919764,0.931004
L_loss,2,ds:beatles,23,0.950955,0.903119,0.903119,23,0.883241,0.745483,0.817744
L_loss,2,ds:candombe,5,0.989337,0.979102,0.979102,5,0.985185,0.971429,0.971429
L_loss,2,ds:filosax,6,0.980681,0.960525,0.960525,6,0.976056,0.953865,0.953865
L_loss,2,ds:groove_midi,42,0.924423,0.882526,0.882526,42,0.904917,0.855123,0.892160
L_loss,2,ds:guitarset,23,0.928542,0.885201,0.907716,23,0.930545,0.910721,0.910721
L_loss,2,ds:hainsworth,28,0.904083,0.834131,0.894544,28,0.716512,0.624164,0.756845
L_loss,2,ds:harmonix,114,0.940375,0.850487,0.932826,114,0.920155,0.830833,0.902330
L_loss,2,ds:hjdb,29,0.979402,0.962131,0.962131,29,0.959192,0.926916,0.926916
L_loss,2,ds:jaah,15,0.907429,0.785675,0.841474,15,0.760376,0.710256,0.798404
L_loss,2,ds:rwc,29,0.832106,0.701748,0.778436,29,0.817294,0.741392,0.794882
L_loss,2,ds:simac,75,0.797197,0.694407,0.800165,0,nan,nan,nan
L_loss,2,ds:smc,27,0.602412,0.488856,0.610815,0,nan,nan,nan
L_loss,2,ds:tapcorrect,13,0.897841,0.755997,0.886063,13,0.872547,0.741340,0.843522
L_loss,5,ALL,571,0.890762,0.806039,0.866103,469,0.883161,0.791632,0.868704
