arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
M_both,2,ALL,571,0.891147,0.808740,0.870470,469,0.874259,0.782631,0.859889
M_both,2,SMC,27,0.613022,0.492928,0.624896,0,nan,nan,nan
M_both,2,<70 bpm,63,0.685990,0.513394,0.655200,36,0.616487,0.376137,0.634412
M_both,2,SMC <70,15,0.528371,0.395975,0.558995,0,nan,nan,nan
M_both,2,>=70 bpm,508,0.916590,0.845367,0.897167,433,0.895690,0.816428,0.878635
M_both,2,bpm 0-70,63,0.685990,0.513394,0.655200,36,0.616487,0.376137,0.634412
M_both,2,bpm 70-100,138,0.880470,0.804982,0.867597,97,0.880242,0.814212,0.860442
M_both,2,bpm 100-130,198,0.937774,0.900626,0.917932,170,0.926307,0.892894,0.911366
M_both,2,bpm 130-160,88,0.930003,0.858121,0.929789,82,0.892484,0.796308,0.896105
M_both,2,bpm 160+,84,0.911942,0.768099,0.862624,84,0.854695,0.683874,0.816348
M_both,2,ds:asap,56,0.778234,0.554585,0.697382,56,0.659840,0.337787,0.614645
M_both,2,ds:ballroom,86,0.965952,0.947922,0.947922,86,0.947183,0.929561,0.940026
M_both,2,ds:beatles,23,0.953944,0.907993,0.907993,23,0.890017,0.763376,0.832293
M_both,2,ds:candombe,5,0.989141,0.978603,0.978603,5,0.985185,0.971429,0.971429
M_both,2,ds:filosax,6,0.978162,0.952701,0.952701,6,0.966819,0.936190,0.936190
M_both,2,ds:groove_midi,42,0.925105,0.881276,0.881276,42,0.910639,0.865213,0.903262
M_both,2,ds:guitarset,23,0.930244,0.881968,0.904512,23,0.925222,0.888127,0.888127
M_both,2,ds:hainsworth,28,0.912821,0.850336,0.910749,28,0.719790,0.626188,0.766519
M_both,2,ds:harmonix,114,0.945167,0.858617,0.941204,114,0.925726,0.836616,0.911368
M_both,2,ds:hjdb,29,0.983220,0.969259,0.969259,29,0.966073,0.942136,0.942136
M_both,2,ds:jaah,15,0.910543,0.787757,0.844930,15,0.764208,0.718843,0.795736
M_both,2,ds:rwc,29,0.836383,0.710612,0.785803,29,0.828032,0.765165,0.821825
M_both,2,ds:simac,75,0.814783,0.731790,0.828663,0,nan,nan,nan
M_both,2,ds:smc,27,0.613022,0.492928,0.624896,0,nan,nan,nan
M_both,2,ds:tapcorrect,13,0.907042,0.769434,0.904802,13,0.901179,0.784320,0.891930
M_both,5,ALL,571,0.895557,0.812131,0.874667,469,0.883470,0.791106,0.870855
M_both,5,SMC,27,0.620932,0.488692,0.630433,0,nan,nan,nan
M_both,5,<70 bpm,63,0.692733,0.521642,0.657720,36,0.632624,0.359065,0.627023
