arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
N_btenc,4,ALL,571,0.899036,0.825391,0.889439,469,0.881313,0.801726,0.862707
N_btenc,4,SMC,27,0.616986,0.517411,0.628886,0,nan,nan,nan
N_btenc,4,<70 bpm,63,0.728845,0.586557,0.725034,36,0.654992,0.425837,0.623187
N_btenc,4,SMC <70,15,0.555398,0.493887,0.590817,0,nan,nan,nan
N_btenc,4,>=70 bpm,508,0.920142,0.855011,0.909827,433,0.900130,0.832978,0.882621
N_btenc,4,bpm 0-70,63,0.728845,0.586557,0.725034,36,0.654992,0.425837,0.623187
N_btenc,4,bpm 70-100,138,0.896920,0.836319,0.895308,97,0.887210,0.821749,0.874109
N_btenc,4,bpm 100-130,198,0.937405,0.896752,0.923918,170,0.925660,0.891047,0.908556
N_btenc,4,bpm 130-160,88,0.905047,0.817996,0.908799,82,0.890373,0.812265,0.888374
N_btenc,4,bpm 160+,84,0.933414,0.826106,0.901544,84,0.872905,0.748642,0.834349
N_btenc,4,ds:asap,56,0.807716,0.613760,0.752206,56,0.722320,0.482110,0.638625
N_btenc,4,ds:ballroom,86,0.964852,0.952845,0.955752,86,0.952615,0.935337,0.944909
N_btenc,4,ds:beatles,23,0.963140,0.925693,0.925693,23,0.903428,0.844545,0.858106
N_btenc,4,ds:candombe,5,0.996426,0.992915,0.992915,5,1.000000,1.000000,1.000000
N_btenc,4,ds:filosax,6,0.996004,0.992103,0.992103,6,0.992754,0.986111,0.986111
N_btenc,4,ds:groove_midi,42,0.916647,0.846424,0.892128,42,0.895963,0.827043,0.888775
N_btenc,4,ds:guitarset,23,0.979583,0.957739,0.957739,23,0.984066,0.976541,0.976541
N_btenc,4,ds:hainsworth,28,0.945110,0.910423,0.922225,28,0.659147,0.558578,0.690080
N_btenc,4,ds:harmonix,114,0.948072,0.864944,0.951653,114,0.921331,0.841784,0.915851
N_btenc,4,ds:hjdb,29,0.965957,0.949415,0.960909,29,0.951771,0.950433,0.951152
N_btenc,4,ds:jaah,15,0.923418,0.813622,0.900296,15,0.798446,0.731468,0.762385
N_btenc,4,ds:rwc,29,0.877558,0.775338,0.804194,29,0.844793,0.742432,0.801923
N_btenc,4,ds:simac,75,0.804352,0.722423,0.843373,0,nan,nan,nan
N_btenc,4,ds:smc,27,0.616986,0.517411,0.628886,0,nan,nan,nan
N_btenc,4,ds:tapcorrect,13,0.935267,0.825228,0.969965,13,0.876677,0.720481,0.856792
N_btenc,9,ALL,571,0.906041,0.833350,0.897577,469,0.878369,0.788421,0.864797
N_btenc,9,SMC,27,0.645098,0.588077,0.679453,0,nan,nan,nan
N_btenc,9,<70 bpm,63,0.763572,0.606293,0.771181,36,0.666776,0.456108,0.624173
N_btenc,9,SMC <70,15,0.588627,0.521799,0.624818,0,nan,nan,nan
N_btenc,9,>=70 bpm,508,0.923710,0.861509,0.913252,433,0.895961,0.816050,0.884803
N_btenc,9,bpm 0-70,63,0.763572,0.606293,0.771181,36,0.666776,0.456108,0.624173
N_btenc,9,bpm 70-100,138,0.889651,0.829406,0.891854,97,0.877430,0.785813,0.864825
N_btenc,9,bpm 100-130,198,0.942225,0.906929,0.922997,170,0.921774,0.888903,0.907193
N_btenc,9,bpm 130-160,88,0.928389,0.851342,0.943480,82,0.896774,0.804133,0.903530
N_btenc,9,bpm 160+,84,0.931115,0.817837,0.893770,84,0.864324,0.715158,0.844276
N_btenc,9,ds:asap,56,0.844490,0.652935,0.836364,56,0.714774,0.414660,0.679085
N_btenc,9,ds:ballroom,86,0.967199,0.950253,0.950311,86,0.962166,0.950254,0.950254
N_btenc,9,ds:beatles,23,0.967783,0.931363,0.931363,23,0.898684,0.811442,0.836597
N_btenc,9,ds:candombe,5,0.992590,0.985245,0.985245,5,0.993103,0.986667,0.986667
N_btenc,9,ds:filosax,6,0.998551,0.997126,0.997126,6,0.988889,0.968750,0.968750
N_btenc,9,ds:groove_midi,42,0.912515,0.857635,0.880492,42,0.888013,0.845047,0.884233
N_btenc,9,ds:guitarset,23,0.962054,0.895311,0.916907,23,0.964863,0.946265,0.946265
N_btenc,9,ds:hainsworth,28,0.933026,0.864907,0.877792,28,0.680263,0.528227,0.675145
N_btenc,9,ds:harmonix,114,0.950871,0.876046,0.965217,114,0.915706,0.830203,0.923033
N_btenc,9,ds:hjdb,29,0.978585,0.956138,0.980677,29,0.981704,0.977951,0.977951
N_btenc,9,ds:jaah,15,0.908712,0.777809,0.790353,15,0.727399,0.624624,0.703749
N_btenc,9,ds:rwc,29,0.889332,0.773376,0.842814,29,0.848894,0.783305,0.816184
N_btenc,9,ds:simac,75,0.823494,0.753404,0.854928,0,nan,nan,nan
N_btenc,9,ds:smc,27,0.645098,0.588077,0.679453,0,nan,nan,nan
N_btenc,9,ds:tapcorrect,13,0.900678,0.793887,0.903025,13,0.822168,0.637090,0.787210
N_btenc,4,ALL,571,0.899036,0.825391,0.889439,469,0.881313,0.801726,0.862707
N_btenc,4,SMC,27,0.616986,0.517411,0.628886,0,nan,nan,nan
N_btenc,4,<70 bpm,63,0.728845,0.586557,0.725034,36,0.654992,0.425837,0.623187
N_btenc,4,SMC <70,15,0.555398,0.493887,0.590817,0,nan,nan,nan
N_btenc,4,>=70 bpm,508,0.920142,0.855011,0.909827,433,0.900130,0.832978,0.882621
N_btenc,4,bpm 0-70,63,0.728845,0.586557,0.725034,36,0.654992,0.425837,0.623187
N_btenc,4,bpm 70-100,138,0.896920,0.836319,0.895308,97,0.887210,0.821749,0.874109
N_btenc,4,bpm 100-130,198,0.937405,0.896752,0.923918,170,0.925660,0.891047,0.908556
