arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
R_f0,4,ALL,571,0.886782,0.800341,0.868638,469,0.870016,0.784840,0.859360
R_f0,4,SMC,27,0.549059,0.412645,0.504375,0,nan,nan,nan
R_f0,4,<70 bpm,63,0.647228,0.425951,0.596976,36,0.561674,0.331458,0.551412
R_f0,4,SMC <70,15,0.454135,0.304941,0.377995,0,nan,nan,nan
R_f0,4,>=70 bpm,508,0.916491,0.846771,0.902328,433,0.895652,0.822534,0.884963
R_f0,4,bpm 0-70,63,0.647228,0.425951,0.596976,36,0.561674,0.331458,0.551412
R_f0,4,bpm 70-100,138,0.878261,0.794677,0.854926,97,0.859462,0.767601,0.861913
R_f0,4,bpm 100-130,198,0.926930,0.879381,0.904078,170,0.920255,0.891305,0.907636
R_f0,4,bpm 130-160,88,0.928723,0.856541,0.935001,82,0.892971,0.805982,0.888563
R_f0,4,bpm 160+,84,0.941875,0.845254,0.941850,84,0.890270,0.762948,0.862183
R_f0,4,ds:asap,56,0.815391,0.615793,0.791721,56,0.679896,0.386836,0.620242
R_f0,4,ds:ballroom,86,0.967004,0.954944,0.962419,86,0.951751,0.939216,0.955107
R_f0,4,ds:beatles,23,0.955446,0.895617,0.939038,23,0.925776,0.845379,0.856820
R_f0,4,ds:candombe,5,0.996154,0.984906,0.984906,5,0.992593,0.971429,0.971429
R_f0,4,ds:filosax,6,0.995942,0.991939,0.991939,6,1.000000,1.000000,1.000000
R_f0,4,ds:groove_midi,42,0.914663,0.857650,0.880862,42,0.882433,0.819156,0.852603
R_f0,4,ds:guitarset,23,0.951092,0.896140,0.932560,23,0.984168,0.972918,0.972918
R_f0,4,ds:hainsworth,28,0.890991,0.760714,0.857016,28,0.637829,0.510056,0.658895
R_f0,4,ds:harmonix,114,0.948633,0.873044,0.950292,114,0.912071,0.825719,0.918738
R_f0,4,ds:hjdb,29,0.972855,0.948834,0.958174,29,0.973185,0.973210,0.973210
R_f0,4,ds:jaah,15,0.970628,0.947429,0.947429,15,0.833287,0.789899,0.817172
R_f0,4,ds:rwc,29,0.828512,0.696541,0.806012,29,0.790140,0.736917,0.807395
R_f0,4,ds:simac,75,0.770191,0.645767,0.739084,0,nan,nan,nan
R_f0,4,ds:smc,27,0.549059,0.412645,0.504375,0,nan,nan,nan
R_f0,4,ds:tapcorrect,13,0.909680,0.765295,0.862823,13,0.822158,0.670482,0.795104
R_f1,4,ALL,570,0.885519,0.805580,0.865681,468,0.860422,0.763430,0.843647
R_f1,4,SMC,27,0.494904,0.345683,0.457980,0,nan,nan,nan
R_f1,4,<70 bpm,66,0.694970,0.532440,0.633055,32,0.609789,0.371240,0.539433
R_f1,4,SMC <70,10,0.443971,0.261009,0.418225,0,nan,nan,nan
R_f1,4,>=70 bpm,504,0.910472,0.841349,0.896144,436,0.878817,0.792215,0.865975
R_f1,4,bpm 0-70,66,0.694970,0.532440,0.633055,32,0.609789,0.371240,0.539433
R_f1,4,bpm 70-100,146,0.877454,0.821940,0.870125,107,0.872020,0.808777,0.873578
R_f1,4,bpm 100-130,197,0.935525,0.890794,0.920131,177,0.887745,0.826594,0.892549
R_f1,4,bpm 130-160,89,0.934203,0.857742,0.919843,84,0.893073,0.767204,0.881471
R_f1,4,bpm 160+,72,0.879540,0.725154,0.853978,68,0.848666,0.707563,0.765696
R_f1,4,ds:asap,57,0.773049,0.531010,0.632431,57,0.671508,0.364590,0.548470
R_f1,4,ds:ballroom,86,0.976122,0.965093,0.969744,86,0.948506,0.921796,0.924038
R_f1,4,ds:beatles,22,0.841170,0.758001,0.872795,22,0.782769,0.620132,0.762070
R_f1,4,ds:candombe,5,0.992824,0.985712,0.985712,5,0.992593,0.985714,0.985714
R_f1,4,ds:filosax,6,0.987633,0.975622,0.975622,6,0.992754,0.986111,0.986111
R_f1,4,ds:groove_midi,42,0.938283,0.839055,0.918347,42,0.772590,0.667623,0.803976
R_f1,4,ds:guitarset,23,0.952469,0.925971,0.938557,23,0.933674,0.923913,0.923913
R_f1,4,ds:hainsworth,28,0.874331,0.809017,0.883600,28,0.791093,0.695058,0.775187
R_f1,4,ds:harmonix,114,0.955654,0.902994,0.956063,114,0.901269,0.842993,0.916505
R_f1,4,ds:hjdb,29,0.976817,0.934622,0.969105,29,0.951086,0.899713,0.945402
R_f1,4,ds:jaah,14,0.943050,0.837122,0.960251,14,0.831083,0.718111,0.735611
R_f1,4,ds:rwc,29,0.893798,0.832330,0.908256,29,0.832589,0.700427,0.868493
R_f1,4,ds:simac,75,0.785570,0.684019,0.761821,0,nan,nan,nan
R_f1,4,ds:smc,27,0.494904,0.345683,0.457980,0,nan,nan,nan
R_f1,4,ds:tapcorrect,13,0.989890,0.979183,0.979183,13,0.962262,0.879274,0.952350
R_f2,4,ALL,562,0.893581,0.816707,0.886584,460,0.867236,0.786068,0.861854
R_f2,4,SMC,27,0.537967,0.407471,0.550099,0,nan,nan,nan
R_f2,4,<70 bpm,59,0.623551,0.477695,0.589852,32,0.547154,0.307138,0.474459
R_f2,4,SMC <70,16,0.541100,0.473457,0.512599,0,nan,nan,nan
R_f2,4,>=70 bpm,503,0.925255,0.856471,0.921389,428,0.891168,0.821876,0.890818
R_f2,4,bpm 0-70,59,0.623551,0.477695,0.589852,32,0.547154,0.307138,0.474459
R_f2,4,bpm 70-100,170,0.898731,0.818715,0.913262,125,0.868749,0.769784,0.881641
R_f2,4,bpm 100-130,171,0.947413,0.891081,0.931947,150,0.907716,0.850607,0.892591
R_f2,4,bpm 130-160,97,0.921891,0.859999,0.917357,89,0.867204,0.808702,0.883571
R_f2,4,bpm 160+,65,0.941353,0.858904,0.920884,64,0.929493,0.874598,0.914662
R_f2,4,ds:asap,50,0.740166,0.558835,0.640249,50,0.554066,0.297228,0.447209
R_f2,4,ds:ballroom,86,0.966316,0.942213,0.944105,86,0.952389,0.950015,0.955382
R_f2,4,ds:beatles,22,0.986917,0.975178,0.975178,22,0.930974,0.837080,0.909967
R_f2,4,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
R_f2,4,ds:filosax,6,0.994943,0.986361,0.986361,6,0.991362,0.983165,0.983165
R_f2,4,ds:groove_midi,42,0.942431,0.841335,0.928386,42,0.857156,0.756075,0.889781
R_f2,4,ds:guitarset,23,0.944975,0.909425,0.909425,23,0.941020,0.920111,0.925685
R_f2,4,ds:hainsworth,28,0.896101,0.784851,0.888278,28,0.823249,0.655258,0.792442
R_f2,4,ds:harmonix,114,0.950522,0.880516,0.962688,114,0.902629,0.842598,0.927784
R_f2,4,ds:hjdb,29,0.961897,0.952830,0.981868,29,0.933141,0.921916,0.964357
R_f2,4,ds:jaah,14,0.962565,0.965205,0.965205,14,0.896364,0.791960,0.793235
R_f2,4,ds:rwc,28,0.847822,0.774346,0.885581,28,0.826368,0.745801,0.846656
R_f2,4,ds:simac,75,0.832756,0.711213,0.849131,0,nan,nan,nan
R_f2,4,ds:smc,27,0.537967,0.407471,0.550099,0,nan,nan,nan
R_f2,4,ds:tapcorrect,13,0.964680,0.912937,0.987253,13,0.888245,0.745171,0.893523
R_f3,4,ALL,567,0.894415,0.812295,0.879827,466,0.872565,0.800041,0.868382
R_f3,4,SMC,27,0.567221,0.454738,0.523986,0,nan,nan,nan
