arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
S_base,19,ALL,571,0.880395,0.810083,0.869734,469,0.880236,0.813726,0.891554
S_base,19,SMC,27,0.640238,0.628586,0.701600,0,nan,nan,nan
S_base,19,<70 bpm,63,0.733614,0.658221,0.772720,36,0.684516,0.407409,0.750595
S_base,19,SMC <70,15,0.581995,0.604655,0.688606,0,nan,nan,nan
S_base,19,>=70 bpm,508,0.898598,0.828916,0.881766,433,0.896508,0.847508,0.903274
S_base,19,bpm 0-70,63,0.733614,0.658221,0.772720,36,0.684516,0.407409,0.750595
S_base,19,bpm 70-100,138,0.865624,0.842882,0.880635,97,0.873489,0.804110,0.886175
S_base,19,bpm 100-130,198,0.916154,0.884942,0.919664,170,0.919763,0.904709,0.927287
S_base,19,bpm 130-160,88,0.917986,0.841847,0.920441,82,0.887700,0.829488,0.915240
S_base,19,bpm 160+,84,0.891079,0.660362,0.753773,84,0.884627,0.799448,0.862740
S_base,19,ds:asap,56,0.794404,0.591106,0.740225,56,0.765023,0.522291,0.733034
S_base,19,ds:ballroom,86,0.950186,0.894457,0.899199,86,0.951740,0.947085,0.957259
S_base,19,ds:beatles,23,0.923630,0.852091,0.893154,23,0.860207,0.763187,0.833392
S_base,19,ds:candombe,5,0.978469,0.949513,0.949513,5,0.965484,0.961667,0.961667
S_base,19,ds:filosax,6,0.983964,0.852065,0.852065,6,1.000000,1.000000,1.000000
S_base,19,ds:groove_midi,42,0.881247,0.834839,0.866048,42,0.876712,0.848753,0.889229
S_base,19,ds:guitarset,23,0.889104,0.870361,0.901665,23,0.863065,0.926010,0.926010
S_base,19,ds:hainsworth,28,0.915223,0.847453,0.917691,28,0.663814,0.517912,0.734163
S_base,19,ds:harmonix,114,0.947988,0.884850,0.951575,114,0.925447,0.854473,0.950706
S_base,19,ds:hjdb,29,0.961055,0.926754,0.929309,29,0.972412,0.980108,0.980108
S_base,19,ds:jaah,15,0.898573,0.668443,0.668632,15,0.828563,0.791414,0.837535
S_base,19,ds:rwc,29,0.859244,0.779372,0.850132,29,0.851035,0.824975,0.858636
S_base,19,ds:simac,75,0.772359,0.754026,0.844672,0,nan,nan,nan
S_base,19,ds:smc,27,0.640238,0.628586,0.701600,0,nan,nan,nan
S_base,19,ds:tapcorrect,13,0.909546,0.797131,0.939845,13,0.881473,0.730957,0.870682
S_noattn,19,ALL,571,0.879881,0.805706,0.865416,469,0.874962,0.810226,0.885155
S_noattn,19,SMC,27,0.649568,0.613017,0.694696,0,nan,nan,nan
S_noattn,19,<70 bpm,63,0.737333,0.652914,0.767629,36,0.673557,0.392169,0.729336
S_noattn,19,SMC <70,15,0.598314,0.591678,0.689474,0,nan,nan,nan
S_noattn,19,>=70 bpm,508,0.897560,0.824655,0.877543,433,0.891707,0.844984,0.898110
S_noattn,19,bpm 0-70,63,0.737333,0.652914,0.767629,36,0.673557,0.392169,0.729336
S_noattn,19,bpm 70-100,138,0.871518,0.842538,0.884387,97,0.880328,0.821936,0.897653
S_noattn,19,bpm 100-130,198,0.913003,0.880059,0.912774,170,0.911251,0.900065,0.920254
S_noattn,19,bpm 130-160,88,0.914064,0.834986,0.911231,82,0.876397,0.819403,0.905449
S_noattn,19,bpm 160+,84,0.886649,0.653855,0.747963,84,0.880239,0.785095,0.846659
S_noattn,19,ds:asap,56,0.789005,0.587020,0.735526,56,0.748168,0.500846,0.709231
S_noattn,19,ds:ballroom,86,0.950405,0.891403,0.896100,86,0.949156,0.950235,0.957627
S_noattn,19,ds:beatles,23,0.914794,0.840148,0.896281,23,0.866903,0.783797,0.844555
S_noattn,19,ds:candombe,5,0.967763,0.931366,0.931366,5,0.943824,0.972381,0.972381
S_noattn,19,ds:filosax,6,0.968034,0.822723,0.822723,6,0.981804,0.964976,0.964976
S_noattn,19,ds:groove_midi,42,0.877734,0.831126,0.854349,42,0.871360,0.863806,0.904282
S_noattn,19,ds:guitarset,23,0.888538,0.859953,0.889791,23,0.856205,0.908148,0.908148
S_noattn,19,ds:hainsworth,28,0.911379,0.836644,0.904446,28,0.664420,0.510840,0.728456
S_noattn,19,ds:harmonix,114,0.943999,0.880609,0.946486,114,0.922598,0.850462,0.941162
S_noattn,19,ds:hjdb,29,0.956470,0.919215,0.920969,29,0.967135,0.975614,0.975614
S_noattn,19,ds:jaah,15,0.923045,0.675153,0.675153,15,0.835377,0.761908,0.806628
S_noattn,19,ds:rwc,29,0.849217,0.788145,0.854149,29,0.835993,0.830514,0.864176
S_noattn,19,ds:simac,75,0.781596,0.753839,0.845767,0,nan,nan,nan
S_noattn,19,ds:smc,27,0.649568,0.613017,0.694696,0,nan,nan,nan
S_noattn,19,ds:tapcorrect,13,0.923192,0.798148,0.948015,13,0.876359,0.716887,0.844503
S_omega2,19,ALL,571,0.882880,0.813384,0.874621,469,0.882133,0.823163,0.893485
S_omega2,19,SMC,27,0.640895,0.613761,0.700287,0,nan,nan,nan
S_omega2,19,<70 bpm,63,0.742202,0.662910,0.781796,36,0.691524,0.405530,0.737059
S_omega2,19,SMC <70,15,0.585278,0.595075,0.685487,0,nan,nan,nan
S_omega2,19,>=70 bpm,508,0.900327,0.832045,0.886132,433,0.897980,0.857886,0.906490
S_omega2,19,bpm 0-70,63,0.742202,0.662910,0.781796,36,0.691524,0.405530,0.737059
S_omega2,19,bpm 70-100,138,0.867397,0.843996,0.884563,97,0.883135,0.838067,0.897271
S_omega2,19,bpm 100-130,198,0.918790,0.888848,0.924215,170,0.920582,0.908476,0.927003
S_omega2,19,bpm 130-160,88,0.918000,0.841959,0.920169,82,0.885788,0.831407,0.919348
S_omega2,19,bpm 160+,84,0.892390,0.668134,0.763286,84,0.881284,0.804236,0.863068
S_omega2,19,ds:asap,56,0.798395,0.601061,0.755783,56,0.765700,0.532420,0.751987
S_omega2,19,ds:ballroom,86,0.952904,0.897100,0.901731,86,0.955746,0.956337,0.962967
S_omega2,19,ds:beatles,23,0.926729,0.857941,0.899004,23,0.867522,0.801317,0.854457
S_omega2,19,ds:candombe,5,0.982162,0.963579,0.963579,5,0.978818,0.986667,0.986667
S_omega2,19,ds:filosax,6,0.984280,0.858749,0.858749,6,0.996296,0.992754,0.992754
S_omega2,19,ds:groove_midi,42,0.881821,0.839152,0.869409,42,0.876300,0.854780,0.899530
S_omega2,19,ds:guitarset,23,0.883994,0.878515,0.909571,23,0.850696,0.920383,0.920383
S_omega2,19,ds:hainsworth,28,0.925307,0.853350,0.923588,28,0.680661,0.558100,0.717865
S_omega2,19,ds:harmonix,114,0.948262,0.888777,0.955680,114,0.927288,0.861810,0.947595
S_omega2,19,ds:hjdb,29,0.960214,0.923483,0.924133,29,0.974045,0.974087,0.974087
