arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
S_g10a2,4,ALL,571,0.898316,0.819784,0.887065,469,0.883886,0.796217,0.874910
S_g10a2,4,SMC,27,0.601877,0.533310,0.607181,0,nan,nan,nan
S_g10a2,4,<70 bpm,63,0.719238,0.554705,0.715555,36,0.683789,0.438888,0.667936
S_g10a2,4,SMC <70,15,0.519262,0.451897,0.522718,0,nan,nan,nan
S_g10a2,4,>=70 bpm,508,0.920524,0.852658,0.908335,433,0.900523,0.825926,0.892118
S_g10a2,4,bpm 0-70,63,0.719238,0.554705,0.715555,36,0.683789,0.438888,0.667936
S_g10a2,4,bpm 70-100,138,0.892529,0.830371,0.882115,97,0.876436,0.804420,0.886714
S_g10a2,4,bpm 100-130,198,0.938195,0.898275,0.920911,170,0.923710,0.889770,0.913889
S_g10a2,4,bpm 130-160,88,0.924484,0.847809,0.930273,82,0.892883,0.795171,0.884965
S_g10a2,4,bpm 160+,84,0.920716,0.786824,0.898781,84,0.888867,0.751573,0.861280
S_g10a2,4,ds:asap,56,0.828830,0.622039,0.814272,56,0.733873,0.418154,0.679061
S_g10a2,4,ds:ballroom,86,0.962458,0.941729,0.952148,86,0.946781,0.935525,0.954207
S_g10a2,4,ds:beatles,23,0.943753,0.878920,0.920110,23,0.887425,0.760723,0.841417
S_g10a2,4,ds:candombe,5,0.998095,0.992453,0.992453,5,1.000000,1.000000,1.000000
S_g10a2,4,ds:filosax,6,0.990498,0.975542,0.975542,6,0.990549,0.981643,0.981643
S_g10a2,4,ds:groove_midi,42,0.903812,0.833636,0.879773,42,0.902242,0.863460,0.900081
S_g10a2,4,ds:guitarset,23,0.967645,0.923914,0.923914,23,0.980251,0.952285,0.952285
S_g10a2,4,ds:hainsworth,28,0.949974,0.922364,0.922364,28,0.676252,0.565255,0.702316
S_g10a2,4,ds:harmonix,114,0.948023,0.867735,0.961429,114,0.912723,0.824421,0.920635
S_g10a2,4,ds:hjdb,29,0.966693,0.941371,0.956102,29,0.969714,0.952371,0.952371
S_g10a2,4,ds:jaah,15,0.940603,0.872042,0.872042,15,0.825637,0.787731,0.804313
S_g10a2,4,ds:rwc,29,0.875304,0.744455,0.843691,29,0.861937,0.820940,0.852900
S_g10a2,4,ds:simac,75,0.804055,0.708669,0.790456,0,nan,nan,nan
S_g10a2,4,ds:smc,27,0.601877,0.533310,0.607181,0,nan,nan,nan
S_g10a2,4,ds:tapcorrect,13,0.933926,0.824076,0.959197,13,0.903136,0.765115,0.866189
S_g10a2,9,ALL,571,0.898410,0.825082,0.893519,469,0.884710,0.801208,0.884771
S_g10a2,9,SMC,27,0.560923,0.516832,0.592659,0,nan,nan,nan
S_g10a2,9,<70 bpm,63,0.701382,0.548648,0.714342,36,0.680367,0.429306,0.676512
S_g10a2,9,SMC <70,15,0.457696,0.411585,0.483667,0,nan,nan,nan
S_g10a2,9,>=70 bpm,508,0.922845,0.859364,0.915739,433,0.901700,0.832128,0.902086
S_g10a2,9,bpm 0-70,63,0.701382,0.548648,0.714342,36,0.680367,0.429306,0.676512
S_g10a2,9,bpm 70-100,138,0.897492,0.839458,0.887747,97,0.873528,0.804943,0.895230
S_g10a2,9,bpm 100-130,198,0.938989,0.901022,0.925410,170,0.926931,0.894944,0.923580
S_g10a2,9,bpm 130-160,88,0.927533,0.857372,0.940491,82,0.892339,0.808429,0.897874
S_g10a2,9,bpm 160+,84,0.921528,0.795960,0.913002,84,0.892305,0.759527,0.870617
S_g10a2,9,ds:asap,56,0.836566,0.646116,0.844361,56,0.738822,0.433038,0.700528
S_g10a2,9,ds:ballroom,86,0.965979,0.948464,0.959205,86,0.952217,0.944655,0.966771
S_g10a2,9,ds:beatles,23,0.952234,0.892178,0.932131,23,0.898341,0.789714,0.865244
S_g10a2,9,ds:candombe,5,0.998095,0.992453,0.992453,5,0.992593,0.971429,0.971429
S_g10a2,9,ds:filosax,6,0.994438,0.989223,0.989223,6,1.000000,1.000000,1.000000
S_g10a2,9,ds:groove_midi,42,0.908228,0.838845,0.886719,42,0.901867,0.850423,0.893975
S_g10a2,9,ds:guitarset,23,0.970089,0.929234,0.929234,23,0.984132,0.985884,0.985884
S_g10a2,9,ds:hainsworth,28,0.946913,0.918440,0.918440,28,0.660150,0.555717,0.700441
S_g10a2,9,ds:harmonix,114,0.952608,0.873525,0.969831,114,0.914771,0.827857,0.928384
S_g10a2,9,ds:hjdb,29,0.969231,0.951116,0.964117,29,0.970229,0.961434,0.961434
S_g10a2,9,ds:jaah,15,0.935642,0.867677,0.867677,15,0.826945,0.790070,0.827302
S_g10a2,9,ds:rwc,29,0.882385,0.752738,0.860844,29,0.853441,0.818792,0.859166
S_g10a2,9,ds:simac,75,0.795518,0.707146,0.785065,0,nan,nan,nan
S_g10a2,9,ds:smc,27,0.560923,0.516832,0.592659,0,nan,nan,nan
S_g10a2,9,ds:tapcorrect,13,0.931004,0.818026,0.951868,13,0.882114,0.726836,0.842379
S_g10a2,14,ALL,571,0.906141,0.832371,0.901456,469,0.882824,0.806576,0.882866
S_g10a2,14,SMC,27,0.621333,0.574432,0.654566,0,nan,nan,nan
S_g10a2,14,<70 bpm,63,0.739442,0.588826,0.754804,36,0.661577,0.443081,0.659612
S_g10a2,14,SMC <70,15,0.551878,0.522128,0.600814,0,nan,nan,nan
S_g10a2,14,>=70 bpm,508,0.926814,0.862575,0.919643,433,0.901219,0.836797,0.901427
S_g10a2,14,bpm 0-70,63,0.739442,0.588826,0.754804,36,0.661577,0.443081,0.659612
S_g10a2,14,bpm 70-100,138,0.900868,0.839604,0.891264,97,0.871853,0.811231,0.902520
S_g10a2,14,bpm 100-130,198,0.943013,0.903885,0.928053,170,0.927786,0.897982,0.922363
S_g10a2,14,bpm 130-160,88,0.931247,0.863018,0.946157,82,0.890756,0.818132,0.900414
S_g10a2,14,bpm 160+,84,0.926613,0.802472,0.918666,84,0.891574,0.760716,0.858783
S_g10a2,14,ds:asap,56,0.840027,0.643113,0.838405,56,0.732391,0.456597,0.688953
S_g10a2,14,ds:ballroom,86,0.968992,0.952055,0.962110,86,0.955440,0.944612,0.966728
S_g10a2,14,ds:beatles,23,0.950291,0.890578,0.932882,23,0.886267,0.786900,0.855051
S_g10a2,14,ds:candombe,5,0.996260,0.985180,0.985180,5,0.992593,0.971429,0.971429
S_g10a2,14,ds:filosax,6,0.996435,0.989046,0.989046,6,1.000000,1.000000,1.000000
S_g10a2,14,ds:groove_midi,42,0.908254,0.840509,0.886674,42,0.903284,0.845914,0.888771
S_g10a2,14,ds:guitarset,23,0.978610,0.948718,0.948718,23,0.986473,0.996656,0.996656
S_g10a2,14,ds:hainsworth,28,0.949156,0.929899,0.929899,28,0.652370,0.558811,0.679272
S_g10a2,14,ds:harmonix,114,0.956385,0.879372,0.975457,114,0.909798,0.832622,0.935218
S_g10a2,14,ds:hjdb,29,0.968145,0.951983,0.968284,29,0.967203,0.969039,0.969039
S_g10a2,14,ds:jaah,15,0.948774,0.895740,0.895740,15,0.818755,0.775400,0.799642
S_g10a2,14,ds:rwc,29,0.889042,0.760521,0.877467,29,0.862114,0.819148,0.858368
S_g10a2,14,ds:simac,75,0.812162,0.709333,0.788174,0,nan,nan,nan
S_g10a2,14,ds:smc,27,0.621333,0.574432,0.654566,0,nan,nan,nan
S_g10a2,14,ds:tapcorrect,13,0.936744,0.833350,0.974882,13,0.890299,0.770513,0.841941
S_g10a2,19,ALL,571,0.901551,0.829833,0.899312,469,0.885952,0.807785,0.887035
S_g10a2,19,SMC,27,0.577898,0.527328,0.608330,0,nan,nan,nan
S_g10a2,19,<70 bpm,63,0.713584,0.565447,0.731200,36,0.678775,0.435262,0.664505
S_g10a2,19,SMC <70,15,0.479521,0.433575,0.513823,0,nan,nan,nan
S_g10a2,19,>=70 bpm,508,0.924862,0.862621,0.920160,433,0.903177,0.838757,0.905536
S_g10a2,19,bpm 0-70,63,0.713584,0.565447,0.731200,36,0.678775,0.435262,0.664505
S_g10a2,19,bpm 70-100,138,0.900085,0.843660,0.894948,97,0.879149,0.818171,0.909119
S_g10a2,19,bpm 100-130,198,0.940171,0.902178,0.925730,170,0.927610,0.898662,0.925381
S_g10a2,19,bpm 130-160,88,0.928436,0.862623,0.944138,82,0.889468,0.815858,0.902403
S_g10a2,19,bpm 160+,84,0.925737,0.800525,0.923331,84,0.894855,0.763648,0.864294
S_g10a2,19,ds:asap,56,0.838706,0.648107,0.844255,56,0.740415,0.444559,0.685774
S_g10a2,19,ds:ballroom,86,0.968244,0.953429,0.962708,86,0.955486,0.949092,0.972550
S_g10a2,19,ds:beatles,23,0.953042,0.890320,0.933799,23,0.900108,0.794372,0.872725
S_g10a2,19,ds:candombe,5,0.998198,0.996429,0.996429,5,1.000000,1.000000,1.000000
S_g10a2,19,ds:filosax,6,0.998896,0.995891,0.995891,6,1.000000,1.000000,1.000000
S_g10a2,19,ds:groove_midi,42,0.907795,0.841199,0.888525,42,0.900796,0.844110,0.888951
S_g10a2,19,ds:guitarset,23,0.977592,0.945905,0.945905,23,0.988480,0.993789,0.993789
S_g10a2,19,ds:hainsworth,28,0.947850,0.921114,0.921114,28,0.654137,0.563575,0.708315
S_g10a2,19,ds:harmonix,114,0.956588,0.881377,0.975430,114,0.914565,0.837278,0.937862
S_g10a2,19,ds:hjdb,29,0.966055,0.952991,0.970232,29,0.966228,0.968164,0.968164
S_g10a2,19,ds:jaah,15,0.938748,0.864475,0.877285,15,0.829158,0.774684,0.794227
S_g10a2,19,ds:rwc,29,0.883963,0.756660,0.870467,29,0.861975,0.823336,0.865278
S_g10a2,19,ds:simac,75,0.798740,0.708197,0.790341,0,nan,nan,nan
S_g10a2,19,ds:smc,27,0.577898,0.527328,0.608330,0,nan,nan,nan
S_g10a2,19,ds:tapcorrect,13,0.938569,0.835139,0.976671,13,0.890299,0.765385,0.836813
