arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_aligned,94,ALL,571,0.907222,0.842552,0.907589,469,0.885363,0.805405,0.883543
T_aligned,94,SMC,27,0.631562,0.555362,0.708816,0,nan,nan,nan
T_aligned,94,<70 bpm,63,0.738459,0.602776,0.756226,36,0.672595,0.462674,0.705456
T_aligned,94,SMC <70,15,0.563508,0.486982,0.673402,0,nan,nan,nan
T_aligned,94,>=70 bpm,508,0.928152,0.872288,0.926360,433,0.903052,0.833900,0.898349
T_aligned,94,bpm 0-70,63,0.738459,0.602776,0.756226,36,0.672595,0.462674,0.705456
T_aligned,94,bpm 70-100,138,0.898721,0.846456,0.902241,97,0.895378,0.834634,0.899605
T_aligned,94,bpm 100-130,198,0.953972,0.932020,0.950532,170,0.936581,0.908302,0.923963
T_aligned,94,bpm 130-160,88,0.913162,0.827508,0.938247,82,0.882698,0.802505,0.893582
T_aligned,94,bpm 160+,84,0.931345,0.820837,0.896557,84,0.863928,0.713123,0.849716
T_aligned,94,ds:asap,56,0.807005,0.571316,0.748413,56,0.700402,0.365714,0.664603
T_aligned,94,ds:ballroom,86,0.981896,0.978678,0.978678,86,0.955367,0.942358,0.955436
T_aligned,94,ds:beatles,23,0.953727,0.910427,0.910880,23,0.922066,0.867581,0.872157
T_aligned,94,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_aligned,94,ds:filosax,6,0.998896,0.997807,0.997807,6,0.994253,0.977778,0.977778
T_aligned,94,ds:groove_midi,42,0.935695,0.889699,0.898292,42,0.863044,0.810257,0.871088
T_aligned,94,ds:guitarset,23,0.925599,0.902576,0.944122,23,0.930507,0.943821,0.943821
T_aligned,94,ds:hainsworth,28,0.929919,0.872492,0.925976,28,0.776324,0.672119,0.789756
T_aligned,94,ds:harmonix,114,0.957934,0.888461,0.975462,114,0.933916,0.861900,0.942996
T_aligned,94,ds:hjdb,29,0.969649,0.940552,0.967413,29,0.960045,0.968715,0.968715
T_aligned,94,ds:jaah,15,0.972658,0.942442,0.942442,15,0.781974,0.692828,0.775482
T_aligned,94,ds:rwc,29,0.908376,0.843970,0.877079,29,0.881214,0.856835,0.890497
T_aligned,94,ds:simac,75,0.829221,0.786527,0.880082,0,nan,nan,nan
T_aligned,94,ds:smc,27,0.631562,0.555362,0.708816,0,nan,nan,nan
T_aligned,94,ds:tapcorrect,13,0.871778,0.715173,0.836517,13,0.822984,0.710998,0.816349
