arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_aligned,49,ALL,571,0.893620,0.819607,0.888842,469,0.866587,0.761536,0.854160
T_aligned,49,SMC,27,0.630967,0.561918,0.691429,0,nan,nan,nan
T_aligned,49,<70 bpm,63,0.739191,0.614318,0.753962,36,0.674841,0.395576,0.663068
T_aligned,49,SMC <70,15,0.592036,0.540270,0.672984,0,nan,nan,nan
T_aligned,49,>=70 bpm,508,0.912771,0.845066,0.905569,433,0.882529,0.791962,0.870047
T_aligned,49,bpm 0-70,63,0.739191,0.614318,0.753962,36,0.674841,0.395576,0.663068
T_aligned,49,bpm 70-100,138,0.889906,0.848440,0.904304,97,0.867472,0.788372,0.898243
T_aligned,49,bpm 100-130,198,0.941768,0.905297,0.934049,170,0.934703,0.892639,0.913458
T_aligned,49,bpm 130-160,88,0.890751,0.790734,0.890391,82,0.829579,0.708643,0.827261
T_aligned,49,bpm 160+,84,0.905055,0.754473,0.856417,84,0.846017,0.673691,0.791401
T_aligned,49,ds:asap,56,0.794950,0.548033,0.705356,56,0.661050,0.262882,0.573637
T_aligned,49,ds:ballroom,86,0.979121,0.977493,0.977493,86,0.959471,0.940085,0.958771
T_aligned,49,ds:beatles,23,0.986881,0.971289,0.971289,23,0.915680,0.846308,0.902078
T_aligned,49,ds:candombe,5,0.998165,0.996364,0.996364,5,1.000000,1.000000,1.000000
T_aligned,49,ds:filosax,6,0.996935,0.991925,0.991925,6,0.982759,0.966667,0.966667
T_aligned,49,ds:groove_midi,42,0.926910,0.876985,0.884304,42,0.817862,0.726227,0.806994
T_aligned,49,ds:guitarset,23,0.930452,0.877036,0.900653,23,0.930234,0.891052,0.891052
T_aligned,49,ds:hainsworth,28,0.929681,0.902814,0.936106,28,0.728922,0.572818,0.738105
T_aligned,49,ds:harmonix,114,0.953340,0.888466,0.959714,114,0.926298,0.852667,0.941521
T_aligned,49,ds:hjdb,29,0.932069,0.895826,0.910978,29,0.914764,0.899636,0.919728
T_aligned,49,ds:jaah,15,0.959299,0.915673,0.915673,15,0.785116,0.701256,0.767097
T_aligned,49,ds:rwc,29,0.851660,0.734163,0.822317,29,0.819955,0.740182,0.792902
T_aligned,49,ds:simac,75,0.774371,0.675443,0.842740,0,nan,nan,nan
T_aligned,49,ds:smc,27,0.630967,0.561918,0.691429,0,nan,nan,nan
T_aligned,49,ds:tapcorrect,13,0.891587,0.735738,0.872490,13,0.854003,0.693396,0.839550
T_aligned,59,ALL,571,0.900509,0.825282,0.895020,469,0.879719,0.788650,0.878136
T_aligned,59,SMC,27,0.642203,0.567304,0.738902,0,nan,nan,nan
T_aligned,59,<70 bpm,63,0.735814,0.577216,0.759645,36,0.651748,0.403041,0.684873
T_aligned,59,SMC <70,15,0.594258,0.520546,0.728271,0,nan,nan,nan
T_aligned,59,>=70 bpm,508,0.920934,0.856046,0.911808,433,0.898673,0.820710,0.894204
T_aligned,59,bpm 0-70,63,0.735814,0.577216,0.759645,36,0.651748,0.403041,0.684873
T_aligned,59,bpm 70-100,138,0.880656,0.820417,0.902788,97,0.883628,0.807181,0.882558
T_aligned,59,bpm 100-130,198,0.949467,0.918590,0.943548,170,0.938855,0.905608,0.934705
T_aligned,59,bpm 130-160,88,0.910845,0.817225,0.920268,82,0.872565,0.776410,0.888584
T_aligned,59,bpm 160+,84,0.930418,0.807824,0.842950,84,0.860210,0.707761,0.831172
T_aligned,59,ds:asap,56,0.815212,0.577216,0.671582,56,0.684273,0.363399,0.664046
T_aligned,59,ds:ballroom,86,0.976653,0.971262,0.971262,86,0.960573,0.941110,0.947831
T_aligned,59,ds:beatles,23,0.959038,0.904221,0.947111,23,0.925405,0.833765,0.887876
T_aligned,59,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_aligned,59,ds:filosax,6,1.000000,0.995891,0.995891,6,0.994253,0.977778,0.977778
T_aligned,59,ds:groove_midi,42,0.931838,0.878471,0.892262,42,0.846109,0.768468,0.856451
T_aligned,59,ds:guitarset,23,0.924847,0.862164,0.886222,23,0.934825,0.936481,0.936481
T_aligned,59,ds:hainsworth,28,0.925972,0.863795,0.942445,28,0.757666,0.646538,0.826767
T_aligned,59,ds:harmonix,114,0.955751,0.888294,0.968826,114,0.932300,0.859109,0.937395
T_aligned,59,ds:hjdb,29,0.966643,0.921435,0.950828,29,0.940743,0.924318,0.936171
T_aligned,59,ds:jaah,15,0.970991,0.940292,0.940292,15,0.817454,0.737055,0.771462
T_aligned,59,ds:rwc,29,0.863806,0.735011,0.866292,29,0.833422,0.738968,0.843375
T_aligned,59,ds:simac,75,0.797178,0.731311,0.861660,0,nan,nan,nan
T_aligned,59,ds:smc,27,0.642203,0.567304,0.738902,0,nan,nan,nan
T_aligned,59,ds:tapcorrect,13,0.878584,0.702061,0.853208,13,0.858689,0.723121,0.858194
T_aligned,69,ALL,571,0.902715,0.830921,0.901199,469,0.876902,0.795092,0.876466
T_aligned,69,SMC,27,0.670115,0.635727,0.746879,0,nan,nan,nan
T_aligned,69,<70 bpm,63,0.766732,0.646187,0.791146,36,0.675763,0.511510,0.710169
T_aligned,69,SMC <70,15,0.616472,0.575565,0.710082,0,nan,nan,nan
T_aligned,69,>=70 bpm,508,0.919579,0.853831,0.914847,433,0.893625,0.818669,0.890292
T_aligned,69,bpm 0-70,63,0.766732,0.646187,0.791146,36,0.675763,0.511510,0.710169
T_aligned,69,bpm 70-100,138,0.888773,0.840374,0.894785,97,0.884871,0.822803,0.887970
T_aligned,69,bpm 100-130,198,0.950943,0.923212,0.950614,170,0.935398,0.909061,0.923843
T_aligned,69,bpm 130-160,88,0.909887,0.822224,0.920097,82,0.868485,0.776714,0.893555
T_aligned,69,bpm 160+,84,0.906410,0.745513,0.858001,84,0.843734,0.671915,0.821888
T_aligned,69,ds:asap,56,0.796807,0.539332,0.722518,56,0.672593,0.356779,0.662440
T_aligned,69,ds:ballroom,86,0.980830,0.976456,0.976456,86,0.964214,0.950097,0.960894
T_aligned,69,ds:beatles,23,0.926421,0.830168,0.895454,23,0.906573,0.812419,0.867072
T_aligned,69,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_aligned,69,ds:filosax,6,0.999058,0.995934,0.995934,6,0.988095,0.964286,0.964286
T_aligned,69,ds:groove_midi,42,0.930480,0.876411,0.898127,42,0.866606,0.821714,0.868371
T_aligned,69,ds:guitarset,23,0.926968,0.887524,0.939238,23,0.919002,0.922541,0.922541
T_aligned,69,ds:hainsworth,28,0.940019,0.906125,0.941839,28,0.765670,0.664674,0.794785
T_aligned,69,ds:harmonix,114,0.958466,0.894239,0.965451,114,0.920675,0.851587,0.929597
T_aligned,69,ds:hjdb,29,0.968150,0.932383,0.959969,29,0.959003,0.956010,0.956010
T_aligned,69,ds:jaah,15,0.920445,0.791948,0.855382,15,0.738094,0.681008,0.776234
T_aligned,69,ds:rwc,29,0.881617,0.772877,0.872202,29,0.861871,0.803395,0.839472
T_aligned,69,ds:simac,75,0.814303,0.769141,0.869818,0,nan,nan,nan
T_aligned,69,ds:smc,27,0.670115,0.635727,0.746879,0,nan,nan,nan
T_aligned,69,ds:tapcorrect,13,0.890275,0.729992,0.881139,13,0.853269,0.698368,0.843860
T_aligned,79,ALL,571,0.909078,0.843122,0.911948,469,0.886217,0.802844,0.883177
T_aligned,79,SMC,27,0.656695,0.584850,0.756046,0,nan,nan,nan
T_aligned,79,<70 bpm,63,0.758087,0.616743,0.793923,36,0.683973,0.455103,0.710617
T_aligned,79,SMC <70,15,0.604585,0.543014,0.756974,0,nan,nan,nan
T_aligned,79,>=70 bpm,508,0.927804,0.871197,0.926585,433,0.903032,0.831755,0.897524
T_aligned,79,bpm 0-70,63,0.758087,0.616743,0.793923,36,0.683973,0.455103,0.710617
T_aligned,79,bpm 70-100,138,0.902605,0.859330,0.905390,97,0.901112,0.829426,0.900514
T_aligned,79,bpm 100-130,198,0.951846,0.927825,0.953180,170,0.938026,0.907722,0.923085
T_aligned,79,bpm 130-160,88,0.912367,0.822147,0.924480,82,0.879697,0.799372,0.895347
T_aligned,79,bpm 160+,84,0.928703,0.808599,0.900921,84,0.857205,0.712314,0.844465
T_aligned,79,ds:asap,56,0.831819,0.619909,0.765852,56,0.717166,0.389737,0.697273
T_aligned,79,ds:ballroom,86,0.981621,0.979255,0.979255,86,0.958596,0.940104,0.954387
T_aligned,79,ds:beatles,23,0.953727,0.909702,0.910170,23,0.914903,0.848893,0.856567
T_aligned,79,ds:candombe,5,0.998165,0.996364,0.996364,5,1.000000,1.000000,1.000000
T_aligned,79,ds:filosax,6,0.998896,0.997807,0.997807,6,0.994253,0.977778,0.977778
T_aligned,79,ds:groove_midi,42,0.924593,0.864346,0.893586,42,0.852189,0.791393,0.858609
T_aligned,79,ds:guitarset,23,0.923314,0.899464,0.941954,23,0.924183,0.925756,0.925756
T_aligned,79,ds:hainsworth,28,0.941432,0.906378,0.935021,28,0.781627,0.690371,0.790988
T_aligned,79,ds:harmonix,114,0.959326,0.886884,0.974973,114,0.937482,0.864810,0.946396
T_aligned,79,ds:hjdb,29,0.964361,0.941585,0.959734,29,0.952236,0.956187,0.956187
T_aligned,79,ds:jaah,15,0.974131,0.945099,0.945099,15,0.739995,0.657909,0.736705
T_aligned,79,ds:rwc,29,0.890031,0.793664,0.890934,29,0.881312,0.838827,0.877731
T_aligned,79,ds:simac,75,0.820170,0.763056,0.871480,0,nan,nan,nan
T_aligned,79,ds:smc,27,0.656695,0.584850,0.756046,0,nan,nan,nan
T_aligned,79,ds:tapcorrect,13,0.902871,0.739065,0.890213,13,0.842117,0.699586,0.837904
T_aligned,89,ALL,571,0.906645,0.840762,0.905742,469,0.882779,0.805809,0.881154
T_aligned,89,SMC,27,0.637115,0.574624,0.732439,0,nan,nan,nan
T_aligned,89,<70 bpm,63,0.741122,0.608143,0.755273,36,0.674292,0.446426,0.695126
T_aligned,89,SMC <70,15,0.562274,0.487718,0.705117,0,nan,nan,nan
T_aligned,89,>=70 bpm,508,0.927172,0.869610,0.924402,433,0.900113,0.835688,0.896621
T_aligned,89,bpm 0-70,63,0.741122,0.608143,0.755273,36,0.674292,0.446426,0.695126
T_aligned,89,bpm 70-100,138,0.896055,0.837096,0.901425,97,0.889683,0.830712,0.890660
T_aligned,89,bpm 100-130,198,0.955429,0.934530,0.951931,170,0.934022,0.905661,0.920416
T_aligned,89,bpm 130-160,88,0.910738,0.828232,0.932236,82,0.881934,0.818159,0.897898
T_aligned,89,bpm 160+,84,0.928902,0.813350,0.889054,84,0.861279,0.716936,0.854102
T_aligned,89,ds:asap,56,0.804659,0.570578,0.734254,56,0.706245,0.389998,0.683005
T_aligned,89,ds:ballroom,86,0.981968,0.980755,0.980755,86,0.955629,0.941840,0.951675
T_aligned,89,ds:beatles,23,0.939658,0.867544,0.910151,23,0.927200,0.878589,0.884108
T_aligned,89,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_aligned,89,ds:filosax,6,0.998896,0.997807,0.997807,6,0.994253,0.977778,0.977778
T_aligned,89,ds:groove_midi,42,0.939008,0.899256,0.908277,42,0.865551,0.819686,0.882806
T_aligned,89,ds:guitarset,23,0.924450,0.893885,0.936729,23,0.924979,0.930682,0.930682
T_aligned,89,ds:hainsworth,28,0.933830,0.881757,0.946638,28,0.778867,0.686180,0.780873
T_aligned,89,ds:harmonix,114,0.957400,0.888505,0.971417,114,0.923093,0.851714,0.932169
T_aligned,89,ds:hjdb,29,0.960810,0.935881,0.951126,29,0.948755,0.971264,0.971264
T_aligned,89,ds:jaah,15,0.972126,0.923764,0.923764,15,0.774841,0.685952,0.758756
T_aligned,89,ds:rwc,29,0.911058,0.852790,0.884550,29,0.876938,0.833551,0.868033
T_aligned,89,ds:simac,75,0.828996,0.776931,0.870978,0,nan,nan,nan
T_aligned,89,ds:smc,27,0.637115,0.574624,0.732439,0,nan,nan,nan
T_aligned,89,ds:tapcorrect,13,0.872617,0.693684,0.820381,13,0.827870,0.710938,0.817828
T_aligned,99,ALL,571,0.906138,0.840051,0.906973,469,0.884041,0.805347,0.885392
T_aligned,99,SMC,27,0.632363,0.566238,0.722282,0,nan,nan,nan
T_aligned,99,<70 bpm,63,0.738192,0.606009,0.767822,36,0.677169,0.465875,0.715479
T_aligned,99,SMC <70,15,0.560060,0.495698,0.694607,0,nan,nan,nan
T_aligned,99,>=70 bpm,508,0.926966,0.869076,0.924230,433,0.901240,0.833571,0.899519
T_aligned,99,bpm 0-70,63,0.738192,0.606009,0.767822,36,0.677169,0.465875,0.715479
T_aligned,99,bpm 70-100,138,0.899636,0.848086,0.905410,97,0.893726,0.836937,0.902003
T_aligned,99,bpm 100-130,198,0.953449,0.930229,0.948685,170,0.932590,0.899057,0.917084
T_aligned,99,bpm 130-160,88,0.912192,0.828505,0.933661,82,0.881475,0.807484,0.895993
T_aligned,99,bpm 160+,84,0.924917,0.801915,0.887622,84,0.865767,0.722618,0.864542
T_aligned,99,ds:asap,56,0.802106,0.561483,0.745804,56,0.703673,0.384099,0.683620
T_aligned,99,ds:ballroom,86,0.981672,0.978526,0.978526,86,0.957644,0.942584,0.955662
T_aligned,99,ds:beatles,23,0.953413,0.910427,0.910870,23,0.923403,0.876670,0.880611
T_aligned,99,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_aligned,99,ds:filosax,6,0.998896,0.997807,0.997807,6,0.994253,0.977778,0.977778
T_aligned,99,ds:groove_midi,42,0.934109,0.884116,0.891969,42,0.857329,0.793644,0.859042
T_aligned,99,ds:guitarset,23,0.923800,0.895668,0.937213,23,0.925905,0.929724,0.929724
T_aligned,99,ds:hainsworth,28,0.936637,0.889707,0.941110,28,0.768851,0.667529,0.804029
T_aligned,99,ds:harmonix,114,0.958375,0.889247,0.975060,114,0.930260,0.860618,0.940136
T_aligned,99,ds:hjdb,29,0.966493,0.935573,0.958804,29,0.956665,0.964610,0.964610
T_aligned,99,ds:jaah,15,0.954720,0.892253,0.949278,15,0.777247,0.690490,0.792588
T_aligned,99,ds:rwc,29,0.905859,0.832974,0.865103,29,0.884103,0.862543,0.896205
T_aligned,99,ds:simac,75,0.828621,0.786865,0.880561,0,nan,nan,nan
T_aligned,99,ds:smc,27,0.632363,0.566238,0.722282,0,nan,nan,nan
T_aligned,99,ds:tapcorrect,13,0.872393,0.703992,0.832579,13,0.825090,0.710998,0.819554
