arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_base,39,ALL,571,0.851493,0.765134,0.835583,469,0.813280,0.696976,0.811258
T_base,39,SMC,27,0.586463,0.489328,0.599680,0,nan,nan,nan
T_base,39,<70 bpm,63,0.694978,0.543039,0.709651,36,0.546239,0.203304,0.499374
T_base,39,SMC <70,15,0.497618,0.425504,0.569594,0,nan,nan,nan
T_base,39,>=70 bpm,508,0.870903,0.792677,0.851200,433,0.835482,0.738020,0.837188
T_base,39,bpm 0-70,63,0.694978,0.543039,0.709651,36,0.546239,0.203304,0.499374
T_base,39,bpm 70-100,138,0.845074,0.801695,0.862910,97,0.833525,0.717994,0.832091
T_base,39,bpm 100-130,198,0.894650,0.868342,0.892164,170,0.869885,0.839187,0.889002
T_base,39,bpm 130-160,88,0.873933,0.779508,0.860387,82,0.806068,0.665865,0.825716
T_base,39,bpm 160+,84,0.854189,0.613307,0.725779,84,0.796831,0.626841,0.749413
T_base,39,ds:asap,56,0.767099,0.515381,0.685600,56,0.580799,0.181150,0.447478
T_base,39,ds:ballroom,86,0.937655,0.885839,0.891505,86,0.915872,0.856776,0.922825
T_base,39,ds:beatles,23,0.940765,0.914060,0.953426,23,0.871842,0.796219,0.917310
T_base,39,ds:candombe,5,0.998095,0.988816,0.988816,5,1.000000,1.000000,1.000000
T_base,39,ds:filosax,6,0.973571,0.850785,0.850785,6,0.950940,0.957143,0.957143
T_base,39,ds:groove_midi,42,0.828287,0.749438,0.767342,42,0.745631,0.696927,0.787009
T_base,39,ds:guitarset,23,0.759772,0.646909,0.712175,23,0.700839,0.697600,0.764489
T_base,39,ds:hainsworth,28,0.904487,0.832809,0.890369,28,0.683455,0.474575,0.686842
T_base,39,ds:harmonix,114,0.950033,0.909856,0.968179,114,0.902440,0.821862,0.913290
T_base,39,ds:hjdb,29,0.935197,0.897078,0.911309,29,0.929073,0.890189,0.961133
T_base,39,ds:jaah,15,0.875589,0.649944,0.714944,15,0.652642,0.476811,0.575777
T_base,39,ds:rwc,29,0.786941,0.671277,0.770460,29,0.768917,0.713161,0.779000
T_base,39,ds:simac,75,0.717769,0.658253,0.785976,0,nan,nan,nan
T_base,39,ds:smc,27,0.586463,0.489328,0.599680,0,nan,nan,nan
T_base,39,ds:tapcorrect,13,0.884760,0.735840,0.886987,13,0.838337,0.619491,0.856349
T_noattn,39,ALL,571,0.860557,0.777630,0.844827,469,0.822013,0.705955,0.796057
T_noattn,39,SMC,27,0.566233,0.484263,0.613966,0,nan,nan,nan
T_noattn,39,<70 bpm,63,0.703106,0.521168,0.706339,36,0.580724,0.227249,0.500771
T_noattn,39,SMC <70,15,0.479479,0.376620,0.519808,0,nan,nan,nan
T_noattn,39,>=70 bpm,508,0.880083,0.809435,0.862001,433,0.842074,0.745755,0.820607
T_noattn,39,bpm 0-70,63,0.703106,0.521168,0.706339,36,0.580724,0.227249,0.500771
T_noattn,39,bpm 70-100,138,0.847695,0.814665,0.862413,97,0.843954,0.774719,0.841350
T_noattn,39,bpm 100-130,198,0.904608,0.875312,0.902371,170,0.881573,0.841368,0.872527
T_noattn,39,bpm 130-160,88,0.888363,0.811653,0.893743,82,0.810454,0.677677,0.795735
T_noattn,39,bpm 160+,84,0.866808,0.643239,0.732913,84,0.790831,0.585262,0.715858
