arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_meterhead,49,ALL,571,0.895462,0.808693,0.879712,469,0.866330,0.761094,0.839637
T_meterhead,49,SMC,27,0.621940,0.527201,0.668142,0,nan,nan,nan
T_meterhead,49,<70 bpm,63,0.742413,0.602797,0.748418,36,0.659080,0.374605,0.645049
T_meterhead,49,SMC <70,15,0.572478,0.501776,0.636153,0,nan,nan,nan
T_meterhead,49,>=70 bpm,508,0.914443,0.834228,0.895995,433,0.883561,0.793227,0.855815
T_meterhead,49,bpm 0-70,63,0.742413,0.602797,0.748418,36,0.659080,0.374605,0.645049
T_meterhead,49,bpm 70-100,138,0.899407,0.845230,0.903159,97,0.881732,0.807395,0.852024
T_meterhead,49,bpm 100-130,198,0.937807,0.886297,0.908061,170,0.911024,0.854186,0.887287
T_meterhead,49,bpm 130-160,88,0.887192,0.774612,0.878373,82,0.843055,0.738454,0.850451
T_meterhead,49,bpm 160+,84,0.912618,0.755873,0.874243,84,0.869636,0.706966,0.801737
T_meterhead,49,ds:asap,56,0.824527,0.596102,0.757997,56,0.733674,0.413084,0.645398
T_meterhead,49,ds:ballroom,86,0.970050,0.943363,0.950342,86,0.945303,0.902620,0.918333
T_meterhead,49,ds:beatles,23,0.953046,0.866466,0.952835,23,0.898615,0.789742,0.857635
T_meterhead,49,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_meterhead,49,ds:filosax,6,0.998525,0.994152,0.994152,6,0.976190,0.940476,0.940476
T_meterhead,49,ds:groove_midi,42,0.917472,0.848728,0.870007,42,0.872182,0.788568,0.857288
T_meterhead,49,ds:guitarset,23,0.953179,0.894883,0.894883,23,0.927167,0.873398,0.887956
T_meterhead,49,ds:hainsworth,28,0.931577,0.881966,0.881966,28,0.714403,0.611680,0.752143
T_meterhead,49,ds:harmonix,114,0.947339,0.864216,0.946569,114,0.907107,0.818063,0.897360
T_meterhead,49,ds:hjdb,29,0.914242,0.840935,0.896746,29,0.890826,0.849728,0.892452
T_meterhead,49,ds:jaah,15,0.940261,0.861707,0.912806,15,0.741005,0.642021,0.741169
T_meterhead,49,ds:rwc,29,0.872379,0.745909,0.812015,29,0.823695,0.751684,0.784731
T_meterhead,49,ds:simac,75,0.795610,0.718287,0.834635,0,nan,nan,nan
T_meterhead,49,ds:smc,27,0.621940,0.527201,0.668142,0,nan,nan,nan
T_meterhead,49,ds:tapcorrect,13,0.914071,0.758833,0.896012,13,0.784286,0.594046,0.673716
T_meterhead,59,ALL,571,0.899639,0.817168,0.902333,469,0.882935,0.796355,0.863507
T_meterhead,59,SMC,27,0.636946,0.518674,0.698153,0,nan,nan,nan
T_meterhead,59,<70 bpm,63,0.765186,0.625870,0.802464,36,0.675993,0.394394,0.652408
T_meterhead,59,SMC <70,15,0.590642,0.501921,0.710639,0,nan,nan,nan
T_meterhead,59,>=70 bpm,508,0.916313,0.840892,0.914719,433,0.900140,0.829774,0.881058
T_meterhead,59,bpm 0-70,63,0.765186,0.625870,0.802464,36,0.675993,0.394394,0.652408
T_meterhead,59,bpm 70-100,138,0.896854,0.829960,0.908102,97,0.882320,0.814051,0.861303
T_meterhead,59,bpm 100-130,198,0.935715,0.886114,0.934074,170,0.921025,0.878560,0.905505
T_meterhead,59,bpm 130-160,88,0.904786,0.806635,0.897705,82,0.877124,0.798841,0.876024
T_meterhead,59,bpm 160+,84,0.914624,0.788143,0.897791,84,0.900919,0.779394,0.859306
T_meterhead,59,ds:asap,56,0.842742,0.631539,0.819734,56,0.758411,0.493617,0.714394
T_meterhead,59,ds:ballroom,86,0.972227,0.951915,0.971485,86,0.952442,0.931299,0.947463
T_meterhead,59,ds:beatles,23,0.937382,0.835376,0.921745,23,0.906971,0.785016,0.874480
T_meterhead,59,ds:candombe,5,0.996260,0.988816,0.988816,5,1.000000,1.000000,1.000000
T_meterhead,59,ds:filosax,6,1.000000,1.000000,1.000000,6,1.000000,1.000000,1.000000
T_meterhead,59,ds:groove_midi,42,0.914171,0.860372,0.916422,42,0.868293,0.790794,0.846887
T_meterhead,59,ds:guitarset,23,0.964472,0.943063,0.943063,23,0.946965,0.901868,0.905960
T_meterhead,59,ds:hainsworth,28,0.908608,0.795415,0.867509,28,0.712952,0.610798,0.684398
T_meterhead,59,ds:harmonix,114,0.957639,0.892178,0.960113,114,0.923520,0.857099,0.929558
T_meterhead,59,ds:hjdb,29,0.963301,0.945478,0.962081,29,0.959878,0.955939,0.955939
T_meterhead,59,ds:jaah,15,0.975398,0.955542,0.955542,15,0.811007,0.704185,0.744506
T_meterhead,59,ds:rwc,29,0.857648,0.726171,0.850449,29,0.835165,0.754890,0.778876
T_meterhead,59,ds:simac,75,0.794104,0.699200,0.854527,0,nan,nan,nan
T_meterhead,59,ds:smc,27,0.636946,0.518674,0.698153,0,nan,nan,nan
T_meterhead,59,ds:tapcorrect,13,0.843379,0.627149,0.759694,13,0.780095,0.596620,0.720572
T_meterhead,69,ALL,571,0.907414,0.829540,0.902454,469,0.890498,0.800138,0.868445
T_meterhead,69,SMC,27,0.649249,0.581745,0.700452,0,nan,nan,nan
T_meterhead,69,<70 bpm,63,0.762548,0.637635,0.769312,36,0.676578,0.376302,0.676538
T_meterhead,69,SMC <70,15,0.624946,0.599550,0.715474,0,nan,nan,nan
T_meterhead,69,>=70 bpm,508,0.925380,0.853339,0.918966,433,0.908284,0.835376,0.884400
T_meterhead,69,bpm 0-70,63,0.762548,0.637635,0.769312,36,0.676578,0.376302,0.676538
T_meterhead,69,bpm 70-100,138,0.900945,0.835282,0.905490,97,0.888876,0.805448,0.847162
T_meterhead,69,bpm 100-130,198,0.936713,0.875532,0.923519,170,0.929381,0.886845,0.912642
T_meterhead,69,bpm 130-160,88,0.929934,0.854316,0.934744,82,0.900773,0.839956,0.917618
T_meterhead,69,bpm 160+,84,0.934037,0.829672,0.913844,84,0.895332,0.761302,0.837818
T_meterhead,69,ds:asap,56,0.827410,0.619199,0.760737,56,0.762110,0.489373,0.694337
T_meterhead,69,ds:ballroom,86,0.969754,0.941906,0.962053,86,0.947488,0.916831,0.944100
T_meterhead,69,ds:beatles,23,0.959443,0.898671,0.934900,23,0.925747,0.836808,0.850018
T_meterhead,69,ds:candombe,5,0.996364,0.996364,0.996364,5,1.000000,1.000000,1.000000
T_meterhead,69,ds:filosax,6,0.998911,0.997835,0.997835,6,0.988095,0.976190,0.976190
T_meterhead,69,ds:groove_midi,42,0.916972,0.843205,0.904972,42,0.882621,0.829548,0.871128
T_meterhead,69,ds:guitarset,23,0.980765,0.959828,0.959828,23,0.965855,0.941482,0.944243
T_meterhead,69,ds:hainsworth,28,0.894481,0.789071,0.890589,28,0.727705,0.642095,0.730669
T_meterhead,69,ds:harmonix,114,0.962652,0.894167,0.969365,114,0.936831,0.859488,0.929596
T_meterhead,69,ds:hjdb,29,0.979861,0.963779,0.967601,29,0.969320,0.949878,0.963055
T_meterhead,69,ds:jaah,15,0.969105,0.944485,0.944485,15,0.794466,0.681724,0.698391
T_meterhead,69,ds:rwc,29,0.891999,0.776265,0.874738,29,0.835323,0.720552,0.800606
T_meterhead,69,ds:simac,75,0.828937,0.748650,0.869709,0,nan,nan,nan
T_meterhead,69,ds:smc,27,0.649249,0.581745,0.700452,0,nan,nan,nan
T_meterhead,69,ds:tapcorrect,13,0.844497,0.642005,0.786741,13,0.811541,0.598840,0.804465
T_meterhead,79,ALL,571,0.902377,0.819111,0.903575,469,0.884446,0.791514,0.875852
T_meterhead,79,SMC,27,0.636601,0.537215,0.673866,0,nan,nan,nan
T_meterhead,79,<70 bpm,63,0.756223,0.591534,0.785164,36,0.674788,0.336734,0.710323
T_meterhead,79,SMC <70,15,0.606686,0.530904,0.655408,0,nan,nan,nan
T_meterhead,79,>=70 bpm,508,0.920503,0.847334,0.918259,433,0.901877,0.829325,0.889615
T_meterhead,79,bpm 0-70,63,0.756223,0.591534,0.785164,36,0.674788,0.336734,0.710323
T_meterhead,79,bpm 70-100,138,0.895514,0.830369,0.895992,97,0.877471,0.800004,0.861392
T_meterhead,79,bpm 100-130,198,0.936338,0.882195,0.934614,170,0.923286,0.878255,0.913484
T_meterhead,79,bpm 130-160,88,0.919032,0.835552,0.920385,82,0.893243,0.831010,0.909380
