arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_offset,29,ALL,571,0.885275,0.791928,0.875185,469,0.850883,0.727883,0.824361
T_offset,29,SMC,27,0.596481,0.441663,0.575425,0,nan,nan,nan
T_offset,29,<70 bpm,63,0.734525,0.575109,0.723601,36,0.640835,0.365222,0.635139
T_offset,29,SMC <70,15,0.552736,0.410889,0.542744,0,nan,nan,nan
T_offset,29,>=70 bpm,508,0.903971,0.818817,0.893984,433,0.868346,0.758035,0.840093
T_offset,29,bpm 0-70,63,0.734525,0.575109,0.723601,36,0.640835,0.365222,0.635139
T_offset,29,bpm 70-100,138,0.881775,0.798004,0.872734,97,0.868288,0.782435,0.846945
T_offset,29,bpm 100-130,198,0.936527,0.885293,0.919218,170,0.909026,0.845078,0.895236
T_offset,29,bpm 130-160,88,0.876024,0.796240,0.909559,82,0.818955,0.685360,0.814356
T_offset,29,bpm 160+,84,0.892972,0.719971,0.853098,84,0.834302,0.624645,0.745704
T_offset,29,ds:asap,56,0.802508,0.541576,0.747966,56,0.620832,0.211905,0.548952
T_offset,29,ds:ballroom,86,0.967101,0.936446,0.947797,86,0.935125,0.863885,0.907021
T_offset,29,ds:beatles,23,0.981353,0.962830,0.962830,23,0.916777,0.841646,0.895994
T_offset,29,ds:candombe,5,0.998165,0.996364,0.996364,5,1.000000,1.000000,1.000000
T_offset,29,ds:filosax,6,0.996894,0.993854,0.993854,6,0.944404,0.901087,0.901087
T_offset,29,ds:groove_midi,42,0.888942,0.790525,0.825585,42,0.865281,0.780069,0.825077
T_offset,29,ds:guitarset,23,0.954666,0.898201,0.904809,23,0.930243,0.863638,0.887793
T_offset,29,ds:hainsworth,28,0.853020,0.739166,0.845357,28,0.658420,0.528345,0.702648
T_offset,29,ds:harmonix,114,0.948594,0.880596,0.967225,114,0.917941,0.832164,0.913291
T_offset,29,ds:hjdb,29,0.927006,0.909366,0.942442,29,0.902317,0.874034,0.907004
T_offset,29,ds:jaah,15,0.953135,0.904877,0.921021,15,0.770809,0.618609,0.657809
T_offset,29,ds:rwc,29,0.861866,0.748290,0.842077,29,0.822091,0.728394,0.767904
T_offset,29,ds:simac,75,0.787859,0.682661,0.833924,0,nan,nan,nan
T_offset,29,ds:smc,27,0.596481,0.441663,0.575425,0,nan,nan,nan
T_offset,29,ds:tapcorrect,13,0.857834,0.655654,0.782927,13,0.748919,0.570426,0.735722
