arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_offset,49,ALL,571,0.888888,0.798439,0.885710,469,0.860040,0.747095,0.842133
T_offset,49,SMC,27,0.624419,0.570768,0.675975,0,nan,nan,nan
T_offset,49,<70 bpm,63,0.702715,0.572806,0.729000,36,0.619157,0.312194,0.580189
T_offset,49,SMC <70,15,0.584187,0.599084,0.673258,0,nan,nan,nan
T_offset,49,>=70 bpm,508,0.911977,0.826421,0.905144,433,0.880067,0.783254,0.863911
T_offset,49,bpm 0-70,63,0.702715,0.572806,0.729000,36,0.619157,0.312194,0.580189
T_offset,49,bpm 70-100,138,0.886509,0.811059,0.887732,97,0.877177,0.794665,0.865170
T_offset,49,bpm 100-130,198,0.935439,0.873446,0.923534,170,0.896205,0.843162,0.886375
T_offset,49,bpm 130-160,88,0.905802,0.816873,0.908805,82,0.875094,0.763055,0.862957
T_offset,49,bpm 160+,84,0.904982,0.750817,0.886566,84,0.855599,0.668550,0.817929
T_offset,49,ds:asap,56,0.761236,0.475246,0.688077,56,0.649059,0.273609,0.550095
T_offset,49,ds:ballroom,86,0.965885,0.942481,0.965053,86,0.940563,0.895835,0.913094
T_offset,49,ds:beatles,23,0.991670,0.977291,0.977291,23,0.914782,0.797987,0.860696
T_offset,49,ds:candombe,5,0.996426,0.992915,0.992915,5,1.000000,1.000000,1.000000
T_offset,49,ds:filosax,6,1.000000,1.000000,1.000000,6,1.000000,1.000000,1.000000
T_offset,49,ds:groove_midi,42,0.907530,0.820534,0.891935,42,0.860502,0.772408,0.875717
T_offset,49,ds:guitarset,23,0.939922,0.854596,0.923194,23,0.966004,0.914529,0.952210
T_offset,49,ds:hainsworth,28,0.917177,0.860194,0.931623,28,0.694993,0.600522,0.780398
T_offset,49,ds:harmonix,114,0.947759,0.871724,0.957697,114,0.907103,0.822513,0.905608
T_offset,49,ds:hjdb,29,0.960314,0.898434,0.898434,29,0.924796,0.868932,0.906116
T_offset,49,ds:jaah,15,0.953533,0.914537,0.947202,15,0.817994,0.711746,0.809132
T_offset,49,ds:rwc,29,0.846072,0.729300,0.831570,29,0.795937,0.690159,0.767855
T_offset,49,ds:simac,75,0.797770,0.690314,0.841418,0,nan,nan,nan
T_offset,49,ds:smc,27,0.624419,0.570768,0.675975,0,nan,nan,nan
T_offset,49,ds:tapcorrect,13,0.863780,0.700978,0.852125,13,0.821765,0.671070,0.798417
T_offset,59,ALL,571,0.893513,0.805303,0.908230,469,0.862449,0.773464,0.869781
T_offset,59,SMC,27,0.622340,0.532651,0.658385,0,nan,nan,nan
T_offset,59,<70 bpm,63,0.705595,0.506996,0.739676,36,0.626742,0.364144,0.651698
T_offset,59,SMC <70,15,0.571315,0.501615,0.625575,0,nan,nan,nan
T_offset,59,>=70 bpm,508,0.916818,0.842298,0.929134,433,0.882046,0.807495,0.887913
T_offset,59,bpm 0-70,63,0.705595,0.506996,0.739676,36,0.626742,0.364144,0.651698
T_offset,59,bpm 70-100,138,0.879791,0.791783,0.900203,97,0.865992,0.786383,0.870302
T_offset,59,bpm 100-130,198,0.940689,0.893677,0.948833,170,0.909925,0.890882,0.928266
T_offset,59,bpm 130-160,88,0.906663,0.820969,0.935831,82,0.867586,0.775716,0.869473
T_offset,59,bpm 160+,84,0.932023,0.826524,0.923214,84,0.858276,0.694139,0.844584
T_offset,59,ds:asap,56,0.785386,0.529510,0.767295,56,0.638975,0.338245,0.589411
T_offset,59,ds:ballroom,86,0.970168,0.949378,0.970447,86,0.956156,0.929936,0.949913
T_offset,59,ds:beatles,23,0.963423,0.892081,0.978450,23,0.912045,0.805540,0.903366
