arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_offset,39,ALL,571,0.890752,0.807961,0.897609,469,0.859813,0.757503,0.848147
T_offset,39,SMC,27,0.607291,0.506398,0.614372,0,nan,nan,nan
T_offset,39,<70 bpm,63,0.729791,0.594635,0.756154,36,0.592301,0.309336,0.617515
T_offset,39,SMC <70,15,0.563742,0.520891,0.608164,0,nan,nan,nan
T_offset,39,>=70 bpm,508,0.910713,0.834417,0.915152,433,0.882054,0.794764,0.867322
T_offset,39,bpm 0-70,63,0.729791,0.594635,0.756154,36,0.592301,0.309336,0.617515
T_offset,39,bpm 70-100,138,0.879117,0.806986,0.901670,97,0.871996,0.786870,0.875513
T_offset,39,bpm 100-130,198,0.937544,0.885863,0.931237,170,0.910528,0.866164,0.911649
T_offset,39,bpm 130-160,88,0.894934,0.811828,0.924987,82,0.857942,0.753742,0.853551
T_offset,39,bpm 160+,84,0.915908,0.781883,0.889081,84,0.859583,0.699421,0.781600
T_offset,39,ds:asap,56,0.835206,0.613961,0.799083,56,0.652522,0.276445,0.541554
T_offset,39,ds:ballroom,86,0.968916,0.951392,0.967878,86,0.950723,0.921573,0.947867
T_offset,39,ds:beatles,23,0.950281,0.886364,0.929255,23,0.942241,0.866229,0.916953
T_offset,39,ds:candombe,5,0.998095,0.996226,0.996226,5,1.000000,1.000000,1.000000
T_offset,39,ds:filosax,6,1.000000,1.000000,1.000000,6,0.994253,0.977778,0.977778
T_offset,39,ds:groove_midi,42,0.919994,0.850775,0.896218,42,0.857786,0.771200,0.826729
T_offset,39,ds:guitarset,23,0.907624,0.835466,0.908657,23,0.884088,0.857157,0.902074
T_offset,39,ds:hainsworth,28,0.880611,0.814750,0.883243,28,0.672724,0.578626,0.753456
T_offset,39,ds:harmonix,114,0.947213,0.860707,0.965679,114,0.916313,0.826051,0.927695
T_offset,39,ds:hjdb,29,0.959407,0.953304,0.984852,29,0.920465,0.899733,0.943051
T_offset,39,ds:jaah,15,0.948083,0.878337,0.940106,15,0.796655,0.707762,0.782377
T_offset,39,ds:rwc,29,0.833495,0.708205,0.804716,29,0.792218,0.728205,0.764138
T_offset,39,ds:simac,75,0.784730,0.699134,0.851861,0,nan,nan,nan
T_offset,39,ds:smc,27,0.607291,0.506398,0.614372,0,nan,nan,nan
T_offset,39,ds:tapcorrect,13,0.927110,0.802188,0.950729,13,0.849026,0.726123,0.800956
