arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_tp_bounded,19,ALL,571,0.911316,0.855223,0.914556,469,0.899582,0.834236,0.899076
T_tp_bounded,19,SMC,27,0.670595,0.661609,0.728357,0,nan,nan,nan
T_tp_bounded,19,<70 bpm,63,0.770230,0.685010,0.782836,36,0.683013,0.412421,0.708904
T_tp_bounded,19,SMC <70,15,0.622071,0.632735,0.702774,0,nan,nan,nan
T_tp_bounded,19,>=70 bpm,508,0.928813,0.876332,0.930892,433,0.917588,0.869306,0.914887
T_tp_bounded,19,bpm 0-70,63,0.770230,0.685010,0.782836,36,0.683013,0.412421,0.708904
T_tp_bounded,19,bpm 70-100,138,0.895376,0.858533,0.899821,97,0.898309,0.847690,0.894044
T_tp_bounded,19,bpm 100-130,198,0.948317,0.918152,0.952778,170,0.937212,0.915722,0.929164
T_tp_bounded,19,bpm 130-160,88,0.935659,0.869289,0.948891,82,0.908815,0.857431,0.939625
T_tp_bounded,19,bpm 160+,84,0.930596,0.814378,0.911492,84,0.908698,0.811920,0.885910
T_tp_bounded,19,ds:asap,56,0.824395,0.644715,0.794036,56,0.759482,0.534261,0.743417
T_tp_bounded,19,ds:ballroom,86,0.973052,0.957439,0.964312,86,0.971738,0.956144,0.960752
T_tp_bounded,19,ds:beatles,23,0.950550,0.877687,0.921165,23,0.882631,0.796735,0.849875
T_tp_bounded,19,ds:candombe,5,1.000000,1.000000,1.000000,5,1.000000,1.000000,1.000000
T_tp_bounded,19,ds:filosax,6,0.997807,0.995891,0.995891,6,1.000000,1.000000,1.000000
T_tp_bounded,19,ds:groove_midi,42,0.924729,0.866596,0.892801,42,0.919746,0.871605,0.915058
T_tp_bounded,19,ds:guitarset,23,0.946111,0.932733,0.966248,23,0.943107,0.975362,0.975362
T_tp_bounded,19,ds:hainsworth,28,0.935796,0.879905,0.950102,28,0.670560,0.600313,0.708371
T_tp_bounded,19,ds:harmonix,114,0.966656,0.913585,0.980868,114,0.943314,0.874995,0.949644
T_tp_bounded,19,ds:hjdb,29,0.976994,0.961910,0.965078,29,0.991192,0.994253,0.994253
T_tp_bounded,19,ds:jaah,15,0.954596,0.882154,0.882154,15,0.844374,0.794582,0.854582
T_tp_bounded,19,ds:rwc,29,0.889322,0.819366,0.885266,29,0.850136,0.809147,0.864395
T_tp_bounded,19,ds:simac,75,0.825814,0.779760,0.868413,0,nan,nan,nan
T_tp_bounded,19,ds:smc,27,0.670595,0.661609,0.728357,0,nan,nan,nan
T_tp_bounded,19,ds:tapcorrect,13,0.936838,0.835064,0.986211,13,0.908046,0.766789,0.860328
