arm,epoch,group,n,F,CMLt,AMLt,n_db,dbF,dbCMLt,dbAMLt
T_tp_floored,19,ALL,571,0.866454,0.790568,0.847532,469,0.862406,0.821320,0.887843
T_tp_floored,19,SMC,27,0.629264,0.655938,0.713396,0,nan,nan,nan
T_tp_floored,19,<70 bpm,63,0.723233,0.660292,0.769460,36,0.662284,0.404815,0.685348
T_tp_floored,19,SMC <70,15,0.586423,0.645784,0.707401,0,nan,nan,nan
T_tp_floored,19,>=70 bpm,508,0.884216,0.806724,0.857214,433,0.879044,0.855948,0.904679
T_tp_floored,19,bpm 0-70,63,0.723233,0.660292,0.769460,36,0.662284,0.404815,0.685348
T_tp_floored,19,bpm 70-100,138,0.849044,0.829636,0.866625,97,0.861320,0.838671,0.888655
T_tp_floored,19,bpm 100-130,198,0.905219,0.876405,0.907845,170,0.902451,0.905852,0.924407
T_tp_floored,19,bpm 130-160,88,0.894317,0.793626,0.869421,82,0.865401,0.838063,0.922127
T_tp_floored,19,bpm 160+,84,0.881909,0.618555,0.709621,84,0.865459,0.792364,0.866223
T_tp_floored,19,ds:asap,56,0.777423,0.552430,0.693651,56,0.727236,0.513053,0.726949
T_tp_floored,19,ds:ballroom,86,0.936054,0.870721,0.875809,86,0.943923,0.951999,0.963584
T_tp_floored,19,ds:beatles,23,0.901734,0.848032,0.891510,23,0.844397,0.799840,0.852980
T_tp_floored,19,ds:candombe,5,0.977419,0.944277,0.944277,5,0.977208,0.985714,0.985714
T_tp_floored,19,ds:filosax,6,0.961346,0.814259,0.814259,6,0.955853,0.984848,0.984848
T_tp_floored,19,ds:groove_midi,42,0.878370,0.830603,0.856105,42,0.868889,0.855313,0.902200
T_tp_floored,19,ds:guitarset,23,0.913369,0.847344,0.877779,23,0.896448,0.955314,0.955314
T_tp_floored,19,ds:hainsworth,28,0.893898,0.821071,0.891177,28,0.658017,0.605335,0.710543
T_tp_floored,19,ds:harmonix,114,0.930320,0.867360,0.932756,114,0.898272,0.857784,0.936243
T_tp_floored,19,ds:hjdb,29,0.926790,0.852328,0.852328,29,0.941675,0.972588,0.972588
T_tp_floored,19,ds:jaah,15,0.916167,0.656616,0.659184,15,0.808728,0.772472,0.816088
T_tp_floored,19,ds:rwc,29,0.854885,0.767479,0.830132,29,0.816718,0.796576,0.852525
T_tp_floored,19,ds:simac,75,0.750815,0.741184,0.830663,0,nan,nan,nan
T_tp_floored,19,ds:smc,27,0.629264,0.655938,0.713396,0,nan,nan,nan
T_tp_floored,19,ds:tapcorrect,13,0.893605,0.778330,0.922468,13,0.881533,0.756699,0.823366
